data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Arezzo
2020-02-25 18:00:00,0,Arezzo
2020-02-26 18:00:00,0,Arezzo
2020-02-27 18:00:00,0,Arezzo
2020-02-28 18:00:00,0,Arezzo
2020-02-29 17:00:00,0,Arezzo
2020-03-01 17:00:00,0,Arezzo
2020-03-02 17:00:00,1,Arezzo
2020-03-03 17:00:00,2,Arezzo
2020-03-04 17:00:00,2,Arezzo
2020-03-05 17:00:00,5,Arezzo
2020-03-06 18:00:00,7,Arezzo
2020-03-07 18:00:00,8,Arezzo
2020-03-08 18:00:00,9,Arezzo
2020-03-09 18:00:00,12,Arezzo
2020-03-10 18:00:00,13,Arezzo
2020-03-11 17:00:00,14,Arezzo
2020-03-12 17:00:00,14,Arezzo
2020-03-13 17:00:00,16,Arezzo
2020-03-14 17:00:00,27,Arezzo
2020-03-15 17:00:00,41,Arezzo
2020-03-16 17:00:00,43,Arezzo
2020-03-17 17:00:00,71,Arezzo
2020-03-18 17:00:00,142,Arezzo
2020-03-19 17:00:00,113,Arezzo
2020-03-20 17:00:00,124,Arezzo
2020-03-21 17:00:00,136,Arezzo
2020-03-22 17:00:00,154,Arezzo
2020-03-23 17:00:00,201,Arezzo
2020-03-24 17:00:00,211,Arezzo
2020-03-25 17:00:00,229,Arezzo
2020-03-26 17:00:00,249,Arezzo
2020-03-27 17:00:00,249,Arezzo
2020-03-28 17:00:00,272,Arezzo
2020-03-29 17:00:00,284,Arezzo
2020-03-30 17:00:00,310,Arezzo
2020-03-31 17:00:00,332,Arezzo
2020-04-01 17:00:00,343,Arezzo
2020-04-02 17:00:00,357,Arezzo
2020-04-03 17:00:00,358,Arezzo
2020-04-04 17:00:00,370,Arezzo
2020-04-05 17:00:00,378,Arezzo
2020-04-06 17:00:00,387,Arezzo
2020-04-07 17:00:00,396,Arezzo
2020-04-08 17:00:00,398,Arezzo
2020-04-09 17:00:00,399,Arezzo
2020-04-10 17:00:00,403,Arezzo
2020-04-11 17:00:00,417,Arezzo
2020-04-12 17:00:00,429,Arezzo
2020-04-13 17:00:00,453,Arezzo
2020-04-14 17:00:00,487,Arezzo
2020-04-15 17:00:00,522,Arezzo
2020-04-16 17:00:00,530,Arezzo
2020-04-17 17:00:00,541,Arezzo
2020-04-18 17:00:00,548,Arezzo
2020-04-19 17:00:00,558,Arezzo
2020-04-20 17:00:00,567,Arezzo
2020-04-21 17:00:00,580,Arezzo
2020-04-22 17:00:00,587,Arezzo
2020-04-23 17:00:00,597,Arezzo
2020-04-24 17:00:00,606,Arezzo
2020-04-25 17:00:00,610,Arezzo
2020-04-26 17:00:00,617,Arezzo
2020-04-27 17:00:00,619,Arezzo
2020-04-28 17:00:00,620,Arezzo
2020-04-29 17:00:00,621,Arezzo
2020-04-30 17:00:00,624,Arezzo
2020-05-01 17:00:00,639,Arezzo
2020-05-02 17:00:00,648,Arezzo
2020-05-03 17:00:00,648,Arezzo
2020-05-04 17:00:00,651,Arezzo
2020-05-05 17:00:00,652,Arezzo
2020-05-06 17:00:00,654,Arezzo
2020-05-07 17:00:00,655,Arezzo
2020-05-08 17:00:00,660,Arezzo
2020-05-09 17:00:00,660,Arezzo
2020-05-10 17:00:00,662,Arezzo
2020-05-11 17:00:00,665,Arezzo
2020-05-12 17:00:00,665,Arezzo
2020-05-13 17:00:00,667,Arezzo
2020-05-14 17:00:00,668,Arezzo
2020-05-15 17:00:00,669,Arezzo
2020-05-16 17:00:00,669,Arezzo
2020-05-17 17:00:00,671,Arezzo
2020-05-18 17:00:00,674,Arezzo
2020-05-19 17:00:00,674,Arezzo
2020-05-20 17:00:00,675,Arezzo
2020-05-21 17:00:00,675,Arezzo
2020-05-22 17:00:00,676,Arezzo
2020-05-23 17:00:00,676,Arezzo
2020-05-24 17:00:00,676,Arezzo
2020-05-25 17:00:00,676,Arezzo
2020-05-26 17:00:00,676,Arezzo
2020-05-27 17:00:00,676,Arezzo
2020-05-28 17:00:00,676,Arezzo
2020-05-29 17:00:00,676,Arezzo
2020-05-30 17:00:00,676,Arezzo
2020-05-31 17:00:00,676,Arezzo
2020-06-01 17:00:00,677,Arezzo
2020-06-02 17:00:00,677,Arezzo
2020-06-03 17:00:00,677,Arezzo
2020-06-04 17:00:00,677,Arezzo
2020-06-05 17:00:00,677,Arezzo
2020-06-06 17:00:00,677,Arezzo
2020-06-07 17:00:00,677,Arezzo
2020-06-08 17:00:00,678,Arezzo
2020-06-09 17:00:00,678,Arezzo
2020-06-10 17:00:00,678,Arezzo
2020-06-11 17:00:00,678,Arezzo
2020-06-12 17:00:00,679,Arezzo
2020-06-13 17:00:00,679,Arezzo
2020-06-14 17:00:00,679,Arezzo
2020-06-15 17:00:00,683,Arezzo
2020-06-16 17:00:00,686,Arezzo
2020-06-17 17:00:00,686,Arezzo
2020-06-18 17:00:00,686,Arezzo
2020-06-19 17:00:00,688,Arezzo
2020-06-20 17:00:00,688,Arezzo
2020-06-21 17:00:00,690,Arezzo
2020-06-22 17:00:00,691,Arezzo
2020-06-23 17:00:00,691,Arezzo
2020-06-24 17:00:00,670,Arezzo
2020-06-25 17:00:00,670,Arezzo
2020-06-26 17:00:00,671,Arezzo
2020-06-27 17:00:00,673,Arezzo
2020-06-28 17:00:00,676,Arezzo
2020-06-29 17:00:00,676,Arezzo
2020-06-30 17:00:00,676,Arezzo
2020-07-01 17:00:00,676,Arezzo
2020-07-02 17:00:00,677,Arezzo
2020-07-03 17:00:00,677,Arezzo
2020-07-04 17:00:00,680,Arezzo
2020-07-05 17:00:00,680,Arezzo
2020-07-06 17:00:00,680,Arezzo
2020-07-07 17:00:00,681,Arezzo
2020-07-08 17:00:00,681,Arezzo
2020-07-09 17:00:00,681,Arezzo
