data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Ascoli Piceno
2020-02-25 18:00:00,0,Ascoli Piceno
2020-02-26 18:00:00,0,Ascoli Piceno
2020-02-27 18:00:00,0,Ascoli Piceno
2020-02-28 18:00:00,0,Ascoli Piceno
2020-02-29 17:00:00,0,Ascoli Piceno
2020-03-01 17:00:00,0,Ascoli Piceno
2020-03-02 17:00:00,0,Ascoli Piceno
2020-03-03 17:00:00,0,Ascoli Piceno
2020-03-04 17:00:00,0,Ascoli Piceno
2020-03-05 17:00:00,0,Ascoli Piceno
2020-03-06 18:00:00,0,Ascoli Piceno
2020-03-07 18:00:00,0,Ascoli Piceno
2020-03-08 18:00:00,0,Ascoli Piceno
2020-03-09 18:00:00,0,Ascoli Piceno
2020-03-10 18:00:00,0,Ascoli Piceno
2020-03-11 17:00:00,1,Ascoli Piceno
2020-03-12 17:00:00,1,Ascoli Piceno
2020-03-13 17:00:00,2,Ascoli Piceno
2020-03-14 17:00:00,7,Ascoli Piceno
2020-03-15 17:00:00,14,Ascoli Piceno
2020-03-16 17:00:00,21,Ascoli Piceno
2020-03-17 17:00:00,23,Ascoli Piceno
2020-03-18 17:00:00,25,Ascoli Piceno
2020-03-19 17:00:00,27,Ascoli Piceno
2020-03-20 17:00:00,43,Ascoli Piceno
2020-03-21 17:00:00,50,Ascoli Piceno
2020-03-22 17:00:00,56,Ascoli Piceno
2020-03-23 17:00:00,61,Ascoli Piceno
2020-03-24 17:00:00,64,Ascoli Piceno
2020-03-25 17:00:00,80,Ascoli Piceno
2020-03-26 17:00:00,111,Ascoli Piceno
2020-03-27 17:00:00,118,Ascoli Piceno
2020-03-28 17:00:00,163,Ascoli Piceno
2020-03-29 17:00:00,179,Ascoli Piceno
2020-03-30 17:00:00,197,Ascoli Piceno
2020-03-31 17:00:00,222,Ascoli Piceno
2020-04-01 17:00:00,224,Ascoli Piceno
2020-04-02 17:00:00,227,Ascoli Piceno
2020-04-03 17:00:00,232,Ascoli Piceno
2020-04-04 17:00:00,233,Ascoli Piceno
2020-04-05 17:00:00,235,Ascoli Piceno
2020-04-06 17:00:00,235,Ascoli Piceno
2020-04-07 17:00:00,235,Ascoli Piceno
2020-04-08 17:00:00,236,Ascoli Piceno
2020-04-09 17:00:00,236,Ascoli Piceno
2020-04-10 17:00:00,237,Ascoli Piceno
2020-04-11 17:00:00,249,Ascoli Piceno
2020-04-12 17:00:00,253,Ascoli Piceno
2020-04-13 17:00:00,254,Ascoli Piceno
2020-04-14 17:00:00,254,Ascoli Piceno
2020-04-15 17:00:00,259,Ascoli Piceno
2020-04-16 17:00:00,266,Ascoli Piceno
2020-04-17 17:00:00,268,Ascoli Piceno
2020-04-18 17:00:00,271,Ascoli Piceno
