data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Asti
2020-02-25 18:00:00,0,Asti
2020-02-26 18:00:00,0,Asti
2020-02-27 18:00:00,0,Asti
2020-02-28 18:00:00,0,Asti
2020-02-29 17:00:00,0,Asti
2020-03-01 17:00:00,0,Asti
2020-03-02 17:00:00,37,Asti
2020-03-03 17:00:00,40,Asti
2020-03-04 17:00:00,41,Asti
2020-03-05 17:00:00,43,Asti
2020-03-06 18:00:00,47,Asti
2020-03-07 18:00:00,50,Asti
2020-03-08 18:00:00,58,Asti
2020-03-09 18:00:00,58,Asti
2020-03-10 18:00:00,58,Asti
2020-03-11 17:00:00,68,Asti
2020-03-12 17:00:00,69,Asti
2020-03-13 17:00:00,70,Asti
2020-03-14 17:00:00,87,Asti
2020-03-15 17:00:00,87,Asti
2020-03-16 17:00:00,87,Asti
2020-03-17 17:00:00,90,Asti
2020-03-18 17:00:00,101,Asti
2020-03-19 17:00:00,101,Asti
2020-03-20 17:00:00,151,Asti
2020-03-21 17:00:00,166,Asti
2020-03-22 17:00:00,181,Asti
2020-03-23 17:00:00,209,Asti
2020-03-24 17:00:00,235,Asti
2020-03-25 17:00:00,261,Asti
2020-03-26 17:00:00,282,Asti
2020-03-27 17:00:00,303,Asti
2020-03-28 17:00:00,318,Asti
2020-03-29 17:00:00,328,Asti
2020-03-30 17:00:00,402,Asti
2020-03-31 17:00:00,434,Asti
2020-04-01 17:00:00,461,Asti
2020-04-02 17:00:00,501,Asti
2020-04-03 17:00:00,523,Asti
2020-04-04 17:00:00,560,Asti
2020-04-05 17:00:00,596,Asti
2020-04-06 17:00:00,609,Asti
2020-04-07 17:00:00,629,Asti
2020-04-08 17:00:00,643,Asti
2020-04-09 17:00:00,655,Asti
2020-04-10 17:00:00,703,Asti
2020-04-11 17:00:00,745,Asti
2020-04-12 17:00:00,779,Asti
2020-04-13 17:00:00,793,Asti
2020-04-14 17:00:00,868,Asti
2020-04-15 17:00:00,897,Asti
2020-04-16 17:00:00,925,Asti
2020-04-17 17:00:00,957,Asti
2020-04-18 17:00:00,1038,Asti
2020-04-19 17:00:00,1064,Asti
2020-04-20 17:00:00,1142,Asti
2020-04-21 17:00:00,1212,Asti
2020-04-22 17:00:00,1255,Asti
2020-04-23 17:00:00,1279,Asti
2020-04-24 17:00:00,1343,Asti
2020-04-25 17:00:00,1376,Asti
2020-04-26 17:00:00,1428,Asti
2020-04-27 17:00:00,1456,Asti
2020-04-28 17:00:00,1519,Asti
2020-04-29 17:00:00,1546,Asti
2020-04-30 17:00:00,1572,Asti
2020-05-01 17:00:00,1600,Asti
2020-05-02 17:00:00,1607,Asti
2020-05-03 17:00:00,1619,Asti
2020-05-04 17:00:00,1623,Asti
2020-05-05 17:00:00,1629,Asti
2020-05-06 17:00:00,1641,Asti
2020-05-07 17:00:00,1655,Asti
2020-05-08 17:00:00,1666,Asti
2020-05-09 17:00:00,1671,Asti
2020-05-10 17:00:00,1679,Asti
2020-05-11 17:00:00,1685,Asti
2020-05-12 17:00:00,1690,Asti
2020-05-13 17:00:00,1699,Asti
2020-05-14 17:00:00,1711,Asti
2020-05-15 17:00:00,1723,Asti
2020-05-16 17:00:00,1741,Asti
2020-05-17 17:00:00,1748,Asti
2020-05-18 17:00:00,1751,Asti
2020-05-19 17:00:00,1753,Asti
2020-05-20 17:00:00,1758,Asti
2020-05-21 17:00:00,1761,Asti
2020-05-22 17:00:00,1767,Asti
2020-05-23 17:00:00,1768,Asti
2020-05-24 17:00:00,1775,Asti
2020-05-25 17:00:00,1781,Asti
2020-05-26 17:00:00,1790,Asti
2020-05-27 17:00:00,1802,Asti
2020-05-28 17:00:00,1806,Asti
2020-05-29 17:00:00,1811,Asti
2020-05-30 17:00:00,1818,Asti
2020-05-31 17:00:00,1831,Asti
2020-06-01 17:00:00,1835,Asti
2020-06-02 17:00:00,1840,Asti
2020-06-03 17:00:00,1847,Asti
2020-06-04 17:00:00,1850,Asti
2020-06-05 17:00:00,1852,Asti
2020-06-06 17:00:00,1855,Asti
2020-06-07 17:00:00,1857,Asti
2020-06-08 17:00:00,1857,Asti
2020-06-09 17:00:00,1860,Asti
2020-06-10 17:00:00,1860,Asti
2020-06-11 17:00:00,1860,Asti
2020-06-12 17:00:00,1862,Asti
2020-06-13 17:00:00,1863,Asti
2020-06-14 17:00:00,1864,Asti
2020-06-15 17:00:00,1864,Asti
2020-06-16 17:00:00,1866,Asti
2020-06-17 17:00:00,1867,Asti
2020-06-18 17:00:00,1869,Asti
2020-06-19 17:00:00,1870,Asti
2020-06-20 17:00:00,1871,Asti
2020-06-21 17:00:00,1871,Asti
2020-06-22 17:00:00,1872,Asti
2020-06-23 17:00:00,1872,Asti
2020-06-24 17:00:00,1874,Asti
2020-06-25 17:00:00,1874,Asti
2020-06-26 17:00:00,1874,Asti
2020-06-27 17:00:00,1874,Asti
2020-06-28 17:00:00,1874,Asti
2020-06-29 17:00:00,1874,Asti
2020-06-30 17:00:00,1874,Asti
2020-07-01 17:00:00,1874,Asti
2020-07-02 17:00:00,1874,Asti
2020-07-03 17:00:00,1874,Asti
2020-07-04 17:00:00,1878,Asti
2020-07-05 17:00:00,1879,Asti
2020-07-06 17:00:00,1879,Asti
2020-07-07 17:00:00,1879,Asti
2020-07-08 17:00:00,1880,Asti
2020-07-09 17:00:00,1880,Asti
2020-07-10 17:00:00,1880,Asti
2020-07-11 17:00:00,1880,Asti
2020-07-12 17:00:00,1880,Asti
2020-07-13 17:00:00,1880,Asti
2020-07-14 17:00:00,1880,Asti
2020-07-15 17:00:00,1880,Asti
2020-07-16 17:00:00,1880,Asti
2020-07-17 17:00:00,1880,Asti
2020-07-18 17:00:00,1880,Asti
2020-07-19 17:00:00,1880,Asti
2020-07-20 17:00:00,1880,Asti
2020-07-21 17:00:00,1880,Asti
2020-07-22 17:00:00,1881,Asti
2020-07-23 17:00:00,1882,Asti
2020-07-24 17:00:00,1883,Asti
2020-07-25 17:00:00,1883,Asti
2020-07-26 17:00:00,1883,Asti
2020-07-27 17:00:00,1883,Asti
2020-07-28 17:00:00,1883,Asti
2020-07-29 17:00:00,1884,Asti
2020-07-30 17:00:00,1885,Asti
2020-07-31 17:00:00,1885,Asti
2020-08-01 17:00:00,1885,Asti
2020-08-02 17:00:00,1886,Asti
2020-08-03 17:00:00,1886,Asti
2020-08-04 17:00:00,1886,Asti
2020-08-05 17:00:00,1886,Asti
2020-08-06 17:00:00,1886,Asti
2020-08-07 17:00:00,1887,Asti
2020-08-08 17:00:00,1887,Asti
2020-08-09 17:00:00,1889,Asti
2020-08-10 17:00:00,1889,Asti
2020-08-11 17:00:00,1890,Asti
2020-08-12 17:00:00,1895,Asti
2020-08-13 17:00:00,1899,Asti
2020-08-14 17:00:00,1899,Asti
