data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Bari
2020-02-25 18:00:00,0,Bari
2020-02-26 18:00:00,0,Bari
2020-02-27 18:00:00,1,Bari
2020-02-28 18:00:00,0,Bari
2020-02-29 17:00:00,0,Bari
2020-03-01 17:00:00,0,Bari
2020-03-02 17:00:00,1,Bari
2020-03-03 17:00:00,2,Bari
2020-03-04 17:00:00,2,Bari
2020-03-05 17:00:00,2,Bari
2020-03-06 18:00:00,3,Bari
2020-03-07 18:00:00,5,Bari
2020-03-08 18:00:00,5,Bari
2020-03-09 18:00:00,6,Bari
2020-03-10 18:00:00,15,Bari
2020-03-11 17:00:00,18,Bari
2020-03-12 17:00:00,25,Bari
2020-03-13 17:00:00,38,Bari
2020-03-14 17:00:00,42,Bari
2020-03-15 17:00:00,58,Bari
2020-03-16 17:00:00,58,Bari
2020-03-17 17:00:00,95,Bari
2020-03-18 17:00:00,112,Bari
2020-03-19 17:00:00,137,Bari
2020-03-20 17:00:00,165,Bari
2020-03-21 17:00:00,194,Bari
2020-03-22 17:00:00,231,Bari
2020-03-23 17:00:00,268,Bari
2020-03-24 17:00:00,304,Bari
2020-03-25 17:00:00,336,Bari
2020-03-26 17:00:00,387,Bari
2020-03-27 17:00:00,444,Bari
2020-03-28 17:00:00,469,Bari
2020-03-29 17:00:00,518,Bari
2020-03-30 17:00:00,594,Bari
2020-03-31 17:00:00,616,Bari
2020-04-01 17:00:00,655,Bari
2020-04-02 17:00:00,700,Bari
2020-04-03 17:00:00,741,Bari
2020-04-04 17:00:00,762,Bari
2020-04-05 17:00:00,790,Bari
2020-04-06 17:00:00,807,Bari
2020-04-07 17:00:00,834,Bari
2020-04-08 17:00:00,861,Bari
2020-04-09 17:00:00,870,Bari
2020-04-10 17:00:00,886,Bari
2020-04-11 17:00:00,913,Bari
2020-04-12 17:00:00,921,Bari
2020-04-13 17:00:00,962,Bari
2020-04-14 17:00:00,989,Bari
2020-04-15 17:00:00,1013,Bari
2020-04-16 17:00:00,1029,Bari
2020-04-17 17:00:00,1050,Bari
2020-04-18 17:00:00,1075,Bari
2020-04-19 17:00:00,1110,Bari
2020-04-20 17:00:00,1138,Bari
2020-04-21 17:00:00,1160,Bari
2020-04-22 17:00:00,1188,Bari
2020-04-23 17:00:00,1247,Bari
2020-04-24 17:00:00,1268,Bari
2020-04-25 17:00:00,1274,Bari
2020-04-26 17:00:00,1282,Bari
2020-04-27 17:00:00,1285,Bari
2020-04-28 17:00:00,1285,Bari
2020-04-29 17:00:00,1301,Bari
2020-04-30 17:00:00,1313,Bari
2020-05-01 17:00:00,1316,Bari
2020-05-02 17:00:00,1319,Bari
2020-05-03 17:00:00,1322,Bari
2020-05-04 17:00:00,1328,Bari
2020-05-05 17:00:00,1328,Bari
2020-05-06 17:00:00,1333,Bari
2020-05-07 17:00:00,1362,Bari
2020-05-08 17:00:00,1371,Bari
2020-05-09 17:00:00,1391,Bari
2020-05-10 17:00:00,1413,Bari
2020-05-11 17:00:00,1420,Bari
2020-05-12 17:00:00,1427,Bari
2020-05-13 17:00:00,1429,Bari
2020-05-14 17:00:00,1431,Bari
2020-05-15 17:00:00,1432,Bari
2020-05-16 17:00:00,1434,Bari
2020-05-17 17:00:00,1435,Bari
2020-05-18 17:00:00,1442,Bari
2020-05-19 17:00:00,1442,Bari
2020-05-20 17:00:00,1443,Bari
2020-05-21 17:00:00,1447,Bari
2020-05-22 17:00:00,1461,Bari
2020-05-23 17:00:00,1462,Bari
2020-05-24 17:00:00,1465,Bari
2020-05-25 17:00:00,1474,Bari
2020-05-26 17:00:00,1474,Bari
2020-05-27 17:00:00,1473,Bari
2020-05-28 17:00:00,1472,Bari
2020-05-29 17:00:00,1474,Bari
2020-05-30 17:00:00,1481,Bari
2020-05-31 17:00:00,1483,Bari
2020-06-01 17:00:00,1486,Bari
2020-06-02 17:00:00,1487,Bari
2020-06-03 17:00:00,1487,Bari
2020-06-04 17:00:00,1488,Bari
2020-06-05 17:00:00,1488,Bari
2020-06-06 17:00:00,1489,Bari
2020-06-07 17:00:00,1488,Bari
2020-06-08 17:00:00,1489,Bari
2020-06-09 17:00:00,1488,Bari
2020-06-10 17:00:00,1488,Bari
2020-06-11 17:00:00,1488,Bari
2020-06-12 17:00:00,1488,Bari
2020-06-13 17:00:00,1488,Bari
2020-06-14 17:00:00,1488,Bari
2020-06-15 17:00:00,1488,Bari
2020-06-16 17:00:00,1488,Bari
2020-06-17 17:00:00,1488,Bari
2020-06-18 17:00:00,1489,Bari
2020-06-19 17:00:00,1489,Bari
2020-06-20 17:00:00,1490,Bari
2020-06-21 17:00:00,1491,Bari
2020-06-22 17:00:00,1491,Bari
2020-06-23 17:00:00,1491,Bari
2020-06-24 17:00:00,1491,Bari
2020-06-25 17:00:00,1491,Bari
2020-06-26 17:00:00,1491,Bari
2020-06-27 17:00:00,1491,Bari
2020-06-28 17:00:00,1491,Bari
2020-06-29 17:00:00,1491,Bari
2020-06-30 17:00:00,1491,Bari
2020-07-01 17:00:00,1491,Bari
2020-07-02 17:00:00,1491,Bari
2020-07-03 17:00:00,1493,Bari
2020-07-04 17:00:00,1494,Bari
2020-07-05 17:00:00,1494,Bari
2020-07-06 17:00:00,1493,Bari
2020-07-07 17:00:00,1492,Bari
2020-07-08 17:00:00,1492,Bari
2020-07-09 17:00:00,1492,Bari
2020-07-10 17:00:00,1493,Bari
2020-07-11 17:00:00,1494,Bari
2020-07-12 17:00:00,1494,Bari
2020-07-13 17:00:00,1494,Bari
2020-07-14 17:00:00,1494,Bari
