data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Barletta-Andria-Trani
2020-02-25 18:00:00,0,Barletta-Andria-Trani
2020-02-26 18:00:00,0,Barletta-Andria-Trani
2020-02-27 18:00:00,0,Barletta-Andria-Trani
2020-02-28 18:00:00,0,Barletta-Andria-Trani
2020-02-29 17:00:00,0,Barletta-Andria-Trani
2020-03-01 17:00:00,0,Barletta-Andria-Trani
2020-03-02 17:00:00,0,Barletta-Andria-Trani
2020-03-03 17:00:00,0,Barletta-Andria-Trani
2020-03-04 17:00:00,1,Barletta-Andria-Trani
2020-03-05 17:00:00,1,Barletta-Andria-Trani
2020-03-06 18:00:00,1,Barletta-Andria-Trani
2020-03-07 18:00:00,2,Barletta-Andria-Trani
2020-03-08 18:00:00,3,Barletta-Andria-Trani
2020-03-09 18:00:00,3,Barletta-Andria-Trani
2020-03-10 18:00:00,3,Barletta-Andria-Trani
2020-03-11 17:00:00,4,Barletta-Andria-Trani
2020-03-12 17:00:00,6,Barletta-Andria-Trani
2020-03-13 17:00:00,10,Barletta-Andria-Trani
2020-03-14 17:00:00,17,Barletta-Andria-Trani
2020-03-15 17:00:00,22,Barletta-Andria-Trani
2020-03-16 17:00:00,22,Barletta-Andria-Trani
2020-03-17 17:00:00,23,Barletta-Andria-Trani
2020-03-18 17:00:00,23,Barletta-Andria-Trani
2020-03-19 17:00:00,26,Barletta-Andria-Trani
2020-03-20 17:00:00,30,Barletta-Andria-Trani
2020-03-21 17:00:00,32,Barletta-Andria-Trani
2020-03-22 17:00:00,49,Barletta-Andria-Trani
2020-03-23 17:00:00,59,Barletta-Andria-Trani
2020-03-24 17:00:00,62,Barletta-Andria-Trani
2020-03-25 17:00:00,65,Barletta-Andria-Trani
2020-03-26 17:00:00,85,Barletta-Andria-Trani
2020-03-27 17:00:00,92,Barletta-Andria-Trani
2020-03-28 17:00:00,96,Barletta-Andria-Trani
2020-03-29 17:00:00,98,Barletta-Andria-Trani
2020-03-30 17:00:00,103,Barletta-Andria-Trani
2020-03-31 17:00:00,111,Barletta-Andria-Trani
2020-04-01 17:00:00,116,Barletta-Andria-Trani
2020-04-02 17:00:00,126,Barletta-Andria-Trani
2020-04-03 17:00:00,129,Barletta-Andria-Trani
2020-04-04 17:00:00,129,Barletta-Andria-Trani
2020-04-05 17:00:00,138,Barletta-Andria-Trani
2020-04-06 17:00:00,177,Barletta-Andria-Trani
2020-04-07 17:00:00,177,Barletta-Andria-Trani
2020-04-08 17:00:00,212,Barletta-Andria-Trani
2020-04-09 17:00:00,212,Barletta-Andria-Trani
2020-04-10 17:00:00,243,Barletta-Andria-Trani
2020-04-11 17:00:00,260,Barletta-Andria-Trani
2020-04-12 17:00:00,296,Barletta-Andria-Trani
