data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Belluno
2020-02-25 18:00:00,0,Belluno
2020-02-26 18:00:00,0,Belluno
2020-02-27 18:00:00,0,Belluno
2020-02-28 18:00:00,0,Belluno
2020-02-29 17:00:00,0,Belluno
2020-03-01 17:00:00,0,Belluno
2020-03-02 17:00:00,3,Belluno
2020-03-03 17:00:00,5,Belluno
2020-03-04 17:00:00,7,Belluno
2020-03-05 17:00:00,7,Belluno
2020-03-06 18:00:00,7,Belluno
2020-03-07 18:00:00,11,Belluno
2020-03-08 18:00:00,23,Belluno
2020-03-09 18:00:00,29,Belluno
2020-03-10 18:00:00,29,Belluno
2020-03-11 17:00:00,30,Belluno
2020-03-12 17:00:00,48,Belluno
2020-03-13 17:00:00,59,Belluno
2020-03-14 17:00:00,78,Belluno
2020-03-15 17:00:00,82,Belluno
2020-03-16 17:00:00,101,Belluno
2020-03-17 17:00:00,109,Belluno
2020-03-18 17:00:00,140,Belluno
2020-03-19 17:00:00,150,Belluno
2020-03-20 17:00:00,195,Belluno
2020-03-21 17:00:00,212,Belluno
2020-03-22 17:00:00,226,Belluno
2020-03-23 17:00:00,254,Belluno
2020-03-24 17:00:00,273,Belluno
2020-03-25 17:00:00,298,Belluno
2020-03-26 17:00:00,313,Belluno
2020-03-27 17:00:00,329,Belluno
2020-03-28 17:00:00,367,Belluno
2020-03-29 17:00:00,396,Belluno
2020-03-30 17:00:00,423,Belluno
2020-03-31 17:00:00,430,Belluno
2020-04-01 17:00:00,460,Belluno
2020-04-02 17:00:00,487,Belluno
2020-04-03 17:00:00,499,Belluno
2020-04-04 17:00:00,522,Belluno
2020-04-05 17:00:00,538,Belluno
2020-04-06 17:00:00,558,Belluno
2020-04-07 17:00:00,577,Belluno
2020-04-08 17:00:00,602,Belluno
2020-04-09 17:00:00,620,Belluno
2020-04-10 17:00:00,649,Belluno
2020-04-11 17:00:00,653,Belluno
2020-04-12 17:00:00,664,Belluno
2020-04-13 17:00:00,686,Belluno
2020-04-14 17:00:00,698,Belluno
2020-04-15 17:00:00,723,Belluno
2020-04-16 17:00:00,755,Belluno
2020-04-17 17:00:00,807,Belluno
2020-04-18 17:00:00,835,Belluno
2020-04-19 17:00:00,856,Belluno
2020-04-20 17:00:00,904,Belluno
2020-04-21 17:00:00,967,Belluno
2020-04-22 17:00:00,979,Belluno
2020-04-23 17:00:00,987,Belluno
2020-04-24 17:00:00,1042,Belluno
2020-04-25 17:00:00,1047,Belluno
2020-04-26 17:00:00,1050,Belluno
2020-04-27 17:00:00,1060,Belluno
2020-04-28 17:00:00,1061,Belluno
2020-04-29 17:00:00,1084,Belluno
2020-04-30 17:00:00,1107,Belluno
2020-05-01 17:00:00,1111,Belluno
