data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Bologna
2020-02-25 18:00:00,0,Bologna
2020-02-26 18:00:00,0,Bologna
2020-02-27 18:00:00,0,Bologna
2020-02-28 18:00:00,0,Bologna
2020-02-29 17:00:00,2,Bologna
2020-03-01 17:00:00,2,Bologna
2020-03-02 17:00:00,3,Bologna
2020-03-03 17:00:00,6,Bologna
2020-03-04 17:00:00,11,Bologna
2020-03-05 17:00:00,19,Bologna
2020-03-06 18:00:00,41,Bologna
2020-03-07 18:00:00,49,Bologna
2020-03-08 18:00:00,62,Bologna
2020-03-09 18:00:00,80,Bologna
2020-03-10 18:00:00,86,Bologna
2020-03-11 17:00:00,108,Bologna
2020-03-12 17:00:00,122,Bologna
2020-03-13 17:00:00,155,Bologna
2020-03-14 17:00:00,195,Bologna
2020-03-15 17:00:00,230,Bologna
2020-03-16 17:00:00,291,Bologna
2020-03-17 17:00:00,333,Bologna
2020-03-18 17:00:00,395,Bologna
2020-03-19 17:00:00,465,Bologna
2020-03-20 17:00:00,552,Bologna
2020-03-21 17:00:00,610,Bologna
2020-03-22 17:00:00,674,Bologna
2020-03-23 17:00:00,833,Bologna
2020-03-24 17:00:00,968,Bologna
2020-03-25 17:00:00,1107,Bologna
2020-03-26 17:00:00,1253,Bologna
2020-03-27 17:00:00,1413,Bologna
2020-03-28 17:00:00,1586,Bologna
2020-03-29 17:00:00,1743,Bologna
2020-03-30 17:00:00,1872,Bologna
2020-03-31 17:00:00,1940,Bologna
2020-04-01 17:00:00,2084,Bologna
2020-04-02 17:00:00,2225,Bologna
2020-04-03 17:00:00,2339,Bologna
2020-04-04 17:00:00,2429,Bologna
2020-04-05 17:00:00,2521,Bologna
2020-04-06 17:00:00,2617,Bologna
2020-04-07 17:00:00,2656,Bologna
2020-04-08 17:00:00,2758,Bologna
2020-04-09 17:00:00,2856,Bologna
2020-04-10 17:00:00,2954,Bologna
2020-04-11 17:00:00,3075,Bologna
2020-04-12 17:00:00,3197,Bologna
2020-04-13 17:00:00,3292,Bologna
2020-04-14 17:00:00,3320,Bologna
2020-04-15 17:00:00,3380,Bologna
2020-04-16 17:00:00,3490,Bologna
2020-04-17 17:00:00,3619,Bologna
2020-04-18 17:00:00,3679,Bologna
2020-04-19 17:00:00,3740,Bologna
2020-04-20 17:00:00,3822,Bologna
2020-04-21 17:00:00,3865,Bologna
2020-04-22 17:00:00,3917,Bologna
2020-04-23 17:00:00,3971,Bologna
2020-04-24 17:00:00,4033,Bologna
2020-04-25 17:00:00,4102,Bologna
2020-04-26 17:00:00,4156,Bologna
2020-04-27 17:00:00,4191,Bologna
2020-04-28 17:00:00,4263,Bologna
2020-04-29 17:00:00,4352,Bologna
2020-04-30 17:00:00,4416,Bologna
2020-05-01 17:00:00,4458,Bologna
2020-05-02 17:00:00,4507,Bologna
2020-05-03 17:00:00,4550,Bologna
2020-05-04 17:00:00,4590,Bologna
2020-05-05 17:00:00,4619,Bologna
2020-05-06 17:00:00,4646,Bologna
2020-05-07 17:00:00,4685,Bologna
2020-05-08 17:00:00,4720,Bologna
2020-05-09 17:00:00,4751,Bologna
2020-05-10 17:00:00,4773,Bologna
2020-05-11 17:00:00,4784,Bologna
2020-05-12 17:00:00,4805,Bologna
2020-05-13 17:00:00,4826,Bologna
2020-05-14 17:00:00,4841,Bologna
2020-05-15 17:00:00,4853,Bologna
2020-05-16 17:00:00,4868,Bologna
2020-05-17 17:00:00,4880,Bologna
2020-05-18 17:00:00,4881,Bologna
2020-05-19 17:00:00,4893,Bologna
2020-05-20 17:00:00,4901,Bologna
2020-05-21 17:00:00,4911,Bologna
2020-05-22 17:00:00,4920,Bologna
2020-05-23 17:00:00,4931,Bologna
2020-05-24 17:00:00,4942,Bologna
2020-05-25 17:00:00,4956,Bologna
2020-05-26 17:00:00,4966,Bologna
2020-05-27 17:00:00,4968,Bologna
2020-05-28 17:00:00,4998,Bologna
2020-05-29 17:00:00,5006,Bologna
2020-05-30 17:00:00,5016,Bologna
2020-05-31 17:00:00,5021,Bologna
2020-06-01 17:00:00,5029,Bologna
2020-06-02 17:00:00,5034,Bologna
2020-06-03 17:00:00,5036,Bologna
2020-06-04 17:00:00,5041,Bologna
2020-06-05 17:00:00,5043,Bologna
2020-06-06 17:00:00,5047,Bologna
2020-06-07 17:00:00,5047,Bologna
2020-06-08 17:00:00,5050,Bologna
2020-06-09 17:00:00,5054,Bologna
2020-06-10 17:00:00,5058,Bologna
2020-06-11 17:00:00,5066,Bologna
2020-06-12 17:00:00,5080,Bologna
2020-06-13 17:00:00,5095,Bologna
2020-06-14 17:00:00,5102,Bologna
2020-06-15 17:00:00,5107,Bologna
2020-06-16 17:00:00,5109,Bologna
2020-06-17 17:00:00,5114,Bologna
2020-06-18 17:00:00,5130,Bologna
2020-06-19 17:00:00,5142,Bologna
2020-06-20 17:00:00,5151,Bologna
2020-06-21 17:00:00,5165,Bologna
2020-06-22 17:00:00,5176,Bologna
2020-06-23 17:00:00,5181,Bologna
2020-06-24 17:00:00,5129,Bologna
2020-06-25 17:00:00,5160,Bologna
2020-06-26 17:00:00,5183,Bologna
2020-06-27 17:00:00,5211,Bologna
2020-06-28 17:00:00,5215,Bologna
2020-06-29 17:00:00,5221,Bologna
2020-06-30 17:00:00,5229,Bologna
2020-07-01 17:00:00,5237,Bologna
2020-07-02 17:00:00,5251,Bologna
2020-07-03 17:00:00,5268,Bologna
2020-07-04 17:00:00,5284,Bologna
2020-07-05 17:00:00,5292,Bologna
2020-07-06 17:00:00,5299,Bologna
2020-07-07 17:00:00,5304,Bologna
2020-07-08 17:00:00,5321,Bologna
2020-07-09 17:00:00,5335,Bologna
2020-07-10 17:00:00,5358,Bologna
2020-07-11 17:00:00,5378,Bologna
2020-07-12 17:00:00,5397,Bologna
2020-07-13 17:00:00,5397,Bologna
2020-07-14 17:00:00,5402,Bologna
2020-07-15 17:00:00,5402,Bologna
2020-07-16 17:00:00,5419,Bologna
2020-07-17 17:00:00,5440,Bologna
2020-07-18 17:00:00,5448,Bologna
2020-07-19 17:00:00,5451,Bologna
2020-07-20 17:00:00,5458,Bologna
2020-07-21 17:00:00,5465,Bologna
2020-07-22 17:00:00,5481,Bologna
2020-07-23 17:00:00,5507,Bologna
2020-07-24 17:00:00,5521,Bologna
2020-07-25 17:00:00,5527,Bologna
2020-07-26 17:00:00,5552,Bologna
2020-07-27 17:00:00,5558,Bologna
2020-07-28 17:00:00,5563,Bologna
2020-07-29 17:00:00,5576,Bologna
2020-07-30 17:00:00,5578,Bologna
2020-07-31 17:00:00,5588,Bologna
2020-08-01 17:00:00,5603,Bologna
2020-08-02 17:00:00,5620,Bologna
2020-08-03 17:00:00,5622,Bologna
2020-08-04 17:00:00,5638,Bologna
2020-08-05 17:00:00,5644,Bologna
2020-08-06 17:00:00,5657,Bologna
2020-08-07 17:00:00,5667,Bologna
2020-08-08 17:00:00,5672,Bologna
2020-08-09 17:00:00,5689,Bologna
2020-08-10 17:00:00,5702,Bologna
2020-08-11 17:00:00,5712,Bologna
2020-08-12 17:00:00,5725,Bologna
2020-08-13 17:00:00,5739,Bologna
2020-08-14 17:00:00,5755,Bologna
2020-08-15 17:00:00,5767,Bologna
2020-08-16 17:00:00,5774,Bologna
2020-08-17 17:00:00,5782,Bologna
2020-08-18 17:00:00,5785,Bologna
2020-08-19 17:00:00,5799,Bologna
2020-08-20 17:00:00,5821,Bologna
2020-08-21 17:00:00,5831,Bologna
2020-08-22 17:00:00,5853,Bologna
2020-08-23 17:00:00,5884,Bologna
2020-08-24 17:00:00,5907,Bologna
2020-08-25 17:00:00,5914,Bologna
2020-08-26 17:00:00,5940,Bologna
2020-08-27 17:00:00,5970,Bologna
2020-08-28 17:00:00,5996,Bologna
2020-08-29 17:00:00,6028,Bologna
2020-08-30 17:00:00,6048,Bologna
2020-08-31 17:00:00,6067,Bologna
2020-09-01 17:00:00,6086,Bologna
2020-09-02 17:00:00,6107,Bologna
2020-09-03 17:00:00,6128,Bologna
2020-09-04 17:00:00,6156,Bologna
2020-09-05 17:00:00,6183,Bologna
2020-09-06 17:00:00,6195,Bologna
2020-09-07 17:00:00,6219,Bologna
2020-09-08 17:00:00,6242,Bologna
2020-09-09 17:00:00,6266,Bologna
2020-09-10 17:00:00,6283,Bologna
2020-09-11 17:00:00,6305,Bologna
2020-09-12 17:00:00,6340,Bologna
2020-09-13 17:00:00,6365,Bologna
2020-09-14 17:00:00,6386,Bologna
2020-09-15 17:00:00,6411,Bologna
2020-09-16 17:00:00,6438,Bologna
2020-09-17 17:00:00,6457,Bologna
2020-09-18 17:00:00,6474,Bologna
2020-09-19 17:00:00,6501,Bologna
2020-09-20 17:00:00,6523,Bologna
2020-09-21 17:00:00,6546,Bologna
2020-09-22 17:00:00,6559,Bologna
2020-09-23 17:00:00,6584,Bologna
2020-09-24 17:00:00,6618,Bologna
2020-09-25 17:00:00,6657,Bologna
2020-09-26 17:00:00,6677,Bologna
2020-09-27 17:00:00,6693,Bologna
2020-09-28 17:00:00,6715,Bologna
2020-09-29 17:00:00,6736,Bologna
2020-09-30 17:00:00,6770,Bologna
2020-10-01 17:00:00,6805,Bologna
2020-10-02 17:00:00,6843,Bologna
2020-10-03 17:00:00,6875,Bologna
2020-10-04 17:00:00,6906,Bologna
2020-10-05 17:00:00,6931,Bologna
2020-10-06 17:00:00,6979,Bologna
2020-10-07 17:00:00,7024,Bologna
2020-10-08 17:00:00,7059,Bologna
2020-10-09 17:00:00,7091,Bologna
2020-10-10 17:00:00,7162,Bologna
2020-10-11 17:00:00,7246,Bologna
2020-10-12 17:00:00,7315,Bologna
2020-10-13 17:00:00,7383,Bologna
2020-10-14 17:00:00,7451,Bologna
2020-10-15 17:00:00,7525,Bologna
2020-10-16 17:00:00,7627,Bologna
2020-10-17 17:00:00,7777,Bologna
2020-10-18 17:00:00,7922,Bologna
2020-10-19 17:00:00,8077,Bologna
2020-10-20 17:00:00,8197,Bologna
2020-10-21 17:00:00,8378,Bologna
2020-10-22 17:00:00,8627,Bologna
2020-10-23 17:00:00,8827,Bologna
2020-10-24 17:00:00,9196,Bologna
2020-10-25 17:00:00,9462,Bologna
2020-10-26 17:00:00,9734,Bologna
2020-10-27 17:00:00,10056,Bologna
2020-10-28 17:00:00,10305,Bologna
2020-10-29 17:00:00,10635,Bologna
2020-10-30 17:00:00,10988,Bologna
2020-10-31 17:00:00,11476,Bologna
2020-11-01 17:00:00,12012,Bologna
2020-11-02 17:00:00,12380,Bologna
2020-11-03 17:00:00,12645,Bologna
2020-11-04 17:00:00,12952,Bologna
2020-11-05 17:00:00,13563,Bologna
2020-11-06 17:00:00,14075,Bologna
2020-11-07 17:00:00,14530,Bologna
2020-11-08 17:00:00,15068,Bologna
2020-11-09 17:00:00,15549,Bologna
2020-11-10 17:00:00,15938,Bologna
2020-11-11 17:00:00,16654,Bologna
2020-11-12 17:00:00,17257,Bologna
2020-11-13 17:00:00,17810,Bologna
2020-11-14 17:00:00,18337,Bologna
2020-11-15 17:00:00,18976,Bologna
2020-11-16 17:00:00,19606,Bologna
2020-11-17 17:00:00,20079,Bologna
2020-11-18 17:00:00,20664,Bologna
2020-11-19 17:00:00,21164,Bologna
2020-11-20 17:00:00,21770,Bologna
2020-11-21 17:00:00,22330,Bologna
2020-11-22 17:00:00,22976,Bologna
2020-11-23 17:00:00,23436,Bologna
2020-11-24 17:00:00,23771,Bologna
2020-11-25 17:00:00,24190,Bologna
2020-11-26 17:00:00,24801,Bologna
2020-11-27 17:00:00,25341,Bologna
2020-11-28 17:00:00,25890,Bologna
2020-11-29 17:00:00,26252,Bologna
2020-11-30 17:00:00,26749,Bologna
2020-12-01 17:00:00,26916,Bologna
2020-12-02 17:00:00,27267,Bologna
2020-12-03 17:00:00,27705,Bologna
2020-12-04 17:00:00,28213,Bologna
2020-12-05 17:00:00,28651,Bologna
2020-12-06 17:00:00,29063,Bologna
2020-12-07 17:00:00,29392,Bologna
2020-12-08 17:00:00,29933,Bologna
2020-12-09 17:00:00,30239,Bologna
2020-12-10 17:00:00,30590,Bologna
2020-12-11 17:00:00,31002,Bologna
2020-12-12 17:00:00,31473,Bologna
2020-12-13 17:00:00,31961,Bologna
2020-12-14 17:00:00,32340,Bologna
2020-12-15 17:00:00,32680,Bologna
2020-12-16 17:00:00,32911,Bologna
2020-12-17 17:00:00,33427,Bologna
2020-12-18 17:00:00,33839,Bologna
2020-12-19 17:00:00,34194,Bologna
2020-12-20 17:00:00,34625,Bologna
2020-12-21 17:00:00,35077,Bologna
2020-12-22 17:00:00,35362,Bologna
2020-12-23 17:00:00,35647,Bologna
2020-12-24 17:00:00,36123,Bologna
2020-12-25 17:00:00,36638,Bologna
2020-12-26 17:00:00,37106,Bologna
2020-12-27 17:00:00,37458,Bologna
2020-12-28 17:00:00,37599,Bologna
2020-12-29 17:00:00,37708,Bologna
2020-12-30 17:00:00,37965,Bologna
2020-12-31 17:00:00,38381,Bologna
