data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Campobasso
2020-02-25 18:00:00,0,Campobasso
2020-02-26 18:00:00,0,Campobasso
2020-02-27 18:00:00,0,Campobasso
2020-02-28 18:00:00,0,Campobasso
2020-02-29 17:00:00,0,Campobasso
2020-03-01 17:00:00,0,Campobasso
2020-03-02 17:00:00,0,Campobasso
2020-03-03 17:00:00,3,Campobasso
2020-03-04 17:00:00,3,Campobasso
2020-03-05 17:00:00,7,Campobasso
2020-03-06 18:00:00,12,Campobasso
2020-03-07 18:00:00,14,Campobasso
2020-03-08 18:00:00,14,Campobasso
2020-03-09 18:00:00,14,Campobasso
2020-03-10 18:00:00,15,Campobasso
2020-03-11 17:00:00,16,Campobasso
2020-03-12 17:00:00,16,Campobasso
2020-03-13 17:00:00,17,Campobasso
2020-03-14 17:00:00,17,Campobasso
2020-03-15 17:00:00,17,Campobasso
2020-03-16 17:00:00,21,Campobasso
2020-03-17 17:00:00,25,Campobasso
2020-03-18 17:00:00,24,Campobasso
2020-03-19 17:00:00,33,Campobasso
2020-03-20 17:00:00,39,Campobasso
2020-03-21 17:00:00,49,Campobasso
2020-03-22 17:00:00,53,Campobasso
2020-03-23 17:00:00,54,Campobasso
2020-03-24 17:00:00,60,Campobasso
2020-03-25 17:00:00,60,Campobasso
2020-03-26 17:00:00,85,Campobasso
2020-03-27 17:00:00,91,Campobasso
2020-03-28 17:00:00,97,Campobasso
2020-03-29 17:00:00,108,Campobasso
2020-03-30 17:00:00,114,Campobasso
2020-03-31 17:00:00,124,Campobasso
2020-04-01 17:00:00,139,Campobasso
2020-04-02 17:00:00,142,Campobasso
2020-04-03 17:00:00,149,Campobasso
2020-04-04 17:00:00,154,Campobasso
2020-04-05 17:00:00,166,Campobasso
2020-04-06 17:00:00,166,Campobasso
2020-04-07 17:00:00,166,Campobasso
2020-04-08 17:00:00,166,Campobasso
2020-04-09 17:00:00,176,Campobasso
2020-04-10 17:00:00,185,Campobasso
2020-04-11 17:00:00,187,Campobasso
2020-04-12 17:00:00,191,Campobasso
2020-04-13 17:00:00,191,Campobasso
2020-04-14 17:00:00,191,Campobasso
2020-04-15 17:00:00,197,Campobasso
2020-04-16 17:00:00,197,Campobasso
2020-04-17 17:00:00,202,Campobasso
2020-04-18 17:00:00,202,Campobasso
2020-04-19 17:00:00,211,Campobasso
2020-04-20 17:00:00,212,Campobasso
2020-04-21 17:00:00,213,Campobasso
2020-04-22 17:00:00,215,Campobasso
2020-04-23 17:00:00,215,Campobasso
2020-04-24 17:00:00,216,Campobasso
2020-04-25 17:00:00,221,Campobasso
2020-04-26 17:00:00,223,Campobasso
2020-04-27 17:00:00,223,Campobasso
2020-04-28 17:00:00,224,Campobasso
2020-04-29 17:00:00,224,Campobasso
2020-04-30 17:00:00,224,Campobasso
2020-05-01 17:00:00,226,Campobasso
2020-05-02 17:00:00,226,Campobasso
2020-05-03 17:00:00,226,Campobasso
2020-05-04 17:00:00,226,Campobasso
2020-05-05 17:00:00,226,Campobasso
2020-05-06 17:00:00,228,Campobasso
2020-05-07 17:00:00,229,Campobasso
2020-05-08 17:00:00,251,Campobasso
2020-05-09 17:00:00,271,Campobasso
2020-05-10 17:00:00,294,Campobasso
2020-05-11 17:00:00,307,Campobasso
2020-05-12 17:00:00,310,Campobasso
2020-05-13 17:00:00,325,Campobasso
2020-05-14 17:00:00,327,Campobasso
2020-05-15 17:00:00,331,Campobasso
2020-05-16 17:00:00,334,Campobasso
2020-05-17 17:00:00,335,Campobasso
2020-05-18 17:00:00,346,Campobasso
2020-05-19 17:00:00,346,Campobasso
2020-05-20 17:00:00,346,Campobasso
2020-05-21 17:00:00,347,Campobasso
2020-05-22 17:00:00,350,Campobasso
2020-05-23 17:00:00,354,Campobasso
2020-05-24 17:00:00,355,Campobasso
2020-05-25 17:00:00,355,Campobasso
2020-05-26 17:00:00,355,Campobasso
2020-05-27 17:00:00,357,Campobasso
2020-05-28 17:00:00,358,Campobasso
2020-05-29 17:00:00,359,Campobasso
2020-05-30 17:00:00,359,Campobasso
2020-05-31 17:00:00,359,Campobasso
2020-06-01 17:00:00,359,Campobasso
2020-06-02 17:00:00,359,Campobasso
2020-06-03 17:00:00,359,Campobasso
2020-06-04 17:00:00,359,Campobasso
2020-06-05 17:00:00,359,Campobasso
2020-06-06 17:00:00,359,Campobasso
2020-06-07 17:00:00,359,Campobasso
2020-06-08 17:00:00,359,Campobasso
2020-06-09 17:00:00,361,Campobasso
2020-06-10 17:00:00,361,Campobasso
2020-06-11 17:00:00,361,Campobasso
2020-06-12 17:00:00,361,Campobasso
2020-06-13 17:00:00,361,Campobasso
2020-06-14 17:00:00,361,Campobasso
2020-06-15 17:00:00,361,Campobasso
2020-06-16 17:00:00,361,Campobasso
2020-06-17 17:00:00,361,Campobasso
2020-06-18 17:00:00,361,Campobasso
2020-06-19 17:00:00,362,Campobasso
2020-06-20 17:00:00,362,Campobasso
2020-06-21 17:00:00,362,Campobasso
2020-06-22 17:00:00,363,Campobasso
2020-06-23 17:00:00,363,Campobasso
2020-06-24 17:00:00,363,Campobasso
2020-06-25 17:00:00,363,Campobasso
2020-06-26 17:00:00,364,Campobasso
2020-06-27 17:00:00,364,Campobasso
2020-06-28 17:00:00,364,Campobasso
2020-06-29 17:00:00,364,Campobasso
2020-06-30 17:00:00,364,Campobasso
2020-07-01 17:00:00,364,Campobasso
2020-07-02 17:00:00,364,Campobasso
2020-07-03 17:00:00,364,Campobasso
2020-07-04 17:00:00,364,Campobasso
2020-07-05 17:00:00,364,Campobasso
2020-07-06 17:00:00,364,Campobasso
2020-07-07 17:00:00,364,Campobasso
2020-07-08 17:00:00,364,Campobasso
2020-07-09 17:00:00,364,Campobasso
2020-07-10 17:00:00,364,Campobasso
2020-07-11 17:00:00,364,Campobasso
2020-07-12 17:00:00,364,Campobasso
2020-07-13 17:00:00,364,Campobasso
2020-07-14 17:00:00,364,Campobasso
2020-07-15 17:00:00,364,Campobasso
2020-07-16 17:00:00,364,Campobasso
2020-07-17 17:00:00,364,Campobasso
2020-07-18 17:00:00,364,Campobasso
2020-07-19 17:00:00,364,Campobasso
2020-07-20 17:00:00,364,Campobasso
2020-07-21 17:00:00,364,Campobasso
2020-07-22 17:00:00,368,Campobasso
2020-07-23 17:00:00,377,Campobasso
2020-07-24 17:00:00,378,Campobasso
2020-07-25 17:00:00,381,Campobasso
2020-07-26 17:00:00,381,Campobasso
2020-07-27 17:00:00,384,Campobasso
2020-07-28 17:00:00,384,Campobasso
