data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Catania
2020-02-25 18:00:00,0,Catania
2020-02-26 18:00:00,0,Catania
2020-02-27 18:00:00,1,Catania
2020-02-28 18:00:00,1,Catania
2020-02-29 17:00:00,1,Catania
2020-03-01 17:00:00,1,Catania
2020-03-02 17:00:00,1,Catania
2020-03-03 17:00:00,1,Catania
2020-03-04 17:00:00,1,Catania
2020-03-05 17:00:00,1,Catania
2020-03-06 18:00:00,15,Catania
2020-03-07 18:00:00,23,Catania
2020-03-08 18:00:00,23,Catania
2020-03-09 18:00:00,23,Catania
2020-03-10 18:00:00,35,Catania
2020-03-11 17:00:00,41,Catania
2020-03-12 17:00:00,49,Catania
2020-03-13 17:00:00,49,Catania
2020-03-14 17:00:00,49,Catania
2020-03-15 17:00:00,91,Catania
2020-03-16 17:00:00,96,Catania
2020-03-17 17:00:00,108,Catania
2020-03-18 17:00:00,131,Catania
2020-03-19 17:00:00,151,Catania
2020-03-20 17:00:00,162,Catania
2020-03-21 17:00:00,189,Catania
2020-03-22 17:00:00,234,Catania
2020-03-23 17:00:00,274,Catania
2020-03-24 17:00:00,286,Catania
2020-03-25 17:00:00,308,Catania
2020-03-26 17:00:00,346,Catania
2020-03-27 17:00:00,365,Catania
2020-03-28 17:00:00,387,Catania
2020-03-29 17:00:00,407,Catania
2020-03-30 17:00:00,448,Catania
2020-03-31 17:00:00,498,Catania
2020-04-01 17:00:00,510,Catania
2020-04-02 17:00:00,544,Catania
2020-04-03 17:00:00,559,Catania
2020-04-04 17:00:00,569,Catania
2020-04-05 17:00:00,594,Catania
2020-04-06 17:00:00,614,Catania
2020-04-07 17:00:00,630,Catania
2020-04-08 17:00:00,646,Catania
2020-04-09 17:00:00,662,Catania
2020-04-10 17:00:00,672,Catania
2020-04-11 17:00:00,678,Catania
2020-04-12 17:00:00,689,Catania
2020-04-13 17:00:00,704,Catania
2020-04-14 17:00:00,715,Catania
2020-04-15 17:00:00,725,Catania
2020-04-16 17:00:00,735,Catania
2020-04-17 17:00:00,745,Catania
2020-04-18 17:00:00,758,Catania
2020-04-19 17:00:00,783,Catania
2020-04-20 17:00:00,808,Catania
2020-04-21 17:00:00,851,Catania
2020-04-22 17:00:00,886,Catania
2020-04-23 17:00:00,905,Catania
2020-04-24 17:00:00,926,Catania
2020-04-25 17:00:00,943,Catania
2020-04-26 17:00:00,953,Catania
2020-04-27 17:00:00,961,Catania
2020-04-28 17:00:00,971,Catania
2020-04-29 17:00:00,971,Catania
2020-04-30 17:00:00,973,Catania
2020-05-01 17:00:00,981,Catania
2020-05-02 17:00:00,990,Catania
2020-05-03 17:00:00,1002,Catania
2020-05-04 17:00:00,1009,Catania
2020-05-05 17:00:00,1012,Catania
2020-05-06 17:00:00,1021,Catania
2020-05-07 17:00:00,1027,Catania
2020-05-08 17:00:00,1032,Catania
2020-05-09 17:00:00,1035,Catania
2020-05-10 17:00:00,1037,Catania
2020-05-11 17:00:00,1046,Catania
2020-05-12 17:00:00,1047,Catania
2020-05-13 17:00:00,1047,Catania
2020-05-14 17:00:00,1057,Catania
2020-05-15 17:00:00,1059,Catania
2020-05-16 17:00:00,1061,Catania
2020-05-17 17:00:00,1061,Catania
2020-05-18 17:00:00,1061,Catania
2020-05-19 17:00:00,1062,Catania
2020-05-20 17:00:00,1063,Catania
2020-05-21 17:00:00,1063,Catania
2020-05-22 17:00:00,1067,Catania
2020-05-23 17:00:00,1067,Catania
2020-05-24 17:00:00,1068,Catania
2020-05-25 17:00:00,1070,Catania
2020-05-26 17:00:00,1071,Catania
2020-05-27 17:00:00,1072,Catania
2020-05-28 17:00:00,1072,Catania
2020-05-29 17:00:00,1072,Catania
2020-05-30 17:00:00,1072,Catania
2020-05-31 17:00:00,1072,Catania
2020-06-01 17:00:00,1072,Catania
2020-06-02 17:00:00,1072,Catania
2020-06-03 17:00:00,1072,Catania
2020-06-04 17:00:00,1072,Catania
2020-06-05 17:00:00,1072,Catania
2020-06-06 17:00:00,1073,Catania
2020-06-07 17:00:00,1073,Catania
2020-06-08 17:00:00,1074,Catania
2020-06-09 17:00:00,1075,Catania
2020-06-10 17:00:00,1076,Catania
2020-06-11 17:00:00,1076,Catania
2020-06-12 17:00:00,1076,Catania
2020-06-13 17:00:00,1076,Catania
2020-06-14 17:00:00,1076,Catania
2020-06-15 17:00:00,1077,Catania
2020-06-16 17:00:00,1077,Catania
2020-06-17 17:00:00,1077,Catania
2020-06-18 17:00:00,1078,Catania
2020-06-19 17:00:00,777,Catania
2020-06-20 17:00:00,777,Catania
2020-06-21 17:00:00,777,Catania
2020-06-22 17:00:00,777,Catania
2020-06-23 17:00:00,777,Catania
2020-06-24 17:00:00,777,Catania
2020-06-25 17:00:00,777,Catania
2020-06-26 17:00:00,777,Catania
2020-06-27 17:00:00,777,Catania
2020-06-28 17:00:00,777,Catania
2020-06-29 17:00:00,777,Catania
2020-06-30 17:00:00,779,Catania
2020-07-01 17:00:00,779,Catania
2020-07-02 17:00:00,779,Catania
2020-07-03 17:00:00,779,Catania
2020-07-04 17:00:00,779,Catania
2020-07-05 17:00:00,779,Catania
2020-07-06 17:00:00,779,Catania
2020-07-07 17:00:00,779,Catania
2020-07-08 17:00:00,779,Catania
2020-07-09 17:00:00,779,Catania
2020-07-10 17:00:00,779,Catania
2020-07-11 17:00:00,780,Catania
2020-07-12 17:00:00,780,Catania
2020-07-13 17:00:00,780,Catania
2020-07-14 17:00:00,784,Catania
2020-07-15 17:00:00,784,Catania
2020-07-16 17:00:00,785,Catania
2020-07-17 17:00:00,788,Catania
2020-07-18 17:00:00,789,Catania
2020-07-19 17:00:00,791,Catania
2020-07-20 17:00:00,792,Catania
2020-07-21 17:00:00,793,Catania
2020-07-22 17:00:00,799,Catania
2020-07-23 17:00:00,803,Catania
2020-07-24 17:00:00,805,Catania
2020-07-25 17:00:00,814,Catania
