data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Cuneo
2020-02-25 18:00:00,0,Cuneo
2020-02-26 18:00:00,0,Cuneo
2020-02-27 18:00:00,0,Cuneo
2020-02-28 18:00:00,0,Cuneo
2020-02-29 17:00:00,0,Cuneo
2020-03-01 17:00:00,0,Cuneo
2020-03-02 17:00:00,0,Cuneo
2020-03-03 17:00:00,0,Cuneo
2020-03-04 17:00:00,0,Cuneo
2020-03-05 17:00:00,0,Cuneo
2020-03-06 18:00:00,1,Cuneo
2020-03-07 18:00:00,1,Cuneo
2020-03-08 18:00:00,5,Cuneo
2020-03-09 18:00:00,11,Cuneo
2020-03-10 18:00:00,14,Cuneo
2020-03-11 17:00:00,17,Cuneo
2020-03-12 17:00:00,24,Cuneo
2020-03-13 17:00:00,40,Cuneo
2020-03-14 17:00:00,47,Cuneo
2020-03-15 17:00:00,61,Cuneo
2020-03-16 17:00:00,91,Cuneo
2020-03-17 17:00:00,119,Cuneo
2020-03-18 17:00:00,149,Cuneo
2020-03-19 17:00:00,149,Cuneo
2020-03-20 17:00:00,221,Cuneo
2020-03-21 17:00:00,265,Cuneo
2020-03-22 17:00:00,303,Cuneo
2020-03-23 17:00:00,367,Cuneo
2020-03-24 17:00:00,409,Cuneo
2020-03-25 17:00:00,441,Cuneo
2020-03-26 17:00:00,487,Cuneo
2020-03-27 17:00:00,518,Cuneo
2020-03-28 17:00:00,558,Cuneo
2020-03-29 17:00:00,591,Cuneo
2020-03-30 17:00:00,650,Cuneo
2020-03-31 17:00:00,731,Cuneo
2020-04-01 17:00:00,778,Cuneo
2020-04-02 17:00:00,826,Cuneo
2020-04-03 17:00:00,850,Cuneo
2020-04-04 17:00:00,932,Cuneo
2020-04-05 17:00:00,1071,Cuneo
2020-04-06 17:00:00,1135,Cuneo
2020-04-07 17:00:00,1187,Cuneo
2020-04-08 17:00:00,1227,Cuneo
2020-04-09 17:00:00,1301,Cuneo
2020-04-10 17:00:00,1318,Cuneo
2020-04-11 17:00:00,1350,Cuneo
2020-04-12 17:00:00,1462,Cuneo
2020-04-13 17:00:00,1607,Cuneo
2020-04-14 17:00:00,1747,Cuneo
2020-04-15 17:00:00,1791,Cuneo
2020-04-16 17:00:00,1814,Cuneo
2020-04-17 17:00:00,1897,Cuneo
2020-04-18 17:00:00,1977,Cuneo
2020-04-19 17:00:00,2053,Cuneo
2020-04-20 17:00:00,2075,Cuneo
2020-04-21 17:00:00,2125,Cuneo
2020-04-22 17:00:00,2184,Cuneo
