data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Firenze
2020-02-25 18:00:00,1,Firenze
2020-02-26 18:00:00,2,Firenze
2020-02-27 18:00:00,1,Firenze
2020-02-28 18:00:00,7,Firenze
2020-02-29 17:00:00,5,Firenze
2020-03-01 17:00:00,5,Firenze
2020-03-02 17:00:00,4,Firenze
2020-03-03 17:00:00,7,Firenze
2020-03-04 17:00:00,12,Firenze
2020-03-05 17:00:00,20,Firenze
2020-03-06 18:00:00,23,Firenze
2020-03-07 18:00:00,27,Firenze
2020-03-08 18:00:00,39,Firenze
2020-03-09 18:00:00,51,Firenze
2020-03-10 18:00:00,61,Firenze
2020-03-11 17:00:00,71,Firenze
2020-03-12 17:00:00,86,Firenze
2020-03-13 17:00:00,101,Firenze
2020-03-14 17:00:00,132,Firenze
2020-03-15 17:00:00,162,Firenze
2020-03-16 17:00:00,186,Firenze
2020-03-17 17:00:00,214,Firenze
2020-03-18 17:00:00,295,Firenze
2020-03-19 17:00:00,349,Firenze
2020-03-20 17:00:00,401,Firenze
2020-03-21 17:00:00,451,Firenze
2020-03-22 17:00:00,514,Firenze
2020-03-23 17:00:00,548,Firenze
2020-03-24 17:00:00,622,Firenze
2020-03-25 17:00:00,709,Firenze
2020-03-26 17:00:00,764,Firenze
2020-03-27 17:00:00,764,Firenze
2020-03-28 17:00:00,855,Firenze
2020-03-29 17:00:00,957,Firenze
2020-03-30 17:00:00,1022,Firenze
2020-03-31 17:00:00,1087,Firenze
2020-04-01 17:00:00,1158,Firenze
2020-04-02 17:00:00,1419,Firenze
2020-04-03 17:00:00,1543,Firenze
2020-04-04 17:00:00,1626,Firenze
2020-04-05 17:00:00,1715,Firenze
2020-04-06 17:00:00,1769,Firenze
2020-04-07 17:00:00,1805,Firenze
2020-04-08 17:00:00,1871,Firenze
2020-04-09 17:00:00,1961,Firenze
2020-04-10 17:00:00,2069,Firenze
2020-04-11 17:00:00,2154,Firenze
2020-04-12 17:00:00,2259,Firenze
2020-04-13 17:00:00,2269,Firenze
2020-04-14 17:00:00,2311,Firenze
2020-04-15 17:00:00,2372,Firenze
2020-04-16 17:00:00,2443,Firenze
2020-04-17 17:00:00,2494,Firenze
2020-04-18 17:00:00,2563,Firenze
2020-04-19 17:00:00,2609,Firenze
2020-04-20 17:00:00,2653,Firenze
2020-04-21 17:00:00,2704,Firenze
2020-04-22 17:00:00,2760,Firenze
2020-04-23 17:00:00,2795,Firenze
2020-04-24 17:00:00,2849,Firenze
2020-04-25 17:00:00,2924,Firenze
2020-04-26 17:00:00,3003,Firenze
2020-04-27 17:00:00,3011,Firenze
2020-04-28 17:00:00,3039,Firenze
2020-04-29 17:00:00,3079,Firenze
2020-04-30 17:00:00,3120,Firenze
2020-05-01 17:00:00,3156,Firenze
2020-05-02 17:00:00,3193,Firenze
2020-05-03 17:00:00,3210,Firenze
2020-05-04 17:00:00,3224,Firenze
2020-05-05 17:00:00,3242,Firenze
2020-05-06 17:00:00,3257,Firenze
2020-05-07 17:00:00,3275,Firenze
2020-05-08 17:00:00,3296,Firenze
2020-05-09 17:00:00,3305,Firenze
2020-05-10 17:00:00,3316,Firenze
2020-05-11 17:00:00,3322,Firenze
2020-05-12 17:00:00,3333,Firenze
2020-05-13 17:00:00,3340,Firenze
2020-05-14 17:00:00,3353,Firenze
2020-05-15 17:00:00,3371,Firenze
2020-05-16 17:00:00,3385,Firenze
2020-05-17 17:00:00,3403,Firenze
2020-05-18 17:00:00,3406,Firenze
2020-05-19 17:00:00,3411,Firenze
2020-05-20 17:00:00,3413,Firenze
2020-05-21 17:00:00,3420,Firenze
2020-05-22 17:00:00,3436,Firenze
2020-05-23 17:00:00,3445,Firenze
2020-05-24 17:00:00,3451,Firenze
2020-05-25 17:00:00,3451,Firenze
2020-05-26 17:00:00,3452,Firenze
2020-05-27 17:00:00,3456,Firenze
2020-05-28 17:00:00,3457,Firenze
2020-05-29 17:00:00,3458,Firenze
2020-05-30 17:00:00,3464,Firenze
2020-05-31 17:00:00,3467,Firenze
2020-06-01 17:00:00,3468,Firenze
2020-06-02 17:00:00,3471,Firenze
2020-06-03 17:00:00,3473,Firenze
2020-06-04 17:00:00,3473,Firenze
2020-06-05 17:00:00,3478,Firenze
2020-06-06 17:00:00,3482,Firenze
2020-06-07 17:00:00,3483,Firenze
2020-06-08 17:00:00,3485,Firenze
2020-06-09 17:00:00,3486,Firenze
2020-06-10 17:00:00,3487,Firenze
2020-06-11 17:00:00,3492,Firenze
2020-06-12 17:00:00,3497,Firenze
2020-06-13 17:00:00,3504,Firenze
2020-06-14 17:00:00,3510,Firenze
2020-06-15 17:00:00,3513,Firenze
2020-06-16 17:00:00,3513,Firenze
2020-06-17 17:00:00,3513,Firenze
2020-06-18 17:00:00,3514,Firenze
2020-06-19 17:00:00,3516,Firenze
2020-06-20 17:00:00,3516,Firenze
2020-06-21 17:00:00,3517,Firenze
2020-06-22 17:00:00,3517,Firenze
2020-06-23 17:00:00,3518,Firenze
2020-06-24 17:00:00,3185,Firenze
2020-06-25 17:00:00,3185,Firenze
2020-06-26 17:00:00,3185,Firenze
2020-06-27 17:00:00,3187,Firenze
2020-06-28 17:00:00,3187,Firenze
2020-06-29 17:00:00,3190,Firenze
2020-06-30 17:00:00,3192,Firenze
2020-07-01 17:00:00,3192,Firenze
2020-07-02 17:00:00,3192,Firenze
2020-07-03 17:00:00,3199,Firenze
2020-07-04 17:00:00,3200,Firenze
2020-07-05 17:00:00,3206,Firenze
2020-07-06 17:00:00,3206,Firenze
2020-07-07 17:00:00,3213,Firenze
2020-07-08 17:00:00,3218,Firenze
