data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Imperia
2020-02-25 18:00:00,0,Imperia
2020-02-26 18:00:00,0,Imperia
2020-02-27 18:00:00,0,Imperia
2020-02-28 18:00:00,0,Imperia
2020-02-29 17:00:00,0,Imperia
2020-03-01 17:00:00,1,Imperia
2020-03-02 17:00:00,1,Imperia
2020-03-03 17:00:00,2,Imperia
2020-03-04 17:00:00,2,Imperia
2020-03-05 17:00:00,2,Imperia
2020-03-06 18:00:00,3,Imperia
2020-03-07 18:00:00,7,Imperia
2020-03-08 18:00:00,10,Imperia
2020-03-09 18:00:00,11,Imperia
2020-03-10 18:00:00,15,Imperia
2020-03-11 17:00:00,18,Imperia
2020-03-12 17:00:00,32,Imperia
2020-03-13 17:00:00,41,Imperia
2020-03-14 17:00:00,64,Imperia
2020-03-15 17:00:00,78,Imperia
2020-03-16 17:00:00,78,Imperia
2020-03-17 17:00:00,76,Imperia
2020-03-18 17:00:00,101,Imperia
2020-03-19 17:00:00,117,Imperia
2020-03-20 17:00:00,145,Imperia
2020-03-21 17:00:00,155,Imperia
2020-03-22 17:00:00,168,Imperia
2020-03-23 17:00:00,160,Imperia
2020-03-24 17:00:00,186,Imperia
2020-03-25 17:00:00,177,Imperia
2020-03-26 17:00:00,211,Imperia
2020-03-27 17:00:00,214,Imperia
2020-03-28 17:00:00,236,Imperia
2020-03-29 17:00:00,234,Imperia
2020-03-30 17:00:00,243,Imperia
2020-03-31 17:00:00,234,Imperia
2020-04-01 17:00:00,226,Imperia
2020-04-02 17:00:00,220,Imperia
2020-04-03 17:00:00,223,Imperia
2020-04-04 17:00:00,224,Imperia
2020-04-05 17:00:00,586,Imperia
2020-04-06 17:00:00,592,Imperia
2020-04-07 17:00:00,667,Imperia
2020-04-08 17:00:00,799,Imperia
2020-04-09 17:00:00,831,Imperia
2020-04-10 17:00:00,899,Imperia
2020-04-11 17:00:00,881,Imperia
2020-04-12 17:00:00,882,Imperia
2020-04-13 17:00:00,882,Imperia
2020-04-14 17:00:00,979,Imperia
2020-04-15 17:00:00,1036,Imperia
2020-04-16 17:00:00,1048,Imperia
2020-04-17 17:00:00,1083,Imperia
2020-04-18 17:00:00,1104,Imperia
2020-04-19 17:00:00,1122,Imperia
2020-04-20 17:00:00,1156,Imperia
2020-04-21 17:00:00,1156,Imperia
2020-04-22 17:00:00,1186,Imperia
2020-04-23 17:00:00,1199,Imperia
2020-04-24 17:00:00,1214,Imperia
2020-04-25 17:00:00,1233,Imperia
2020-04-26 17:00:00,1245,Imperia
2020-04-27 17:00:00,1246,Imperia
2020-04-28 17:00:00,1283,Imperia
2020-04-29 17:00:00,1317,Imperia
2020-04-30 17:00:00,1338,Imperia
2020-05-01 17:00:00,1352,Imperia
2020-05-02 17:00:00,1369,Imperia
2020-05-03 17:00:00,1375,Imperia
2020-05-04 17:00:00,1376,Imperia
2020-05-05 17:00:00,1376,Imperia
2020-05-06 17:00:00,1382,Imperia
2020-05-07 17:00:00,1389,Imperia
2020-05-08 17:00:00,1399,Imperia
2020-05-09 17:00:00,1403,Imperia
2020-05-10 17:00:00,1417,Imperia
2020-05-11 17:00:00,1429,Imperia
2020-05-12 17:00:00,1443,Imperia
2020-05-13 17:00:00,1445,Imperia
2020-05-14 17:00:00,1456,Imperia
2020-05-15 17:00:00,1459,Imperia
2020-05-16 17:00:00,1470,Imperia
2020-05-17 17:00:00,1480,Imperia
2020-05-18 17:00:00,1488,Imperia
2020-05-19 17:00:00,1492,Imperia
