data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Lecce
2020-02-25 18:00:00,0,Lecce
2020-02-26 18:00:00,0,Lecce
2020-02-27 18:00:00,0,Lecce
2020-02-28 18:00:00,0,Lecce
2020-02-29 17:00:00,0,Lecce
2020-03-01 17:00:00,0,Lecce
2020-03-02 17:00:00,0,Lecce
2020-03-03 17:00:00,0,Lecce
2020-03-04 17:00:00,1,Lecce
2020-03-05 17:00:00,1,Lecce
2020-03-06 18:00:00,3,Lecce
2020-03-07 18:00:00,4,Lecce
2020-03-08 18:00:00,10,Lecce
2020-03-09 18:00:00,10,Lecce
2020-03-10 18:00:00,10,Lecce
2020-03-11 17:00:00,12,Lecce
2020-03-12 17:00:00,18,Lecce
2020-03-13 17:00:00,19,Lecce
2020-03-14 17:00:00,24,Lecce
2020-03-15 17:00:00,38,Lecce
2020-03-16 17:00:00,38,Lecce
2020-03-17 17:00:00,62,Lecce
2020-03-18 17:00:00,65,Lecce
2020-03-19 17:00:00,71,Lecce
2020-03-20 17:00:00,88,Lecce
2020-03-21 17:00:00,103,Lecce
2020-03-22 17:00:00,120,Lecce
2020-03-23 17:00:00,149,Lecce
2020-03-24 17:00:00,161,Lecce
2020-03-25 17:00:00,164,Lecce
2020-03-26 17:00:00,177,Lecce
2020-03-27 17:00:00,215,Lecce
2020-03-28 17:00:00,239,Lecce
2020-03-29 17:00:00,239,Lecce
2020-03-30 17:00:00,293,Lecce
2020-03-31 17:00:00,303,Lecce
2020-04-01 17:00:00,321,Lecce
2020-04-02 17:00:00,353,Lecce
2020-04-03 17:00:00,359,Lecce
2020-04-04 17:00:00,362,Lecce
2020-04-05 17:00:00,368,Lecce
2020-04-06 17:00:00,378,Lecce
2020-04-07 17:00:00,384,Lecce
2020-04-08 17:00:00,389,Lecce
2020-04-09 17:00:00,395,Lecce
2020-04-10 17:00:00,403,Lecce
2020-04-11 17:00:00,418,Lecce
2020-04-12 17:00:00,418,Lecce
2020-04-13 17:00:00,424,Lecce
2020-04-14 17:00:00,425,Lecce
2020-04-15 17:00:00,426,Lecce
