data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Pavia
2020-02-25 18:00:00,27,Pavia
2020-02-26 18:00:00,27,Pavia
2020-02-27 18:00:00,36,Pavia
2020-02-28 18:00:00,49,Pavia
2020-02-29 17:00:00,55,Pavia
2020-03-01 17:00:00,78,Pavia
2020-03-02 17:00:00,83,Pavia
2020-03-03 17:00:00,122,Pavia
2020-03-04 17:00:00,126,Pavia
2020-03-05 17:00:00,151,Pavia
2020-03-06 18:00:00,180,Pavia
2020-03-07 18:00:00,221,Pavia
2020-03-08 18:00:00,243,Pavia
2020-03-09 18:00:00,296,Pavia
2020-03-10 18:00:00,324,Pavia
2020-03-11 17:00:00,403,Pavia
2020-03-12 17:00:00,468,Pavia
2020-03-13 17:00:00,482,Pavia
2020-03-14 17:00:00,622,Pavia
2020-03-15 17:00:00,722,Pavia
2020-03-16 17:00:00,801,Pavia
2020-03-17 17:00:00,884,Pavia
2020-03-18 17:00:00,978,Pavia
2020-03-19 17:00:00,1011,Pavia
2020-03-20 17:00:00,1105,Pavia
2020-03-21 17:00:00,1194,Pavia
2020-03-22 17:00:00,1306,Pavia
2020-03-23 17:00:00,1444,Pavia
2020-03-24 17:00:00,1499,Pavia
2020-03-25 17:00:00,1578,Pavia
2020-03-26 17:00:00,1685,Pavia
2020-03-27 17:00:00,1712,Pavia
2020-03-28 17:00:00,1877,Pavia
2020-03-29 17:00:00,1974,Pavia
2020-03-30 17:00:00,2036,Pavia
2020-03-31 17:00:00,2133,Pavia
2020-04-01 17:00:00,2180,Pavia
2020-04-02 17:00:00,2285,Pavia
2020-04-03 17:00:00,2331,Pavia
2020-04-04 17:00:00,2499,Pavia
2020-04-05 17:00:00,2619,Pavia
2020-04-06 17:00:00,2700,Pavia
2020-04-07 17:00:00,2735,Pavia
2020-04-08 17:00:00,2823,Pavia
2020-04-09 17:00:00,2889,Pavia
2020-04-10 17:00:00,2963,Pavia
2020-04-11 17:00:00,3049,Pavia
2020-04-12 17:00:00,3133,Pavia
2020-04-13 17:00:00,3193,Pavia
2020-04-14 17:00:00,3246,Pavia
2020-04-15 17:00:00,3316,Pavia
2020-04-16 17:00:00,3390,Pavia
2020-04-17 17:00:00,3448,Pavia
