data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Pesaro e Urbino
2020-02-25 18:00:00,0,Pesaro e Urbino
2020-02-26 18:00:00,1,Pesaro e Urbino
2020-02-27 18:00:00,3,Pesaro e Urbino
2020-02-28 18:00:00,6,Pesaro e Urbino
2020-02-29 17:00:00,11,Pesaro e Urbino
2020-03-01 17:00:00,24,Pesaro e Urbino
2020-03-02 17:00:00,33,Pesaro e Urbino
2020-03-03 17:00:00,55,Pesaro e Urbino
2020-03-04 17:00:00,72,Pesaro e Urbino
2020-03-05 17:00:00,100,Pesaro e Urbino
2020-03-06 18:00:00,126,Pesaro e Urbino
2020-03-07 18:00:00,159,Pesaro e Urbino
2020-03-08 18:00:00,204,Pesaro e Urbino
2020-03-09 18:00:00,246,Pesaro e Urbino
2020-03-10 18:00:00,296,Pesaro e Urbino
2020-03-11 17:00:00,342,Pesaro e Urbino
2020-03-12 17:00:00,403,Pesaro e Urbino
2020-03-13 17:00:00,496,Pesaro e Urbino
2020-03-14 17:00:00,591,Pesaro e Urbino
2020-03-15 17:00:00,712,Pesaro e Urbino
2020-03-16 17:00:00,733,Pesaro e Urbino
2020-03-17 17:00:00,812,Pesaro e Urbino
2020-03-18 17:00:00,910,Pesaro e Urbino
2020-03-19 17:00:00,983,Pesaro e Urbino
2020-03-20 17:00:00,1099,Pesaro e Urbino
2020-03-21 17:00:00,1186,Pesaro e Urbino
2020-03-22 17:00:00,1249,Pesaro e Urbino
2020-03-23 17:00:00,1312,Pesaro e Urbino
2020-03-24 17:00:00,1371,Pesaro e Urbino
2020-03-25 17:00:00,1432,Pesaro e Urbino
2020-03-26 17:00:00,1474,Pesaro e Urbino
2020-03-27 17:00:00,1475,Pesaro e Urbino
2020-03-28 17:00:00,1507,Pesaro e Urbino
2020-03-29 17:00:00,1577,Pesaro e Urbino
2020-03-30 17:00:00,1639,Pesaro e Urbino
2020-03-31 17:00:00,1664,Pesaro e Urbino
2020-04-01 17:00:00,1722,Pesaro e Urbino
2020-04-02 17:00:00,1756,Pesaro e Urbino
2020-04-03 17:00:00,1786,Pesaro e Urbino
2020-04-04 17:00:00,1820,Pesaro e Urbino
2020-04-05 17:00:00,1853,Pesaro e Urbino
2020-04-06 17:00:00,1919,Pesaro e Urbino
2020-04-07 17:00:00,1956,Pesaro e Urbino
2020-04-08 17:00:00,2001,Pesaro e Urbino
2020-04-09 17:00:00,2044,Pesaro e Urbino
2020-04-10 17:00:00,2093,Pesaro e Urbino
2020-04-11 17:00:00,2121,Pesaro e Urbino
2020-04-12 17:00:00,2140,Pesaro e Urbino
2020-04-13 17:00:00,2181,Pesaro e Urbino
2020-04-14 17:00:00,2195,Pesaro e Urbino
2020-04-15 17:00:00,2230,Pesaro e Urbino
2020-04-16 17:00:00,2249,Pesaro e Urbino
2020-04-17 17:00:00,2277,Pesaro e Urbino
2020-04-18 17:00:00,2293,Pesaro e Urbino
2020-04-19 17:00:00,2312,Pesaro e Urbino
2020-04-20 17:00:00,2333,Pesaro e Urbino
2020-04-21 17:00:00,2347,Pesaro e Urbino
2020-04-22 17:00:00,2366,Pesaro e Urbino
2020-04-23 17:00:00,2374,Pesaro e Urbino
2020-04-24 17:00:00,2401,Pesaro e Urbino
2020-04-25 17:00:00,2411,Pesaro e Urbino
2020-04-26 17:00:00,2428,Pesaro e Urbino
2020-04-27 17:00:00,2439,Pesaro e Urbino
2020-04-28 17:00:00,2473,Pesaro e Urbino
2020-04-29 17:00:00,2490,Pesaro e Urbino
2020-04-30 17:00:00,2506,Pesaro e Urbino
2020-05-01 17:00:00,2521,Pesaro e Urbino
2020-05-02 17:00:00,2529,Pesaro e Urbino
2020-05-03 17:00:00,2540,Pesaro e Urbino
2020-05-04 17:00:00,2571,Pesaro e Urbino
2020-05-05 17:00:00,2586,Pesaro e Urbino
2020-05-06 17:00:00,2604,Pesaro e Urbino
2020-05-07 17:00:00,2630,Pesaro e Urbino
2020-05-08 17:00:00,2639,Pesaro e Urbino
2020-05-09 17:00:00,2650,Pesaro e Urbino
2020-05-10 17:00:00,2667,Pesaro e Urbino
2020-05-11 17:00:00,2675,Pesaro e Urbino
2020-05-12 17:00:00,2690,Pesaro e Urbino
2020-05-13 17:00:00,2705,Pesaro e Urbino
2020-05-14 17:00:00,2713,Pesaro e Urbino
2020-05-15 17:00:00,2723,Pesaro e Urbino
2020-05-16 17:00:00,2727,Pesaro e Urbino
2020-05-17 17:00:00,2730,Pesaro e Urbino
2020-05-18 17:00:00,2731,Pesaro e Urbino
2020-05-19 17:00:00,2733,Pesaro e Urbino
2020-05-20 17:00:00,2735,Pesaro e Urbino
2020-05-21 17:00:00,2736,Pesaro e Urbino
2020-05-22 17:00:00,2738,Pesaro e Urbino
2020-05-23 17:00:00,2738,Pesaro e Urbino
2020-05-24 17:00:00,2740,Pesaro e Urbino
2020-05-25 17:00:00,2740,Pesaro e Urbino
2020-05-26 17:00:00,2740,Pesaro e Urbino
2020-05-27 17:00:00,2740,Pesaro e Urbino
2020-05-28 17:00:00,2740,Pesaro e Urbino
2020-05-29 17:00:00,2741,Pesaro e Urbino
2020-05-30 17:00:00,2744,Pesaro e Urbino
2020-05-31 17:00:00,2745,Pesaro e Urbino
2020-06-01 17:00:00,2745,Pesaro e Urbino
2020-06-02 17:00:00,2745,Pesaro e Urbino
2020-06-03 17:00:00,2745,Pesaro e Urbino
2020-06-04 17:00:00,2748,Pesaro e Urbino
2020-06-05 17:00:00,2749,Pesaro e Urbino
2020-06-06 17:00:00,2751,Pesaro e Urbino
2020-06-07 17:00:00,2751,Pesaro e Urbino
2020-06-08 17:00:00,2752,Pesaro e Urbino
2020-06-09 17:00:00,2752,Pesaro e Urbino
2020-06-10 17:00:00,2754,Pesaro e Urbino
2020-06-11 17:00:00,2754,Pesaro e Urbino
2020-06-12 17:00:00,2754,Pesaro e Urbino
2020-06-13 17:00:00,2754,Pesaro e Urbino
2020-06-14 17:00:00,2754,Pesaro e Urbino
2020-06-15 17:00:00,2755,Pesaro e Urbino
2020-06-16 17:00:00,2755,Pesaro e Urbino
2020-06-17 17:00:00,2755,Pesaro e Urbino
2020-06-18 17:00:00,2755,Pesaro e Urbino
2020-06-19 17:00:00,2755,Pesaro e Urbino
2020-06-20 17:00:00,2755,Pesaro e Urbino
2020-06-21 17:00:00,2755,Pesaro e Urbino
2020-06-22 17:00:00,2756,Pesaro e Urbino
2020-06-23 17:00:00,2757,Pesaro e Urbino
2020-06-24 17:00:00,2758,Pesaro e Urbino
2020-06-25 17:00:00,2757,Pesaro e Urbino
2020-06-26 17:00:00,2757,Pesaro e Urbino
2020-06-27 17:00:00,2757,Pesaro e Urbino
2020-06-28 17:00:00,2757,Pesaro e Urbino
2020-06-29 17:00:00,2757,Pesaro e Urbino
2020-06-30 17:00:00,2757,Pesaro e Urbino
2020-07-01 17:00:00,2758,Pesaro e Urbino
2020-07-02 17:00:00,2759,Pesaro e Urbino
2020-07-03 17:00:00,2759,Pesaro e Urbino
2020-07-04 17:00:00,2759,Pesaro e Urbino
2020-07-05 17:00:00,2759,Pesaro e Urbino
2020-07-06 17:00:00,2759,Pesaro e Urbino
2020-07-07 17:00:00,2760,Pesaro e Urbino
2020-07-08 17:00:00,2761,Pesaro e Urbino
2020-07-09 17:00:00,2762,Pesaro e Urbino
2020-07-10 17:00:00,2762,Pesaro e Urbino
2020-07-11 17:00:00,2764,Pesaro e Urbino
2020-07-12 17:00:00,2764,Pesaro e Urbino
2020-07-13 17:00:00,2764,Pesaro e Urbino
2020-07-14 17:00:00,2764,Pesaro e Urbino
2020-07-15 17:00:00,2764,Pesaro e Urbino
2020-07-16 17:00:00,2765,Pesaro e Urbino
2020-07-17 17:00:00,2767,Pesaro e Urbino
2020-07-18 17:00:00,2768,Pesaro e Urbino
2020-07-19 17:00:00,2768,Pesaro e Urbino
2020-07-20 17:00:00,2768,Pesaro e Urbino
2020-07-21 17:00:00,2768,Pesaro e Urbino
2020-07-22 17:00:00,2768,Pesaro e Urbino
2020-07-23 17:00:00,2768,Pesaro e Urbino
2020-07-24 17:00:00,2769,Pesaro e Urbino
2020-07-25 17:00:00,2771,Pesaro e Urbino
2020-07-26 17:00:00,2777,Pesaro e Urbino
2020-07-27 17:00:00,2779,Pesaro e Urbino
2020-07-28 17:00:00,2783,Pesaro e Urbino
2020-07-29 17:00:00,2794,Pesaro e Urbino
2020-07-30 17:00:00,2799,Pesaro e Urbino
2020-07-31 17:00:00,2814,Pesaro e Urbino
2020-08-01 17:00:00,2814,Pesaro e Urbino
2020-08-02 17:00:00,2819,Pesaro e Urbino
2020-08-03 17:00:00,2819,Pesaro e Urbino
2020-08-04 17:00:00,2821,Pesaro e Urbino
2020-08-05 17:00:00,2822,Pesaro e Urbino
2020-08-06 17:00:00,2827,Pesaro e Urbino
2020-08-07 17:00:00,2840,Pesaro e Urbino
2020-08-08 17:00:00,2842,Pesaro e Urbino
2020-08-09 17:00:00,2851,Pesaro e Urbino
2020-08-10 17:00:00,2851,Pesaro e Urbino
2020-08-11 17:00:00,2852,Pesaro e Urbino
2020-08-12 17:00:00,2855,Pesaro e Urbino
2020-08-13 17:00:00,2860,Pesaro e Urbino
2020-08-14 17:00:00,2879,Pesaro e Urbino
2020-08-15 17:00:00,2882,Pesaro e Urbino
2020-08-16 17:00:00,2883,Pesaro e Urbino
2020-08-17 17:00:00,2884,Pesaro e Urbino
2020-08-18 17:00:00,2888,Pesaro e Urbino
2020-08-19 17:00:00,2889,Pesaro e Urbino
2020-08-20 17:00:00,2892,Pesaro e Urbino
2020-08-21 17:00:00,2898,Pesaro e Urbino
2020-08-22 17:00:00,2903,Pesaro e Urbino
2020-08-23 17:00:00,2903,Pesaro e Urbino
2020-08-24 17:00:00,2903,Pesaro e Urbino
2020-08-25 17:00:00,2906,Pesaro e Urbino
2020-08-26 17:00:00,2906,Pesaro e Urbino
2020-08-27 17:00:00,2923,Pesaro e Urbino
2020-08-28 17:00:00,2931,Pesaro e Urbino
2020-08-29 17:00:00,2937,Pesaro e Urbino
2020-08-30 17:00:00,2942,Pesaro e Urbino
2020-08-31 17:00:00,2943,Pesaro e Urbino
2020-09-01 17:00:00,2948,Pesaro e Urbino
2020-09-02 17:00:00,2954,Pesaro e Urbino
2020-09-03 17:00:00,2958,Pesaro e Urbino
2020-09-04 17:00:00,2965,Pesaro e Urbino
2020-09-05 17:00:00,2981,Pesaro e Urbino
2020-09-06 17:00:00,2992,Pesaro e Urbino
2020-09-07 17:00:00,2992,Pesaro e Urbino
2020-09-08 17:00:00,2993,Pesaro e Urbino
2020-09-09 17:00:00,2998,Pesaro e Urbino
2020-09-10 17:00:00,3013,Pesaro e Urbino
2020-09-11 17:00:00,3021,Pesaro e Urbino
2020-09-12 17:00:00,3031,Pesaro e Urbino
2020-09-13 17:00:00,3050,Pesaro e Urbino
2020-09-14 17:00:00,3050,Pesaro e Urbino
2020-09-15 17:00:00,3051,Pesaro e Urbino
2020-09-16 17:00:00,3057,Pesaro e Urbino
2020-09-17 17:00:00,3070,Pesaro e Urbino
2020-09-18 17:00:00,3078,Pesaro e Urbino
2020-09-19 17:00:00,3081,Pesaro e Urbino
2020-09-20 17:00:00,3085,Pesaro e Urbino
2020-09-21 17:00:00,3085,Pesaro e Urbino
2020-09-22 17:00:00,3091,Pesaro e Urbino
2020-09-23 17:00:00,3103,Pesaro e Urbino
2020-09-24 17:00:00,3108,Pesaro e Urbino
2020-09-25 17:00:00,3115,Pesaro e Urbino
2020-09-26 17:00:00,3118,Pesaro e Urbino
2020-09-27 17:00:00,3119,Pesaro e Urbino
2020-09-28 17:00:00,3119,Pesaro e Urbino
2020-09-29 17:00:00,3119,Pesaro e Urbino
2020-09-30 17:00:00,3124,Pesaro e Urbino
2020-10-01 17:00:00,3130,Pesaro e Urbino
2020-10-02 17:00:00,3133,Pesaro e Urbino
2020-10-03 17:00:00,3138,Pesaro e Urbino
2020-10-04 17:00:00,3146,Pesaro e Urbino
2020-10-05 17:00:00,3147,Pesaro e Urbino
2020-10-06 17:00:00,3149,Pesaro e Urbino
2020-10-07 17:00:00,3161,Pesaro e Urbino
2020-10-08 17:00:00,3164,Pesaro e Urbino
2020-10-09 17:00:00,3170,Pesaro e Urbino
2020-10-10 17:00:00,3182,Pesaro e Urbino
2020-10-11 17:00:00,3189,Pesaro e Urbino
2020-10-12 17:00:00,3191,Pesaro e Urbino
2020-10-13 17:00:00,3196,Pesaro e Urbino
2020-10-14 17:00:00,3206,Pesaro e Urbino
2020-10-15 17:00:00,3224,Pesaro e Urbino
2020-10-16 17:00:00,3226,Pesaro e Urbino
2020-10-17 17:00:00,3251,Pesaro e Urbino
2020-10-18 17:00:00,3276,Pesaro e Urbino
2020-10-19 17:00:00,3289,Pesaro e Urbino
2020-10-20 17:00:00,3305,Pesaro e Urbino
2020-10-21 17:00:00,3331,Pesaro e Urbino
2020-10-22 17:00:00,2646,Pesaro e Urbino
2020-10-23 17:00:00,3413,Pesaro e Urbino
2020-10-24 17:00:00,3445,Pesaro e Urbino
2020-10-25 17:00:00,3477,Pesaro e Urbino
2020-10-26 17:00:00,3496,Pesaro e Urbino
2020-10-27 17:00:00,3524,Pesaro e Urbino
2020-10-28 17:00:00,3568,Pesaro e Urbino
2020-10-29 17:00:00,3630,Pesaro e Urbino
2020-10-30 17:00:00,3674,Pesaro e Urbino
2020-10-31 17:00:00,3720,Pesaro e Urbino
2020-11-01 17:00:00,3785,Pesaro e Urbino
2020-11-02 17:00:00,3843,Pesaro e Urbino
2020-11-03 17:00:00,3891,Pesaro e Urbino
2020-11-04 17:00:00,3940,Pesaro e Urbino
2020-11-05 17:00:00,4019,Pesaro e Urbino
2020-11-06 17:00:00,4070,Pesaro e Urbino
2020-11-07 17:00:00,4123,Pesaro e Urbino
2020-11-08 17:00:00,4165,Pesaro e Urbino
2020-11-09 17:00:00,4173,Pesaro e Urbino
2020-11-10 17:00:00,4243,Pesaro e Urbino
2020-11-11 17:00:00,4329,Pesaro e Urbino
2020-11-12 17:00:00,4382,Pesaro e Urbino
2020-11-13 17:00:00,4476,Pesaro e Urbino
2020-11-14 17:00:00,4580,Pesaro e Urbino
2020-11-15 17:00:00,4734,Pesaro e Urbino
2020-11-16 17:00:00,4756,Pesaro e Urbino
2020-11-17 17:00:00,4824,Pesaro e Urbino
2020-11-18 17:00:00,4906,Pesaro e Urbino
2020-11-19 17:00:00,5074,Pesaro e Urbino
2020-11-20 17:00:00,5187,Pesaro e Urbino
2020-11-21 17:00:00,5259,Pesaro e Urbino
2020-11-22 17:00:00,5344,Pesaro e Urbino
2020-11-23 17:00:00,5372,Pesaro e Urbino
