data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Pescara
2020-02-25 18:00:00,0,Pescara
2020-02-26 18:00:00,0,Pescara
2020-02-27 18:00:00,0,Pescara
2020-02-28 18:00:00,0,Pescara
2020-02-29 17:00:00,0,Pescara
2020-03-01 17:00:00,0,Pescara
2020-03-02 17:00:00,0,Pescara
2020-03-03 17:00:00,1,Pescara
2020-03-04 17:00:00,1,Pescara
2020-03-05 17:00:00,1,Pescara
2020-03-06 18:00:00,1,Pescara
2020-03-07 18:00:00,2,Pescara
2020-03-08 18:00:00,8,Pescara
2020-03-09 18:00:00,14,Pescara
2020-03-10 18:00:00,18,Pescara
2020-03-11 17:00:00,18,Pescara
2020-03-12 17:00:00,48,Pescara
2020-03-13 17:00:00,48,Pescara
2020-03-14 17:00:00,65,Pescara
2020-03-15 17:00:00,82,Pescara
2020-03-16 17:00:00,101,Pescara
2020-03-17 17:00:00,138,Pescara
2020-03-18 17:00:00,160,Pescara
2020-03-19 17:00:00,223,Pescara
2020-03-20 17:00:00,259,Pescara
2020-03-21 17:00:00,302,Pescara
2020-03-22 17:00:00,334,Pescara
2020-03-23 17:00:00,370,Pescara
2020-03-24 17:00:00,369,Pescara
2020-03-25 17:00:00,412,Pescara
2020-03-26 17:00:00,445,Pescara
2020-03-27 17:00:00,476,Pescara
2020-03-28 17:00:00,512,Pescara
2020-03-29 17:00:00,576,Pescara
2020-03-30 17:00:00,594,Pescara
2020-03-31 17:00:00,622,Pescara
2020-04-01 17:00:00,631,Pescara
2020-04-02 17:00:00,646,Pescara
2020-04-03 17:00:00,669,Pescara
2020-04-04 17:00:00,700,Pescara
2020-04-05 17:00:00,727,Pescara
2020-04-06 17:00:00,728,Pescara
2020-04-07 17:00:00,756,Pescara
2020-04-08 17:00:00,771,Pescara
2020-04-09 17:00:00,805,Pescara
2020-04-10 17:00:00,838,Pescara
2020-04-11 17:00:00,869,Pescara
2020-04-12 17:00:00,889,Pescara
2020-04-13 17:00:00,930,Pescara
2020-04-14 17:00:00,947,Pescara
2020-04-15 17:00:00,971,Pescara
2020-04-16 17:00:00,1005,Pescara
2020-04-17 17:00:00,1042,Pescara
2020-04-18 17:00:00,1071,Pescara
