data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Rimini
2020-02-25 18:00:00,1,Rimini
2020-02-26 18:00:00,3,Rimini
2020-02-27 18:00:00,6,Rimini
2020-02-28 18:00:00,9,Rimini
2020-02-29 17:00:00,15,Rimini
2020-03-01 17:00:00,16,Rimini
2020-03-02 17:00:00,19,Rimini
2020-03-03 17:00:00,24,Rimini
2020-03-04 17:00:00,33,Rimini
2020-03-05 17:00:00,68,Rimini
2020-03-06 18:00:00,93,Rimini
2020-03-07 18:00:00,104,Rimini
2020-03-08 18:00:00,113,Rimini
2020-03-09 18:00:00,164,Rimini
2020-03-10 18:00:00,206,Rimini
2020-03-11 17:00:00,245,Rimini
2020-03-12 17:00:00,312,Rimini
2020-03-13 17:00:00,363,Rimini
2020-03-14 17:00:00,398,Rimini
2020-03-15 17:00:00,425,Rimini
2020-03-16 17:00:00,509,Rimini
2020-03-17 17:00:00,509,Rimini
2020-03-18 17:00:00,613,Rimini
2020-03-19 17:00:00,691,Rimini
2020-03-20 17:00:00,757,Rimini
2020-03-21 17:00:00,826,Rimini
2020-03-22 17:00:00,942,Rimini
2020-03-23 17:00:00,1035,Rimini
2020-03-24 17:00:00,1084,Rimini
2020-03-25 17:00:00,1136,Rimini
2020-03-26 17:00:00,1189,Rimini
2020-03-27 17:00:00,1264,Rimini
2020-03-28 17:00:00,1323,Rimini
2020-03-29 17:00:00,1357,Rimini
2020-03-30 17:00:00,1382,Rimini
2020-03-31 17:00:00,1407,Rimini
2020-04-01 17:00:00,1445,Rimini
2020-04-02 17:00:00,1456,Rimini
2020-04-03 17:00:00,1511,Rimini
2020-04-04 17:00:00,1523,Rimini
2020-04-05 17:00:00,1553,Rimini
2020-04-06 17:00:00,1575,Rimini
2020-04-07 17:00:00,1584,Rimini
2020-04-08 17:00:00,1596,Rimini
2020-04-09 17:00:00,1613,Rimini
2020-04-10 17:00:00,1651,Rimini
2020-04-11 17:00:00,1677,Rimini
2020-04-12 17:00:00,1706,Rimini
2020-04-13 17:00:00,1727,Rimini
2020-04-14 17:00:00,1740,Rimini
2020-04-15 17:00:00,1749,Rimini
2020-04-16 17:00:00,1774,Rimini
2020-04-17 17:00:00,1791,Rimini
2020-04-18 17:00:00,1805,Rimini
2020-04-19 17:00:00,1818,Rimini
2020-04-20 17:00:00,1846,Rimini
2020-04-21 17:00:00,1852,Rimini
2020-04-22 17:00:00,1874,Rimini
2020-04-23 17:00:00,1911,Rimini
2020-04-24 17:00:00,1927,Rimini
2020-04-25 17:00:00,1934,Rimini
2020-04-26 17:00:00,1937,Rimini
2020-04-27 17:00:00,1953,Rimini
2020-04-28 17:00:00,1973,Rimini
2020-04-29 17:00:00,1990,Rimini
2020-04-30 17:00:00,2005,Rimini
2020-05-01 17:00:00,2009,Rimini
2020-05-02 17:00:00,2022,Rimini
2020-05-03 17:00:00,2027,Rimini
2020-05-04 17:00:00,2036,Rimini
2020-05-05 17:00:00,2043,Rimini
2020-05-06 17:00:00,2044,Rimini
2020-05-07 17:00:00,2054,Rimini
2020-05-08 17:00:00,2056,Rimini
2020-05-09 17:00:00,2068,Rimini
2020-05-10 17:00:00,2069,Rimini
2020-05-11 17:00:00,2074,Rimini
2020-05-12 17:00:00,2077,Rimini
2020-05-13 17:00:00,2079,Rimini
2020-05-14 17:00:00,2083,Rimini
2020-05-15 17:00:00,2087,Rimini
2020-05-16 17:00:00,2092,Rimini
2020-05-17 17:00:00,2097,Rimini
2020-05-18 17:00:00,2098,Rimini
2020-05-19 17:00:00,2103,Rimini
2020-05-20 17:00:00,2107,Rimini
2020-05-21 17:00:00,2113,Rimini
2020-05-22 17:00:00,2122,Rimini
2020-05-23 17:00:00,2134,Rimini
2020-05-24 17:00:00,2134,Rimini
2020-05-25 17:00:00,2138,Rimini
2020-05-26 17:00:00,2142,Rimini
2020-05-27 17:00:00,2145,Rimini
2020-05-28 17:00:00,2150,Rimini
2020-05-29 17:00:00,2152,Rimini
2020-05-30 17:00:00,2154,Rimini
2020-05-31 17:00:00,2154,Rimini
2020-06-01 17:00:00,2154,Rimini
2020-06-02 17:00:00,2156,Rimini
2020-06-03 17:00:00,2156,Rimini
2020-06-04 17:00:00,2156,Rimini
2020-06-05 17:00:00,2158,Rimini
2020-06-06 17:00:00,2159,Rimini
2020-06-07 17:00:00,2160,Rimini
2020-06-08 17:00:00,2161,Rimini
2020-06-09 17:00:00,2164,Rimini
2020-06-10 17:00:00,2165,Rimini
2020-06-11 17:00:00,2167,Rimini
2020-06-12 17:00:00,2168,Rimini
2020-06-13 17:00:00,2168,Rimini
2020-06-14 17:00:00,2168,Rimini
2020-06-15 17:00:00,2168,Rimini
2020-06-16 17:00:00,2169,Rimini
2020-06-17 17:00:00,2170,Rimini
2020-06-18 17:00:00,2172,Rimini
2020-06-19 17:00:00,2174,Rimini
2020-06-20 17:00:00,2178,Rimini
2020-06-21 17:00:00,2179,Rimini
2020-06-22 17:00:00,2179,Rimini
2020-06-23 17:00:00,2178,Rimini
2020-06-24 17:00:00,2136,Rimini
2020-06-25 17:00:00,2137,Rimini
2020-06-26 17:00:00,2133,Rimini
2020-06-27 17:00:00,2143,Rimini
2020-06-28 17:00:00,2146,Rimini
2020-06-29 17:00:00,2146,Rimini
2020-06-30 17:00:00,2147,Rimini
2020-07-01 17:00:00,2148,Rimini
2020-07-02 17:00:00,2149,Rimini
2020-07-03 17:00:00,2149,Rimini
2020-07-04 17:00:00,2150,Rimini
2020-07-05 17:00:00,2150,Rimini
2020-07-06 17:00:00,2152,Rimini
2020-07-07 17:00:00,2159,Rimini
2020-07-08 17:00:00,2166,Rimini
2020-07-09 17:00:00,2167,Rimini
2020-07-10 17:00:00,2168,Rimini
2020-07-11 17:00:00,2170,Rimini
2020-07-12 17:00:00,2172,Rimini
2020-07-13 17:00:00,2173,Rimini
2020-07-14 17:00:00,2174,Rimini
2020-07-15 17:00:00,2177,Rimini
2020-07-16 17:00:00,2177,Rimini
2020-07-17 17:00:00,2177,Rimini
2020-07-18 17:00:00,2178,Rimini
2020-07-19 17:00:00,2178,Rimini
