data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Salerno
2020-02-25 18:00:00,0,Salerno
2020-02-26 18:00:00,0,Salerno
2020-02-27 18:00:00,0,Salerno
2020-02-28 18:00:00,0,Salerno
2020-02-29 17:00:00,0,Salerno
2020-03-01 17:00:00,0,Salerno
2020-03-02 17:00:00,0,Salerno
2020-03-03 17:00:00,0,Salerno
2020-03-04 17:00:00,0,Salerno
2020-03-05 17:00:00,0,Salerno
2020-03-06 18:00:00,0,Salerno
2020-03-07 18:00:00,0,Salerno
2020-03-08 18:00:00,15,Salerno
2020-03-09 18:00:00,17,Salerno
2020-03-10 18:00:00,17,Salerno
2020-03-11 17:00:00,17,Salerno
2020-03-12 17:00:00,18,Salerno
2020-03-13 17:00:00,20,Salerno
2020-03-14 17:00:00,31,Salerno
2020-03-15 17:00:00,49,Salerno
2020-03-16 17:00:00,57,Salerno
2020-03-17 17:00:00,65,Salerno
2020-03-18 17:00:00,65,Salerno
2020-03-19 17:00:00,92,Salerno
2020-03-20 17:00:00,115,Salerno
2020-03-21 17:00:00,126,Salerno
2020-03-22 17:00:00,157,Salerno
2020-03-23 17:00:00,179,Salerno
2020-03-24 17:00:00,182,Salerno
2020-03-25 17:00:00,220,Salerno
2020-03-26 17:00:00,244,Salerno
2020-03-27 17:00:00,244,Salerno
2020-03-28 17:00:00,307,Salerno
2020-03-29 17:00:00,323,Salerno
2020-03-30 17:00:00,338,Salerno
2020-03-31 17:00:00,341,Salerno
2020-04-01 17:00:00,360,Salerno
2020-04-02 17:00:00,385,Salerno
2020-04-03 17:00:00,400,Salerno
2020-04-04 17:00:00,426,Salerno
2020-04-05 17:00:00,437,Salerno
2020-04-06 17:00:00,462,Salerno
2020-04-07 17:00:00,468,Salerno
2020-04-08 17:00:00,489,Salerno
2020-04-09 17:00:00,499,Salerno
2020-04-10 17:00:00,513,Salerno
2020-04-11 17:00:00,533,Salerno
2020-04-12 17:00:00,536,Salerno
2020-04-13 17:00:00,541,Salerno
2020-04-14 17:00:00,557,Salerno
2020-04-15 17:00:00,564,Salerno
2020-04-16 17:00:00,587,Salerno
2020-04-17 17:00:00,599,Salerno
2020-04-18 17:00:00,602,Salerno
2020-04-19 17:00:00,607,Salerno
2020-04-20 17:00:00,622,Salerno
2020-04-21 17:00:00,633,Salerno
