data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Sassari
2020-02-25 18:00:00,0,Sassari
2020-02-26 18:00:00,0,Sassari
2020-02-27 18:00:00,0,Sassari
2020-02-28 18:00:00,0,Sassari
2020-02-29 17:00:00,0,Sassari
2020-03-01 17:00:00,0,Sassari
2020-03-02 17:00:00,0,Sassari
2020-03-03 17:00:00,0,Sassari
2020-03-04 17:00:00,0,Sassari
2020-03-05 17:00:00,0,Sassari
2020-03-06 18:00:00,0,Sassari
2020-03-07 18:00:00,0,Sassari
2020-03-08 18:00:00,0,Sassari
2020-03-09 18:00:00,1,Sassari
2020-03-10 18:00:00,1,Sassari
2020-03-11 17:00:00,2,Sassari
2020-03-12 17:00:00,4,Sassari
2020-03-13 17:00:00,4,Sassari
2020-03-14 17:00:00,6,Sassari
2020-03-15 17:00:00,35,Sassari
2020-03-16 17:00:00,57,Sassari
2020-03-17 17:00:00,63,Sassari
2020-03-18 17:00:00,74,Sassari
2020-03-19 17:00:00,134,Sassari
2020-03-20 17:00:00,216,Sassari
2020-03-21 17:00:00,251,Sassari
2020-03-22 17:00:00,253,Sassari
2020-03-23 17:00:00,260,Sassari
2020-03-24 17:00:00,309,Sassari
2020-03-25 17:00:00,318,Sassari
2020-03-26 17:00:00,331,Sassari
2020-03-27 17:00:00,336,Sassari
2020-03-28 17:00:00,407,Sassari
2020-03-29 17:00:00,415,Sassari
2020-03-30 17:00:00,454,Sassari
2020-03-31 17:00:00,486,Sassari
2020-04-01 17:00:00,497,Sassari
2020-04-02 17:00:00,528,Sassari
2020-04-03 17:00:00,547,Sassari
2020-04-04 17:00:00,585,Sassari
2020-04-05 17:00:00,601,Sassari
2020-04-06 17:00:00,610,Sassari
2020-04-07 17:00:00,620,Sassari
2020-04-08 17:00:00,654,Sassari
2020-04-09 17:00:00,689,Sassari
2020-04-10 17:00:00,706,Sassari
2020-04-11 17:00:00,724,Sassari
2020-04-12 17:00:00,737,Sassari
2020-04-13 17:00:00,745,Sassari
2020-04-14 17:00:00,749,Sassari
2020-04-15 17:00:00,763,Sassari
2020-04-16 17:00:00,764,Sassari
2020-04-17 17:00:00,774,Sassari
2020-04-18 17:00:00,789,Sassari
2020-04-19 17:00:00,796,Sassari
2020-04-20 17:00:00,798,Sassari
2020-04-21 17:00:00,798,Sassari
2020-04-22 17:00:00,804,Sassari
2020-04-23 17:00:00,810,Sassari
2020-04-24 17:00:00,811,Sassari
2020-04-25 17:00:00,822,Sassari
2020-04-26 17:00:00,828,Sassari
2020-04-27 17:00:00,829,Sassari
2020-04-28 17:00:00,830,Sassari
2020-04-29 17:00:00,833,Sassari
2020-04-30 17:00:00,836,Sassari
2020-05-01 17:00:00,848,Sassari
2020-05-02 17:00:00,848,Sassari
2020-05-03 17:00:00,848,Sassari
2020-05-04 17:00:00,848,Sassari
2020-05-05 17:00:00,848,Sassari
2020-05-06 17:00:00,849,Sassari
2020-05-07 17:00:00,854,Sassari
2020-05-08 17:00:00,860,Sassari
2020-05-09 17:00:00,863,Sassari
2020-05-10 17:00:00,866,Sassari
2020-05-11 17:00:00,866,Sassari
2020-05-12 17:00:00,866,Sassari
2020-05-13 17:00:00,866,Sassari
2020-05-14 17:00:00,866,Sassari
2020-05-15 17:00:00,869,Sassari
2020-05-16 17:00:00,871,Sassari
2020-05-17 17:00:00,871,Sassari
2020-05-18 17:00:00,871,Sassari
2020-05-19 17:00:00,871,Sassari
2020-05-20 17:00:00,872,Sassari
2020-05-21 17:00:00,872,Sassari
2020-05-22 17:00:00,872,Sassari
2020-05-23 17:00:00,871,Sassari
2020-05-24 17:00:00,871,Sassari
2020-05-25 17:00:00,870,Sassari
2020-05-26 17:00:00,870,Sassari
2020-05-27 17:00:00,870,Sassari
2020-05-28 17:00:00,870,Sassari
2020-05-29 17:00:00,870,Sassari
2020-05-30 17:00:00,870,Sassari
2020-05-31 17:00:00,870,Sassari
2020-06-01 17:00:00,870,Sassari
2020-06-02 17:00:00,870,Sassari
2020-06-03 17:00:00,870,Sassari
2020-06-04 17:00:00,870,Sassari
2020-06-05 17:00:00,870,Sassari
2020-06-06 17:00:00,872,Sassari
2020-06-07 17:00:00,872,Sassari
2020-06-08 17:00:00,872,Sassari
2020-06-09 17:00:00,871,Sassari
2020-06-10 17:00:00,871,Sassari
2020-06-11 17:00:00,874,Sassari
2020-06-12 17:00:00,875,Sassari
2020-06-13 17:00:00,875,Sassari
2020-06-14 17:00:00,875,Sassari
2020-06-15 17:00:00,875,Sassari
2020-06-16 17:00:00,876,Sassari
2020-06-17 17:00:00,876,Sassari
2020-06-18 17:00:00,876,Sassari
2020-06-19 17:00:00,876,Sassari
2020-06-20 17:00:00,877,Sassari
