data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Savona
2020-02-25 18:00:00,1,Savona
2020-02-26 18:00:00,10,Savona
2020-02-27 18:00:00,18,Savona
2020-02-28 18:00:00,18,Savona
2020-02-29 17:00:00,41,Savona
2020-03-01 17:00:00,19,Savona
2020-03-02 17:00:00,16,Savona
2020-03-03 17:00:00,20,Savona
2020-03-04 17:00:00,19,Savona
2020-03-05 17:00:00,20,Savona
2020-03-06 18:00:00,15,Savona
2020-03-07 18:00:00,19,Savona
2020-03-08 18:00:00,25,Savona
2020-03-09 18:00:00,35,Savona
2020-03-10 18:00:00,38,Savona
2020-03-11 17:00:00,42,Savona
2020-03-12 17:00:00,52,Savona
2020-03-13 17:00:00,62,Savona
2020-03-14 17:00:00,87,Savona
2020-03-15 17:00:00,96,Savona
2020-03-16 17:00:00,96,Savona
2020-03-17 17:00:00,100,Savona
2020-03-18 17:00:00,126,Savona
2020-03-19 17:00:00,131,Savona
2020-03-20 17:00:00,162,Savona
2020-03-21 17:00:00,173,Savona
2020-03-22 17:00:00,175,Savona
2020-03-23 17:00:00,185,Savona
2020-03-24 17:00:00,204,Savona
2020-03-25 17:00:00,210,Savona
2020-03-26 17:00:00,209,Savona
2020-03-27 17:00:00,223,Savona
2020-03-28 17:00:00,219,Savona
2020-03-29 17:00:00,239,Savona
2020-03-30 17:00:00,249,Savona
2020-03-31 17:00:00,249,Savona
2020-04-01 17:00:00,251,Savona
2020-04-02 17:00:00,245,Savona
2020-04-03 17:00:00,264,Savona
2020-04-04 17:00:00,261,Savona
2020-04-05 17:00:00,734,Savona
2020-04-06 17:00:00,695,Savona
2020-04-07 17:00:00,509,Savona
2020-04-08 17:00:00,654,Savona
2020-04-09 17:00:00,656,Savona
2020-04-10 17:00:00,686,Savona
2020-04-11 17:00:00,771,Savona
2020-04-12 17:00:00,797,Savona
2020-04-13 17:00:00,797,Savona
2020-04-14 17:00:00,697,Savona
2020-04-15 17:00:00,717,Savona
2020-04-16 17:00:00,749,Savona
2020-04-17 17:00:00,812,Savona
2020-04-18 17:00:00,812,Savona
2020-04-19 17:00:00,926,Savona
2020-04-20 17:00:00,937,Savona
2020-04-21 17:00:00,960,Savona
2020-04-22 17:00:00,997,Savona
2020-04-23 17:00:00,999,Savona
2020-04-24 17:00:00,1053,Savona
2020-04-25 17:00:00,1110,Savona
2020-04-26 17:00:00,1123,Savona
2020-04-27 17:00:00,1129,Savona
2020-04-28 17:00:00,1168,Savona
2020-04-29 17:00:00,1170,Savona
2020-04-30 17:00:00,1204,Savona
2020-05-01 17:00:00,1247,Savona
2020-05-02 17:00:00,1258,Savona
2020-05-03 17:00:00,1286,Savona
2020-05-04 17:00:00,1289,Savona
2020-05-05 17:00:00,1304,Savona
2020-05-06 17:00:00,1325,Savona
2020-05-07 17:00:00,1370,Savona
2020-05-08 17:00:00,1383,Savona
2020-05-09 17:00:00,1393,Savona
2020-05-10 17:00:00,1410,Savona
2020-05-11 17:00:00,1413,Savona
2020-05-12 17:00:00,1443,Savona
2020-05-13 17:00:00,1463,Savona
2020-05-14 17:00:00,1471,Savona
2020-05-15 17:00:00,1470,Savona
2020-05-16 17:00:00,1476,Savona
2020-05-17 17:00:00,1485,Savona
2020-05-18 17:00:00,1484,Savona
2020-05-19 17:00:00,1511,Savona
2020-05-20 17:00:00,1514,Savona
2020-05-21 17:00:00,1525,Savona
2020-05-22 17:00:00,1533,Savona
2020-05-23 17:00:00,1535,Savona
2020-05-24 17:00:00,1539,Savona
2020-05-25 17:00:00,1539,Savona
2020-05-26 17:00:00,1545,Savona
2020-05-27 17:00:00,1556,Savona
2020-05-28 17:00:00,1560,Savona
2020-05-29 17:00:00,1561,Savona
2020-05-30 17:00:00,1564,Savona
2020-05-31 17:00:00,1564,Savona
2020-06-01 17:00:00,1564,Savona
2020-06-02 17:00:00,1571,Savona
2020-06-03 17:00:00,1573,Savona
2020-06-04 17:00:00,1582,Savona
2020-06-05 17:00:00,1584,Savona
2020-06-06 17:00:00,1586,Savona
2020-06-07 17:00:00,1586,Savona
2020-06-08 17:00:00,1586,Savona
2020-06-09 17:00:00,1588,Savona
2020-06-10 17:00:00,1592,Savona
2020-06-11 17:00:00,1591,Savona
