data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Sondrio
2020-02-25 18:00:00,1,Sondrio
2020-02-26 18:00:00,3,Sondrio
2020-02-27 18:00:00,3,Sondrio
2020-02-28 18:00:00,3,Sondrio
2020-02-29 17:00:00,3,Sondrio
2020-03-01 17:00:00,3,Sondrio
2020-03-02 17:00:00,3,Sondrio
2020-03-03 17:00:00,3,Sondrio
2020-03-04 17:00:00,4,Sondrio
2020-03-05 17:00:00,4,Sondrio
2020-03-06 18:00:00,4,Sondrio
2020-03-07 18:00:00,6,Sondrio
2020-03-08 18:00:00,6,Sondrio
2020-03-09 18:00:00,7,Sondrio
2020-03-10 18:00:00,7,Sondrio
2020-03-11 17:00:00,13,Sondrio
2020-03-12 17:00:00,23,Sondrio
2020-03-13 17:00:00,23,Sondrio
2020-03-14 17:00:00,45,Sondrio
2020-03-15 17:00:00,45,Sondrio
2020-03-16 17:00:00,46,Sondrio
2020-03-17 17:00:00,74,Sondrio
2020-03-18 17:00:00,75,Sondrio
2020-03-19 17:00:00,155,Sondrio
2020-03-20 17:00:00,163,Sondrio
2020-03-21 17:00:00,179,Sondrio
2020-03-22 17:00:00,205,Sondrio
2020-03-23 17:00:00,208,Sondrio
2020-03-24 17:00:00,253,Sondrio
2020-03-25 17:00:00,284,Sondrio
2020-03-26 17:00:00,325,Sondrio
2020-03-27 17:00:00,362,Sondrio
2020-03-28 17:00:00,388,Sondrio
2020-03-29 17:00:00,422,Sondrio
2020-03-30 17:00:00,446,Sondrio
2020-03-31 17:00:00,470,Sondrio
2020-04-01 17:00:00,484,Sondrio
2020-04-02 17:00:00,517,Sondrio
2020-04-03 17:00:00,537,Sondrio
2020-04-04 17:00:00,563,Sondrio
2020-04-05 17:00:00,591,Sondrio
2020-04-06 17:00:00,614,Sondrio
2020-04-07 17:00:00,620,Sondrio
2020-04-08 17:00:00,636,Sondrio
2020-04-09 17:00:00,654,Sondrio
2020-04-10 17:00:00,661,Sondrio
2020-04-11 17:00:00,684,Sondrio
2020-04-12 17:00:00,720,Sondrio
2020-04-13 17:00:00,796,Sondrio
2020-04-14 17:00:00,849,Sondrio
2020-04-15 17:00:00,859,Sondrio
2020-04-16 17:00:00,864,Sondrio
2020-04-17 17:00:00,866,Sondrio
2020-04-18 17:00:00,937,Sondrio
2020-04-19 17:00:00,956,Sondrio
2020-04-20 17:00:00,960,Sondrio
2020-04-21 17:00:00,966,Sondrio
2020-04-22 17:00:00,1012,Sondrio
2020-04-23 17:00:00,1056,Sondrio
2020-04-24 17:00:00,1088,Sondrio
2020-04-25 17:00:00,1130,Sondrio
2020-04-26 17:00:00,1132,Sondrio
2020-04-27 17:00:00,1132,Sondrio
2020-04-28 17:00:00,1141,Sondrio
2020-04-29 17:00:00,1143,Sondrio
2020-04-30 17:00:00,1180,Sondrio
2020-05-01 17:00:00,1181,Sondrio
2020-05-02 17:00:00,1181,Sondrio
2020-05-03 17:00:00,1181,Sondrio
2020-05-04 17:00:00,1210,Sondrio
2020-05-05 17:00:00,1223,Sondrio
2020-05-06 17:00:00,1230,Sondrio
2020-05-07 17:00:00,1266,Sondrio
2020-05-08 17:00:00,1276,Sondrio
2020-05-09 17:00:00,1280,Sondrio
2020-05-10 17:00:00,1287,Sondrio
2020-05-11 17:00:00,1288,Sondrio
2020-05-12 17:00:00,1317,Sondrio
2020-05-13 17:00:00,1321,Sondrio
2020-05-14 17:00:00,1338,Sondrio
2020-05-15 17:00:00,1339,Sondrio
2020-05-16 17:00:00,1363,Sondrio
2020-05-17 17:00:00,1367,Sondrio
2020-05-18 17:00:00,1369,Sondrio
2020-05-19 17:00:00,1378,Sondrio
2020-05-20 17:00:00,1383,Sondrio
2020-05-21 17:00:00,1404,Sondrio
