data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Treviso
2020-02-25 18:00:00,1,Treviso
2020-02-26 18:00:00,2,Treviso
2020-02-27 18:00:00,22,Treviso
2020-02-28 18:00:00,23,Treviso
2020-02-29 17:00:00,35,Treviso
2020-03-01 17:00:00,43,Treviso
2020-03-02 17:00:00,72,Treviso
2020-03-03 17:00:00,82,Treviso
2020-03-04 17:00:00,86,Treviso
2020-03-05 17:00:00,89,Treviso
2020-03-06 18:00:00,103,Treviso
2020-03-07 18:00:00,110,Treviso
2020-03-08 18:00:00,126,Treviso
2020-03-09 18:00:00,136,Treviso
2020-03-10 18:00:00,158,Treviso
2020-03-11 17:00:00,185,Treviso
2020-03-12 17:00:00,279,Treviso
2020-03-13 17:00:00,327,Treviso
2020-03-14 17:00:00,376,Treviso
2020-03-15 17:00:00,413,Treviso
2020-03-16 17:00:00,452,Treviso
2020-03-17 17:00:00,502,Treviso
2020-03-18 17:00:00,591,Treviso
2020-03-19 17:00:00,637,Treviso
2020-03-20 17:00:00,719,Treviso
2020-03-21 17:00:00,806,Treviso
2020-03-22 17:00:00,935,Treviso
2020-03-23 17:00:00,999,Treviso
2020-03-24 17:00:00,1091,Treviso
2020-03-25 17:00:00,1177,Treviso
2020-03-26 17:00:00,1254,Treviso
2020-03-27 17:00:00,1310,Treviso
2020-03-28 17:00:00,1359,Treviso
2020-03-29 17:00:00,1402,Treviso
2020-03-30 17:00:00,1449,Treviso
2020-03-31 17:00:00,1522,Treviso
2020-04-01 17:00:00,1554,Treviso
2020-04-02 17:00:00,1606,Treviso
2020-04-03 17:00:00,1657,Treviso
2020-04-04 17:00:00,1687,Treviso
2020-04-05 17:00:00,1712,Treviso
2020-04-06 17:00:00,1726,Treviso
2020-04-07 17:00:00,1738,Treviso
2020-04-08 17:00:00,1863,Treviso
2020-04-09 17:00:00,1906,Treviso
2020-04-10 17:00:00,1944,Treviso
2020-04-11 17:00:00,1973,Treviso
2020-04-12 17:00:00,1983,Treviso
2020-04-13 17:00:00,1983,Treviso
2020-04-14 17:00:00,2032,Treviso
2020-04-15 17:00:00,2033,Treviso
2020-04-16 17:00:00,2135,Treviso
2020-04-17 17:00:00,2237,Treviso
2020-04-18 17:00:00,2300,Treviso
2020-04-19 17:00:00,2315,Treviso
2020-04-20 17:00:00,2325,Treviso
2020-04-21 17:00:00,2351,Treviso
2020-04-22 17:00:00,2386,Treviso
2020-04-23 17:00:00,2395,Treviso
2020-04-24 17:00:00,2420,Treviso
2020-04-25 17:00:00,2439,Treviso
2020-04-26 17:00:00,2453,Treviso
2020-04-27 17:00:00,2476,Treviso
2020-04-28 17:00:00,2483,Treviso
2020-04-29 17:00:00,2487,Treviso
2020-04-30 17:00:00,2511,Treviso
2020-05-01 17:00:00,2518,Treviso
2020-05-02 17:00:00,2539,Treviso
2020-05-03 17:00:00,2551,Treviso
2020-05-04 17:00:00,2557,Treviso
2020-05-05 17:00:00,2560,Treviso
2020-05-06 17:00:00,2563,Treviso
2020-05-07 17:00:00,2565,Treviso
2020-05-08 17:00:00,2588,Treviso
2020-05-09 17:00:00,2607,Treviso
2020-05-10 17:00:00,2607,Treviso
2020-05-11 17:00:00,2609,Treviso
2020-05-12 17:00:00,2613,Treviso
2020-05-13 17:00:00,2618,Treviso
2020-05-14 17:00:00,2621,Treviso
2020-05-15 17:00:00,2625,Treviso
2020-05-16 17:00:00,2635,Treviso
2020-05-17 17:00:00,2637,Treviso
2020-05-18 17:00:00,2641,Treviso
2020-05-19 17:00:00,2644,Treviso
2020-05-20 17:00:00,2648,Treviso
2020-05-21 17:00:00,2650,Treviso
2020-05-22 17:00:00,2651,Treviso
2020-05-23 17:00:00,2654,Treviso
2020-05-24 17:00:00,2655,Treviso
2020-05-25 17:00:00,2655,Treviso
2020-05-26 17:00:00,2656,Treviso
2020-05-27 17:00:00,2656,Treviso
2020-05-28 17:00:00,2657,Treviso
2020-05-29 17:00:00,2657,Treviso
2020-05-30 17:00:00,2658,Treviso
2020-05-31 17:00:00,2658,Treviso
2020-06-01 17:00:00,2658,Treviso
2020-06-02 17:00:00,2658,Treviso
2020-06-03 17:00:00,2659,Treviso
2020-06-04 17:00:00,2659,Treviso
2020-06-05 17:00:00,2661,Treviso
2020-06-06 17:00:00,2663,Treviso
2020-06-07 17:00:00,2663,Treviso
2020-06-08 17:00:00,2665,Treviso
2020-06-09 17:00:00,2665,Treviso
2020-06-10 17:00:00,2665,Treviso
2020-06-11 17:00:00,2666,Treviso
2020-06-12 17:00:00,2665,Treviso
2020-06-13 17:00:00,2666,Treviso
2020-06-14 17:00:00,2666,Treviso
2020-06-15 17:00:00,2666,Treviso
2020-06-16 17:00:00,2665,Treviso
2020-06-17 17:00:00,2666,Treviso
2020-06-18 17:00:00,2666,Treviso
2020-06-19 17:00:00,2666,Treviso
2020-06-20 17:00:00,2667,Treviso
2020-06-21 17:00:00,2667,Treviso
2020-06-22 17:00:00,2669,Treviso
2020-06-23 17:00:00,2669,Treviso
2020-06-24 17:00:00,2669,Treviso
2020-06-25 17:00:00,2670,Treviso
2020-06-26 17:00:00,2670,Treviso
2020-06-27 17:00:00,2669,Treviso
2020-06-28 17:00:00,2672,Treviso
2020-06-29 17:00:00,2672,Treviso
2020-06-30 17:00:00,2673,Treviso
2020-07-01 17:00:00,2673,Treviso
2020-07-02 17:00:00,2683,Treviso
2020-07-03 17:00:00,2686,Treviso
2020-07-04 17:00:00,2687,Treviso
2020-07-05 17:00:00,2687,Treviso
2020-07-06 17:00:00,2687,Treviso
2020-07-07 17:00:00,2688,Treviso
2020-07-08 17:00:00,2690,Treviso
2020-07-09 17:00:00,2692,Treviso
2020-07-10 17:00:00,2692,Treviso
2020-07-11 17:00:00,2696,Treviso
2020-07-12 17:00:00,2697,Treviso
2020-07-13 17:00:00,2697,Treviso
2020-07-14 17:00:00,2707,Treviso
2020-07-15 17:00:00,2715,Treviso
2020-07-16 17:00:00,2717,Treviso
2020-07-17 17:00:00,2720,Treviso
2020-07-18 17:00:00,2730,Treviso
2020-07-19 17:00:00,2732,Treviso
2020-07-20 17:00:00,2732,Treviso
2020-07-21 17:00:00,2738,Treviso
2020-07-22 17:00:00,2738,Treviso
2020-07-23 17:00:00,2737,Treviso
2020-07-24 17:00:00,2740,Treviso
2020-07-25 17:00:00,2749,Treviso
2020-07-26 17:00:00,2749,Treviso
2020-07-27 17:00:00,2749,Treviso
2020-07-28 17:00:00,2758,Treviso
2020-07-29 17:00:00,2768,Treviso
2020-07-30 17:00:00,2850,Treviso
2020-07-31 17:00:00,2920,Treviso
2020-08-01 17:00:00,2932,Treviso
2020-08-02 17:00:00,2938,Treviso
