data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Udine
2020-02-25 18:00:00,0,Udine
2020-02-26 18:00:00,0,Udine
2020-02-27 18:00:00,0,Udine
2020-02-28 18:00:00,0,Udine
2020-02-29 17:00:00,0,Udine
2020-03-01 17:00:00,0,Udine
2020-03-02 17:00:00,0,Udine
2020-03-03 17:00:00,8,Udine
2020-03-04 17:00:00,8,Udine
2020-03-05 17:00:00,11,Udine
2020-03-06 18:00:00,18,Udine
2020-03-07 18:00:00,23,Udine
2020-03-08 18:00:00,24,Udine
2020-03-09 18:00:00,24,Udine
2020-03-10 18:00:00,26,Udine
2020-03-11 17:00:00,44,Udine
2020-03-12 17:00:00,44,Udine
2020-03-13 17:00:00,75,Udine
2020-03-14 17:00:00,88,Udine
2020-03-15 17:00:00,129,Udine
2020-03-16 17:00:00,152,Udine
2020-03-17 17:00:00,145,Udine
2020-03-18 17:00:00,181,Udine
2020-03-19 17:00:00,266,Udine
2020-03-20 17:00:00,296,Udine
2020-03-21 17:00:00,338,Udine
2020-03-22 17:00:00,361,Udine
2020-03-23 17:00:00,385,Udine
2020-03-24 17:00:00,405,Udine
2020-03-25 17:00:00,431,Udine
2020-03-26 17:00:00,460,Udine
2020-03-27 17:00:00,487,Udine
2020-03-28 17:00:00,530,Udine
2020-03-29 17:00:00,536,Udine
2020-03-30 17:00:00,524,Udine
2020-03-31 17:00:00,536,Udine
2020-04-01 17:00:00,576,Udine
2020-04-02 17:00:00,641,Udine
2020-04-03 17:00:00,681,Udine
2020-04-04 17:00:00,754,Udine
2020-04-05 17:00:00,786,Udine
2020-04-06 17:00:00,793,Udine
2020-04-07 17:00:00,813,Udine
2020-04-08 17:00:00,830,Udine
2020-04-09 17:00:00,839,Udine
2020-04-10 17:00:00,845,Udine
2020-04-11 17:00:00,865,Udine
2020-04-12 17:00:00,873,Udine
2020-04-13 17:00:00,884,Udine
2020-04-14 17:00:00,890,Udine
2020-04-15 17:00:00,891,Udine
2020-04-16 17:00:00,895,Udine
2020-04-17 17:00:00,897,Udine
2020-04-18 17:00:00,906,Udine
2020-04-19 17:00:00,910,Udine
2020-04-20 17:00:00,915,Udine
2020-04-21 17:00:00,921,Udine
2020-04-22 17:00:00,929,Udine
2020-04-23 17:00:00,931,Udine
2020-04-24 17:00:00,935,Udine
2020-04-25 17:00:00,937,Udine
2020-04-26 17:00:00,938,Udine
2020-04-27 17:00:00,944,Udine
2020-04-28 17:00:00,949,Udine
2020-04-29 17:00:00,951,Udine
2020-04-30 17:00:00,951,Udine
2020-05-01 17:00:00,953,Udine
2020-05-02 17:00:00,954,Udine
2020-05-03 17:00:00,957,Udine
2020-05-04 17:00:00,957,Udine
2020-05-05 17:00:00,958,Udine
2020-05-06 17:00:00,959,Udine
2020-05-07 17:00:00,967,Udine
2020-05-08 17:00:00,967,Udine
2020-05-09 17:00:00,968,Udine
2020-05-10 17:00:00,968,Udine
