data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Verona
2020-02-25 18:00:00,0,Verona
2020-02-26 18:00:00,0,Verona
2020-02-27 18:00:00,0,Verona
2020-02-28 18:00:00,0,Verona
2020-02-29 17:00:00,0,Verona
2020-03-01 17:00:00,2,Verona
2020-03-02 17:00:00,8,Verona
2020-03-03 17:00:00,17,Verona
2020-03-04 17:00:00,21,Verona
2020-03-05 17:00:00,25,Verona
2020-03-06 18:00:00,42,Verona
2020-03-07 18:00:00,52,Verona
2020-03-08 18:00:00,63,Verona
2020-03-09 18:00:00,73,Verona
2020-03-10 18:00:00,96,Verona
2020-03-11 17:00:00,110,Verona
2020-03-12 17:00:00,150,Verona
2020-03-13 17:00:00,210,Verona
2020-03-14 17:00:00,275,Verona
2020-03-15 17:00:00,335,Verona
2020-03-16 17:00:00,425,Verona
2020-03-17 17:00:00,481,Verona
2020-03-18 17:00:00,626,Verona
2020-03-19 17:00:00,686,Verona
2020-03-20 17:00:00,784,Verona
2020-03-21 17:00:00,954,Verona
2020-03-22 17:00:00,1046,Verona
2020-03-23 17:00:00,1099,Verona
2020-03-24 17:00:00,1228,Verona
2020-03-25 17:00:00,1304,Verona
2020-03-26 17:00:00,1402,Verona
2020-03-27 17:00:00,1645,Verona
2020-03-28 17:00:00,1754,Verona
2020-03-29 17:00:00,1876,Verona
2020-03-30 17:00:00,1982,Verona
2020-03-31 17:00:00,2112,Verona
2020-04-01 17:00:00,2287,Verona
2020-04-02 17:00:00,2405,Verona
2020-04-03 17:00:00,2488,Verona
2020-04-04 17:00:00,2547,Verona
2020-04-05 17:00:00,2688,Verona
2020-04-06 17:00:00,2755,Verona
2020-04-07 17:00:00,2856,Verona
2020-04-08 17:00:00,2920,Verona
2020-04-09 17:00:00,3049,Verona
2020-04-10 17:00:00,3257,Verona
2020-04-11 17:00:00,3402,Verona
2020-04-12 17:00:00,3495,Verona
2020-04-13 17:00:00,3547,Verona
2020-04-14 17:00:00,3572,Verona
2020-04-15 17:00:00,3649,Verona
2020-04-16 17:00:00,3730,Verona
2020-04-17 17:00:00,3805,Verona
2020-04-18 17:00:00,3880,Verona
2020-04-19 17:00:00,3974,Verona
2020-04-20 17:00:00,3998,Verona
2020-04-21 17:00:00,4070,Verona
2020-04-22 17:00:00,4164,Verona
2020-04-23 17:00:00,4222,Verona
2020-04-24 17:00:00,4398,Verona
2020-04-25 17:00:00,4473,Verona
2020-04-26 17:00:00,4492,Verona
2020-04-27 17:00:00,4526,Verona
2020-04-28 17:00:00,4556,Verona
2020-04-29 17:00:00,4627,Verona
2020-04-30 17:00:00,4666,Verona
2020-05-01 17:00:00,4709,Verona
2020-05-02 17:00:00,4771,Verona
2020-05-03 17:00:00,4800,Verona
2020-05-04 17:00:00,4821,Verona
2020-05-05 17:00:00,4831,Verona
2020-05-06 17:00:00,4860,Verona
2020-05-07 17:00:00,4897,Verona
2020-05-08 17:00:00,4917,Verona
2020-05-09 17:00:00,4934,Verona
2020-05-10 17:00:00,4944,Verona
2020-05-11 17:00:00,4946,Verona
2020-05-12 17:00:00,4957,Verona
2020-05-13 17:00:00,4967,Verona
2020-05-14 17:00:00,4978,Verona
2020-05-15 17:00:00,4997,Verona
2020-05-16 17:00:00,5002,Verona
2020-05-17 17:00:00,5006,Verona
2020-05-18 17:00:00,5008,Verona
2020-05-19 17:00:00,5040,Verona
2020-05-20 17:00:00,5056,Verona
2020-05-21 17:00:00,5053,Verona
2020-05-22 17:00:00,5063,Verona
2020-05-23 17:00:00,5069,Verona
2020-05-24 17:00:00,5075,Verona
2020-05-25 17:00:00,5077,Verona
2020-05-26 17:00:00,5079,Verona
2020-05-27 17:00:00,5079,Verona
2020-05-28 17:00:00,5087,Verona
2020-05-29 17:00:00,5093,Verona
2020-05-30 17:00:00,5098,Verona
2020-05-31 17:00:00,5099,Verona
2020-06-01 17:00:00,5099,Verona
2020-06-02 17:00:00,5100,Verona
2020-06-03 17:00:00,5100,Verona
2020-06-04 17:00:00,5101,Verona
2020-06-05 17:00:00,5103,Verona
2020-06-06 17:00:00,5106,Verona
2020-06-07 17:00:00,5105,Verona
2020-06-08 17:00:00,5105,Verona
2020-06-09 17:00:00,5106,Verona
2020-06-10 17:00:00,5107,Verona
2020-06-11 17:00:00,5107,Verona
2020-06-12 17:00:00,5109,Verona
2020-06-13 17:00:00,5110,Verona
2020-06-14 17:00:00,5110,Verona
2020-06-15 17:00:00,5110,Verona
2020-06-16 17:00:00,5112,Verona
2020-06-17 17:00:00,5113,Verona
2020-06-18 17:00:00,5118,Verona
2020-06-19 17:00:00,5118,Verona
2020-06-20 17:00:00,5119,Verona
2020-06-21 17:00:00,5121,Verona
2020-06-22 17:00:00,5121,Verona
2020-06-23 17:00:00,5122,Verona
2020-06-24 17:00:00,5123,Verona
2020-06-25 17:00:00,5123,Verona
2020-06-26 17:00:00,5124,Verona
2020-06-27 17:00:00,5124,Verona
2020-06-28 17:00:00,5126,Verona
2020-06-29 17:00:00,5126,Verona
2020-06-30 17:00:00,5127,Verona
2020-07-01 17:00:00,5128,Verona
2020-07-02 17:00:00,5129,Verona
2020-07-03 17:00:00,5129,Verona
2020-07-04 17:00:00,5129,Verona
2020-07-05 17:00:00,5130,Verona
2020-07-06 17:00:00,5130,Verona
2020-07-07 17:00:00,5130,Verona
2020-07-08 17:00:00,5131,Verona
2020-07-09 17:00:00,5132,Verona
2020-07-10 17:00:00,5132,Verona
2020-07-11 17:00:00,5133,Verona
2020-07-12 17:00:00,5138,Verona
2020-07-13 17:00:00,5138,Verona
2020-07-14 17:00:00,5141,Verona
2020-07-15 17:00:00,5143,Verona
2020-07-16 17:00:00,5151,Verona
2020-07-17 17:00:00,5153,Verona
2020-07-18 17:00:00,5154,Verona
2020-07-19 17:00:00,5157,Verona
2020-07-20 17:00:00,5157,Verona
2020-07-21 17:00:00,5156,Verona
2020-07-22 17:00:00,5158,Verona
2020-07-23 17:00:00,5188,Verona
2020-07-24 17:00:00,5190,Verona
2020-07-25 17:00:00,5193,Verona
2020-07-26 17:00:00,5192,Verona
2020-07-27 17:00:00,5192,Verona
2020-07-28 17:00:00,5197,Verona
2020-07-29 17:00:00,5203,Verona
2020-07-30 17:00:00,5200,Verona
2020-07-31 17:00:00,5202,Verona
2020-08-01 17:00:00,5207,Verona
2020-08-02 17:00:00,5211,Verona
2020-08-03 17:00:00,5212,Verona
2020-08-04 17:00:00,5214,Verona
2020-08-05 17:00:00,5222,Verona
2020-08-06 17:00:00,5235,Verona
2020-08-07 17:00:00,5242,Verona
2020-08-08 17:00:00,5251,Verona
2020-08-09 17:00:00,5262,Verona
2020-08-10 17:00:00,5263,Verona
2020-08-11 17:00:00,5288,Verona
2020-08-12 17:00:00,5295,Verona
2020-08-13 17:00:00,5307,Verona
2020-08-14 17:00:00,5326,Verona
2020-08-15 17:00:00,5345,Verona
2020-08-16 17:00:00,5366,Verona
2020-08-17 17:00:00,5377,Verona
2020-08-18 17:00:00,5391,Verona
2020-08-19 17:00:00,5398,Verona
2020-08-20 17:00:00,5422,Verona
2020-08-21 17:00:00,5450,Verona
2020-08-22 17:00:00,5470,Verona
2020-08-23 17:00:00,5481,Verona
2020-08-24 17:00:00,5492,Verona
2020-08-25 17:00:00,5507,Verona
2020-08-26 17:00:00,5522,Verona
2020-08-27 17:00:00,5538,Verona
2020-08-28 17:00:00,5551,Verona
2020-08-29 17:00:00,5571,Verona
2020-08-30 17:00:00,5589,Verona
2020-08-31 17:00:00,5602,Verona
2020-09-01 17:00:00,5608,Verona
2020-09-02 17:00:00,5636,Verona
2020-09-03 17:00:00,5657,Verona
2020-09-04 17:00:00,5695,Verona
2020-09-05 17:00:00,5726,Verona
