data,totale_casi,denominazione_provincia
2020-02-24 18:00:00,0,Vicenza
2020-02-25 18:00:00,0,Vicenza
2020-02-26 18:00:00,0,Vicenza
2020-02-27 18:00:00,3,Vicenza
2020-02-28 18:00:00,3,Vicenza
2020-02-29 17:00:00,3,Vicenza
2020-03-01 17:00:00,3,Vicenza
2020-03-02 17:00:00,3,Vicenza
2020-03-03 17:00:00,5,Vicenza
2020-03-04 17:00:00,10,Vicenza
2020-03-05 17:00:00,19,Vicenza
2020-03-06 18:00:00,24,Vicenza
2020-03-07 18:00:00,37,Vicenza
2020-03-08 18:00:00,50,Vicenza
2020-03-09 18:00:00,53,Vicenza
2020-03-10 18:00:00,73,Vicenza
2020-03-11 17:00:00,92,Vicenza
2020-03-12 17:00:00,122,Vicenza
2020-03-13 17:00:00,141,Vicenza
2020-03-14 17:00:00,164,Vicenza
2020-03-15 17:00:00,235,Vicenza
2020-03-16 17:00:00,287,Vicenza
2020-03-17 17:00:00,325,Vicenza
2020-03-18 17:00:00,393,Vicenza
2020-03-19 17:00:00,424,Vicenza
2020-03-20 17:00:00,518,Vicenza
2020-03-21 17:00:00,572,Vicenza
2020-03-22 17:00:00,631,Vicenza
2020-03-23 17:00:00,691,Vicenza
2020-03-24 17:00:00,744,Vicenza
2020-03-25 17:00:00,824,Vicenza
2020-03-26 17:00:00,899,Vicenza
2020-03-27 17:00:00,966,Vicenza
2020-03-28 17:00:00,1036,Vicenza
2020-03-29 17:00:00,1104,Vicenza
2020-03-30 17:00:00,1168,Vicenza
2020-03-31 17:00:00,1242,Vicenza
2020-04-01 17:00:00,1327,Vicenza
2020-04-02 17:00:00,1434,Vicenza
2020-04-03 17:00:00,1514,Vicenza
2020-04-04 17:00:00,1608,Vicenza
2020-04-05 17:00:00,1647,Vicenza
2020-04-06 17:00:00,1704,Vicenza
2020-04-07 17:00:00,1734,Vicenza
2020-04-08 17:00:00,1782,Vicenza
2020-04-09 17:00:00,1885,Vicenza
2020-04-10 17:00:00,1953,Vicenza
2020-04-11 17:00:00,2009,Vicenza
2020-04-12 17:00:00,2055,Vicenza
2020-04-13 17:00:00,2080,Vicenza
2020-04-14 17:00:00,2089,Vicenza
2020-04-15 17:00:00,2136,Vicenza
2020-04-16 17:00:00,2170,Vicenza
2020-04-17 17:00:00,2200,Vicenza
2020-04-18 17:00:00,2296,Vicenza
2020-04-19 17:00:00,2339,Vicenza
2020-04-20 17:00:00,2379,Vicenza
2020-04-21 17:00:00,2390,Vicenza
2020-04-22 17:00:00,2433,Vicenza
2020-04-23 17:00:00,2454,Vicenza
2020-04-24 17:00:00,2483,Vicenza
2020-04-25 17:00:00,2536,Vicenza
2020-04-26 17:00:00,2554,Vicenza
2020-04-27 17:00:00,2571,Vicenza
2020-04-28 17:00:00,2596,Vicenza
2020-04-29 17:00:00,2616,Vicenza
2020-04-30 17:00:00,2644,Vicenza
2020-05-01 17:00:00,2680,Vicenza
2020-05-02 17:00:00,2701,Vicenza
2020-05-03 17:00:00,2713,Vicenza
2020-05-04 17:00:00,2719,Vicenza
2020-05-05 17:00:00,2722,Vicenza
2020-05-06 17:00:00,2732,Vicenza
2020-05-07 17:00:00,2743,Vicenza
2020-05-08 17:00:00,2748,Vicenza
2020-05-09 17:00:00,2756,Vicenza
2020-05-10 17:00:00,2772,Vicenza
2020-05-11 17:00:00,2773,Vicenza
2020-05-12 17:00:00,2787,Vicenza
2020-05-13 17:00:00,2789,Vicenza
2020-05-14 17:00:00,2795,Vicenza
2020-05-15 17:00:00,2808,Vicenza
2020-05-16 17:00:00,2814,Vicenza
2020-05-17 17:00:00,2816,Vicenza
2020-05-18 17:00:00,2818,Vicenza
2020-05-19 17:00:00,2824,Vicenza
2020-05-20 17:00:00,2830,Vicenza
2020-05-21 17:00:00,2831,Vicenza
2020-05-22 17:00:00,2832,Vicenza
2020-05-23 17:00:00,2832,Vicenza
2020-05-24 17:00:00,2834,Vicenza
2020-05-25 17:00:00,2834,Vicenza
2020-05-26 17:00:00,2835,Vicenza
2020-05-27 17:00:00,2839,Vicenza
2020-05-28 17:00:00,2843,Vicenza
2020-05-29 17:00:00,2845,Vicenza
2020-05-30 17:00:00,2845,Vicenza
2020-05-31 17:00:00,2846,Vicenza
2020-06-01 17:00:00,2846,Vicenza
2020-06-02 17:00:00,2849,Vicenza
2020-06-03 17:00:00,2849,Vicenza
2020-06-04 17:00:00,2848,Vicenza
