data,infected_Agrigento,infected_Alessandria,infected_Ancona,infected_Aosta,infected_Arezzo,infected_Ascoli_Piceno,infected_Asti,infected_Avellino,infected_Bari,infected_Barletta-Andria-Trani,infected_Belluno,infected_Benevento,infected_Bergamo,infected_Biella,infected_Bologna,infected_Bolzano,infected_Brescia,infected_Brindisi,infected_Cagliari,infected_Caltanissetta,infected_Campobasso,infected_Caserta,infected_Catania,infected_Catanzaro,infected_Chieti,infected_Como,infected_Cosenza,infected_Cremona,infected_Crotone,infected_Cuneo,infected_Enna,infected_Fermo,infected_Ferrara,infected_Firenze,infected_Foggia,infected_Forlì-Cesena,infected_Frosinone,infected_Genova,infected_Gorizia,infected_Grosseto,infected_Imperia,infected_Isernia,infected_L'Aquila,infected_La_Spezia,infected_Latina,infected_Lecce,infected_Lecco,infected_Livorno,infected_Lodi,infected_Lucca,infected_Macerata,infected_Mantova,infected_Massa_Carrara,infected_Matera,infected_Messina,infected_Milano,infected_Modena,infected_Monza_e_della_Brianza,infected_Napoli,infected_Novara,infected_Nuoro,infected_Oristano,infected_Padova,infected_Palermo,infected_Parma,infected_Pavia,infected_Perugia,infected_Pesaro_e_Urbino,infected_Pescara,infected_Piacenza,infected_Pisa,infected_Pistoia,infected_Pordenone,infected_Potenza,infected_Prato,infected_Ragusa,infected_Ravenna,infected_Reggio_nell'Emilia,infected_Rieti,infected_Rimini,infected_Roma,infected_Rovigo,infected_Salerno,infected_Sassari,infected_Savona,infected_Siena,infected_Siracusa,infected_Sondrio,infected_Sud_Sardegna,infected_Taranto,infected_Teramo,infected_Terni,infected_Torino,infected_Trapani,infected_Trento,infected_Treviso,infected_Trieste,infected_Udine,infected_Varese,infected_Venezia,infected_Verbano-Cusio-Ossola,infected_Vercelli,infected_Verona,infected_Vibo_Valentia,infected_Vicenza,infected_Viterbo
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,8,3,3,0,0,0,0,30,3,4,27,0,0,0,18,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0
2020-02-26 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128,0,0,0,0,0,0,8,8,4,0,0,0,0,40,3,8,27,0,1,0,28,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,3,0,0,0,0,3,0,0,2,0,0,0,8,0,0,0,0,0,0
2020-02-27 18:00:00,0,0,0,0,0,0,0,0,1,0,0,0,72,0,0,1,10,0,0,0,0,0,1,0,0,0,0,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,0,0,0,0,0,0,15,18,5,3,0,0,0,59,3,10,36,0,3,0,63,0,1,0,0,0,0,0,0,0,6,3,0,0,0,18,0,0,3,0,0,1,0,2,0,0,22,0,0,0,14,0,0,0,0,3,0
2020-02-28 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,1,13,0,0,0,0,0,1,0,0,0,1,123,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,182,0,0,0,0,0,0,29,18,6,4,0,0,0,68,3,27,49,0,6,0,89,0,1,0,0,0,0,1,1,0,9,3,0,0,0,18,0,0,3,0,3,1,0,11,0,0,23,0,0,3,15,0,0,0,0,3,0
2020-02-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,110,0,2,1,14,0,0,0,0,0,1,0,0,1,1,136,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,237,1,0,1,1,0,0,30,22,6,13,0,0,0,81,3,35,55,0,11,0,138,0,1,0,0,0,0,1,4,0,15,6,0,0,0,41,3,0,3,0,3,2,0,11,0,0,35,0,0,4,19,0,0,0,0,3,0
2020-03-01 17:00:00,0,0,1,0,0,0,0,0,0,0,0,0,209,0,2,1,49,0,0,0,0,0,1,0,0,2,1,214,0,0,0,0,0,5,0,1,0,1,0,0,1,0,0,1,0,0,2,0,344,1,0,4,3,0,0,46,24,6,17,0,0,0,105,3,59,78,2,24,0,174,0,1,0,0,0,0,2,7,0,16,6,0,0,0,19,3,0,3,0,3,5,0,49,0,0,43,6,0,4,24,0,0,2,0,3,0
2020-03-02 17:00:00,0,0,2,0,1,0,37,0,1,0,3,0,243,0,3,1,60,0,0,0,0,0,1,0,0,2,1,223,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,1,0,0,3,0,384,1,0,5,3,0,0,58,29,8,17,3,0,0,135,3,61,83,1,33,0,212,0,1,0,0,0,0,2,8,0,19,7,0,0,0,16,3,0,3,0,3,5,1,6,0,0,72,9,0,4,48,4,1,8,0,3,0
2020-03-03 17:00:00,0,1,5,0,2,0,40,0,2,0,5,0,372,0,6,1,86,0,1,0,3,0,1,0,0,4,1,287,0,0,0,0,0,7,1,1,0,1,3,0,2,0,1,1,0,0,4,0,482,3,1,15,3,0,0,93,33,9,30,3,0,0,144,3,84,122,1,55,1,256,0,1,0,1,0,0,2,14,0,24,14,1,0,0,20,3,0,3,0,3,3,1,7,0,4,82,2,8,7,48,4,1,17,0,5,0
2020-03-04 17:00:00,0,16,9,0,2,0,41,0,2,1,7,0,423,0,11,1,127,0,2,0,3,0,1,0,0,5,1,333,0,0,0,1,0,12,2,2,1,1,5,0,2,0,1,1,0,1,5,3,559,3,2,22,4,0,0,145,41,11,17,3,0,0,162,3,115,126,6,72,1,319,2,1,0,1,1,0,2,20,0,33,29,4,0,0,19,10,0,4,0,3,3,3,11,0,5,86,5,8,11,59,5,3,21,0,10,0
