city_1,city_2,region_1,region_2,connection_strength_R2,is_significant
Milano,Perugia,North,Center,0.9414,True
Firenze,Milano,Center,North,0.9414,True
Firenze,Monza_E_Della_Brianza,Center,North,0.9279,True
Milano,Monza_E_Della_Brianza,North,North,0.9221,True
Caserta,Napoli,South,South,0.9093,True
Napoli,Roma,South,Center,0.9093,True
Monza_E_Della_Brianza,Napoli,North,South,0.9093,True
Bari,Roma,South,Center,0.8943,False
Firenze,Roma,Center,Center,0.8943,False
Caserta,Salerno,South,South,0.8744,False
Caserta,Milano,South,North,0.8744,False
Bari,Taranto,South,South,0.8512,False
Como,Salerno,North,South,0.8402,False
Como,Milano,North,North,0.8402,False
Perugia,Salerno,Center,South,0.8283,False
Brescia,Salerno,North,South,0.8283,False
Roma,Salerno,Center,South,0.8283,False
Bergamo,Brescia,North,North,0.7699,False
Brescia,Firenze,North,Center,0.7699,False
Frosinone,Latina,Center,Center,0.6161,False
Frosinone,Milano,Center,North,0.6161,False
Bari,Latina,South,Center,0.4827,False
