city,region,lag_3,lag_7,lag_10,lag_15,lag_20,lag_25,lag_30,lag_40,lag_50,lag_60,lag_70,lag_80,lag_90,lag_100
Milano,North,0.9527,0.8329,0.8564,0.846,0.9088,0.8977,0.8771,0.8391,0.7579,0.9169,0.793,0.8113,0.7128,0.6568
Bergamo,North,0.5575,0.3972,0.4017,0.3124,0.5196,0.2589,0.3348,0.5464,0.6387,0.5277,0.5532,0.6526,0.6399,0.5417
Brescia,North,0.7687,0.8001,0.7074,0.4844,0.5599,0.6178,0.6935,0.6899,0.6552,0.7756,0.7943,0.7794,0.7706,0.5871
Monza_E_Della_Brianza,North,0.8988,0.9147,0.9142,0.8976,0.8974,0.8977,0.8333,0.8259,0.8357,0.8779,0.7688,0.8772,0.8327,0.8332
Como,North,0.7918,0.8046,0.8,0.7491,0.7343,0.7522,0.7553,0.717,0.8042,0.7507,0.6931,0.7101,0.6625,0.7534
Roma,Center,0.9089,0.7862,0.8076,0.8627,0.869,0.8496,0.7815,0.8067,0.8408,0.7553,0.7958,0.8346,0.742,0.7875
Firenze,Center,0.9099,0.8954,0.8308,0.9088,0.8492,0.8873,0.8301,0.9061,0.9162,0.8163,0.8394,0.4699,0.811,0.9144
Perugia,Center,0.909,0.9086,0.9083,0.9079,0.9077,0.7952,0.8452,0.7269,0.7657,0.855,0.6706,0.7891,0.6753,0.6731
Latina,Center,0.353,0.1566,0.3966,0.153,0.2346,0.0536,0.1097,0.084,0.407,0.1685,-0.066,0.018,-0.0189,0.0429
Frosinone,Center,0.4189,0.4348,0.4335,0.4682,0.3601,0.4272,0.3406,0.3798,0.4076,0.3102,0.3329,0.2999,0.3488,0.387
Napoli,South,0.8953,0.8568,0.902,0.8289,0.8163,0.8557,0.791,0.8322,0.8571,0.8159,0.8307,0.7787,0.8526,0.8101
Caserta,South,0.8797,0.8673,0.8086,0.7978,0.8314,0.7668,0.8346,0.6604,0.8009,0.7418,0.8439,0.7595,0.788,0.8005
Salerno,South,0.7805,0.8046,0.7989,0.7792,0.7818,0.7175,0.7116,0.7195,0.7629,0.6968,0.6749,0.6871,0.6714,0.6697
Bari,South,0.7939,0.7931,0.7925,0.7414,0.6806,0.8006,0.7321,0.6828,0.684,0.6576,0.8064,0.7266,0.7076,0.6693
Taranto,South,0.6892,0.688,0.6956,0.8322,0.678,0.7895,0.7567,0.7878,0.6714,0.7837,0.6699,0.5994,0.5929,0.5769
