city_1,city_2,region_1,region_2,connection_strength_R2,is_significant
Perugia,Roma,Center,Center,0.9119,True
Milano,Perugia,North,Center,0.9119,True
Firenze,Milano,Center,North,0.9088,True
Milano,Napoli,North,South,0.8998,False
Napoli,Perugia,South,Center,0.8998,False
Milano,Monza_E_Della_Brianza,North,North,0.8976,False
Napoli,Roma,South,Center,0.8742,False
Caserta,Napoli,South,South,0.8665,False
Caserta,Perugia,South,Center,0.8665,False
Bari,Taranto,South,South,0.8502,False
Caserta,Salerno,South,South,0.8199,False
Como,Milano,North,North,0.8116,False
Caserta,Como,South,North,0.8116,False
Bergamo,Brescia,North,North,0.7519,False
Brescia,Milano,North,North,0.7519,False
Bari,Latina,South,Center,0.4433,False
Frosinone,Latina,Center,Center,0.4433,False
Frosinone,Napoli,Center,South,0.4312,False
