city,region,lag_3,lag_7,lag_10,lag_15,lag_20,lag_25,lag_30,lag_40,lag_50,lag_60,lag_70,lag_80,lag_90,lag_100
Milano,North,0.9527,0.9086,0.9092,0.9079,0.8753,0.9078,0.934,0.8786,0.9128,0.7918,0.917,0.8813,0.6377,0.878
Bergamo,North,0.5224,0.5025,0.5454,0.4069,0.2805,0.5239,0.5678,0.6133,0.6346,0.5763,0.5818,0.6881,0.6291,0.7336
Brescia,North,0.8188,0.7509,0.5281,0.7055,0.5209,0.6178,0.6791,0.7475,0.7657,0.789,0.7044,0.7325,0.7507,0.652
Monza_E_Della_Brianza,North,0.9226,0.8984,0.8951,0.8976,0.8974,0.8309,0.8987,0.9022,0.874,0.9068,0.9029,0.8056,0.8567,0.4446
Como,North,0.8211,0.7976,0.8059,0.7351,0.7383,0.7788,0.7476,0.7106,0.7886,0.7123,0.7837,0.5851,0.6666,0.7246
Roma,Center,0.8948,0.8941,0.8958,0.8452,0.8444,0.851,0.8505,0.8067,0.751,0.7182,0.7721,0.7699,0.7204,0.7187
Firenze,Center,0.9127,0.9298,0.8951,0.8947,0.9088,0.8873,0.8622,0.835,0.822,0.8222,0.8389,0.9065,0.8513,0.6186
Perugia,Center,0.909,0.9073,0.9083,0.9079,0.8015,0.7959,0.826,0.7843,0.6769,0.6865,0.7667,0.8341,0.6903,0.7701
Latina,Center,0.3232,0.3978,0.2903,0.2626,0.3745,0.2725,0.3158,0.0508,-0.0469,-0.034,0.0687,-0.0097,0.075,0.1069
Frosinone,Center,0.6312,0.4348,0.4335,0.3624,0.3995,0.3805,0.3088,0.4254,0.4122,0.413,0.3082,0.3173,0.3376,0.2614
Napoli,South,0.8574,0.8872,0.871,0.8289,0.8555,0.8557,0.8179,0.8549,0.8249,0.8301,0.8501,0.8575,0.8567,0.8101
Caserta,South,0.8824,0.8659,0.8714,0.8317,0.7947,0.8092,0.7922,0.7866,0.8129,0.8092,0.8608,0.768,0.7944,0.7906
Salerno,South,0.7321,0.7642,0.7904,0.7177,0.7906,0.7164,0.7565,0.6982,0.7629,0.687,0.6559,0.764,0.6896,0.6801
Bari,South,0.7939,0.8512,0.7132,0.7429,0.7905,0.7524,0.8608,0.7362,0.7859,0.6713,0.6538,0.6664,0.7076,0.7693
Taranto,South,0.818,0.7931,0.7743,0.7915,0.6839,0.7895,0.6778,0.7537,0.738,0.6708,0.6646,0.6435,0.5888,0.5744
