city,region,pre_lockdown_r2,during_lockdown_inter_r2,during_lockdown_self_r2,after_easing_inter_r2,after_easing_self_r2,pre_n_active_cities,during_n_active_cities,after_n_active_cities
Milano,North,0.8445,0.5443,0.5688,0.9169,0.9258,2,3,1
Bergamo,North,0.8176,0.2706,0.5399,0.7876,0.7431,3,1,1
Brescia,North,0.9691,0.5519,0.72,0.8586,0.8262,4,1,2
Monza_E_Della_Brianza,North,0.9738,0.3876,0.4912,0.8746,0.8632,2,1,1
Como,North,0.9045,0.4271,0.3541,0.74,0.7548,2,2,1
Roma,Center,0.7673,0.7412,0.6914,0.7778,0.8354,1,3,1
Firenze,Center,0.9198,0.3038,0.3851,0.9145,0.9237,3,1,1
Perugia,Center,0.7469,0.7961,0.7978,0.8488,0.8696,2,3,1
Latina,Center,0.9754,0.6563,0.6725,0.2638,0.3032,3,2,2
Frosinone,Center,0.8443,0.5818,0.3954,0.389,0.4686,4,2,1
Napoli,South,0.7311,0.6941,0.5874,0.8995,0.8606,1,2,2
Caserta,South,1.0,0.4507,0.5692,0.8574,0.7929,1,1,2
Salerno,South,1.0,0.5871,0.4288,0.7907,0.7209,1,2,2
Bari,South,0.4902,0.6137,0.5756,0.8226,0.8289,2,2,2
Taranto,South,0.0,0.5003,0.4328,0.782,0.7682,1,1,2
