data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7023,Aosta
2021-01-02 17:00:00,7030,Aosta
2021-01-03 17:00:00,7065,Aosta
2021-01-04 17:00:00,7092,Aosta
2021-01-05 17:00:00,7114,Aosta
2021-01-06 17:00:00,7140,Aosta
2021-01-07 17:00:00,7173,Aosta
2021-01-08 17:00:00,7196,Aosta
2021-01-09 17:00:00,7218,Aosta
2021-01-10 17:00:00,7237,Aosta
2021-01-11 17:00:00,7264,Aosta
2021-01-12 17:00:00,7274,Aosta
2021-01-13 17:00:00,7293,Aosta
2021-01-14 17:00:00,7309,Aosta
2021-01-15 17:00:00,7329,Aosta
2021-01-16 17:00:00,7349,Aosta
2021-01-17 17:00:00,7367,Aosta
2021-01-18 17:00:00,7378,Aosta
2021-01-19 17:00:00,7412,Aosta
2021-01-20 17:00:00,7426,Aosta
2021-01-21 17:00:00,7424,Aosta
2021-01-22 17:00:00,7443,Aosta
2021-01-23 17:00:00,7448,Aosta
2021-01-24 17:00:00,7465,Aosta
2021-01-25 17:00:00,7473,Aosta
2021-01-26 17:00:00,7475,Aosta
2021-01-27 17:00:00,7492,Aosta
2021-01-28 17:00:00,7500,Aosta
2021-01-29 17:00:00,7508,Aosta
2021-01-30 17:00:00,7509,Aosta
2021-01-31 17:00:00,7525,Aosta
2021-02-01 17:00:00,7528,Aosta
2021-02-02 17:00:00,7532,Aosta
2021-02-03 17:00:00,7543,Aosta
2021-02-04 17:00:00,7554,Aosta
2021-02-05 17:00:00,7562,Aosta
2021-02-06 17:00:00,7570,Aosta
2021-02-07 17:00:00,7571,Aosta
2021-02-08 17:00:00,7584,Aosta
2021-02-09 17:00:00,7598,Aosta
2021-02-10 17:00:00,7605,Aosta
2021-02-11 17:00:00,7584,Aosta
2021-02-12 17:00:00,7623,Aosta
2021-02-13 17:00:00,7632,Aosta
2021-02-14 17:00:00,7637,Aosta
2021-02-15 17:00:00,7646,Aosta
2021-02-16 17:00:00,7650,Aosta
2021-02-17 17:00:00,7664,Aosta
2021-02-18 17:00:00,7675,Aosta
2021-02-19 17:00:00,7683,Aosta
2021-02-20 17:00:00,7687,Aosta
2021-02-21 17:00:00,7692,Aosta
2021-02-22 17:00:00,7706,Aosta
2021-02-23 17:00:00,7710,Aosta
2021-02-24 17:00:00,7724,Aosta
2021-02-25 17:00:00,7726,Aosta
2021-02-26 17:00:00,7739,Aosta
2021-02-27 17:00:00,7749,Aosta
2021-02-28 17:00:00,7782,Aosta
2021-03-01 17:00:00,7785,Aosta
2021-03-02 17:00:00,7791,Aosta
2021-03-03 17:00:00,7800,Aosta
2021-03-04 17:00:00,7811,Aosta
2021-03-05 17:00:00,7826,Aosta
2021-03-06 17:00:00,7842,Aosta
