data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,42422,Brescia
2021-01-02 17:00:00,42648,Brescia
2021-01-03 17:00:00,42854,Brescia
2021-01-04 17:00:00,43156,Brescia
2021-01-05 17:00:00,43256,Brescia
2021-01-06 17:00:00,43937,Brescia
2021-01-07 17:00:00,44392,Brescia
2021-01-08 17:00:00,44768,Brescia
2021-01-09 17:00:00,45181,Brescia
2021-01-10 17:00:00,45703,Brescia
2021-01-11 17:00:00,45992,Brescia
2021-01-12 17:00:00,46127,Brescia
2021-01-13 17:00:00,46492,Brescia
2021-01-14 17:00:00,46857,Brescia
2021-01-15 17:00:00,47183,Brescia
2021-01-16 17:00:00,47503,Brescia
2021-01-17 17:00:00,47838,Brescia
2021-01-18 17:00:00,48024,Brescia
2021-01-19 17:00:00,48160,Brescia
2021-01-20 17:00:00,48533,Brescia
2021-01-21 17:00:00,48969,Brescia
2021-01-22 17:00:00,49329,Brescia
2021-01-23 17:00:00,49548,Brescia
2021-01-24 17:00:00,49898,Brescia
2021-01-25 17:00:00,50149,Brescia
2021-01-26 17:00:00,50337,Brescia
2021-01-27 17:00:00,50811,Brescia
2021-01-28 17:00:00,51230,Brescia
2021-01-29 17:00:00,51639,Brescia
2021-01-30 17:00:00,52013,Brescia
2021-01-31 17:00:00,52375,Brescia
2021-02-01 17:00:00,52544,Brescia
2021-02-02 17:00:00,52658,Brescia
2021-02-03 17:00:00,53087,Brescia
2021-02-04 17:00:00,53524,Brescia
2021-02-05 17:00:00,54012,Brescia
2021-02-06 17:00:00,54381,Brescia
2021-02-07 17:00:00,54811,Brescia
2021-02-08 17:00:00,55033,Brescia
2021-02-09 17:00:00,55272,Brescia
2021-02-10 17:00:00,55580,Brescia
2021-02-11 17:00:00,56375,Brescia
2021-02-12 17:00:00,56954,Brescia
2021-02-13 17:00:00,57435,Brescia
2021-02-14 17:00:00,58052,Brescia
2021-02-15 17:00:00,58409,Brescia
2021-02-16 17:00:00,58709,Brescia
2021-02-17 17:00:00,59090,Brescia
2021-02-18 17:00:00,59649,Brescia
2021-02-19 17:00:00,60436,Brescia
2021-02-20 17:00:00,61202,Brescia
2021-02-21 17:00:00,61906,Brescia
2021-02-22 17:00:00,62333,Brescia
2021-02-23 17:00:00,62839,Brescia
2021-02-24 17:00:00,63740,Brescia
2021-02-25 17:00:00,64713,Brescia
2021-02-26 17:00:00,65631,Brescia
2021-02-27 17:00:00,66586,Brescia
2021-02-28 17:00:00,67602,Brescia
2021-03-01 17:00:00,68099,Brescia
2021-03-02 17:00:00,68943,Brescia
2021-03-03 17:00:00,70268,Brescia
2021-03-04 17:00:00,71382,Brescia
2021-03-05 17:00:00,72504,Brescia
2021-03-06 17:00:00,73714,Brescia
2021-03-07 17:00:00,74942,Brescia
2021-03-08 17:00:00,75427,Brescia
2021-03-09 17:00:00,76156,Brescia
2021-03-10 17:00:00,77236,Brescia
2021-03-11 17:00:00,78360,Brescia
2021-03-12 17:00:00,79478,Brescia
2021-03-13 17:00:00,80347,Brescia
2021-03-14 17:00:00,81395,Brescia
2021-03-15 17:00:00,81826,Brescia
2021-03-16 17:00:00,82435,Brescia
2021-03-17 17:00:00,83384,Brescia
2021-03-18 17:00:00,84366,Brescia
2021-03-19 17:00:00,85275,Brescia
2021-03-20 17:00:00,86032,Brescia
2021-03-21 17:00:00,86934,Brescia
2021-03-22 17:00:00,87308,Brescia
2021-03-23 17:00:00,87818,Brescia
2021-03-24 17:00:00,88608,Brescia
2021-03-25 17:00:00,89231,Brescia
2021-03-26 17:00:00,89927,Brescia
2021-03-27 17:00:00,90868,Brescia
2021-03-28 17:00:00,91469,Brescia
2021-03-29 17:00:00,91815,Brescia
2021-03-30 17:00:00,92246,Brescia
2021-03-31 17:00:00,92816,Brescia
2021-04-01 17:00:00,93429,Brescia
2021-04-02 17:00:00,94085,Brescia
2021-04-03 17:00:00,94632,Brescia
2021-04-04 17:00:00,95287,Brescia
2021-04-05 17:00:00,95507,Brescia
2021-04-06 17:00:00,95598,Brescia
2021-04-07 17:00:00,95896,Brescia
2021-04-08 17:00:00,96309,Brescia
2021-04-09 17:00:00,96821,Brescia
2021-04-10 17:00:00,97298,Brescia
2021-04-11 17:00:00,97665,Brescia
2021-04-12 17:00:00,97818,Brescia
2021-04-13 17:00:00,97954,Brescia
2021-04-14 17:00:00,98321,Brescia
2021-04-15 17:00:00,98673,Brescia
2021-04-16 17:00:00,98973,Brescia
2021-04-17 17:00:00,99255,Brescia
2021-04-18 17:00:00,99542,Brescia
2021-04-19 17:00:00,99655,Brescia
2021-04-20 17:00:00,99829,Brescia
2021-04-21 17:00:00,100139,Brescia
2021-04-22 17:00:00,100295,Brescia
2021-04-23 17:00:00,100590,Brescia
2021-04-24 17:00:00,100809,Brescia
2021-04-25 17:00:00,101113,Brescia
2021-04-26 17:00:00,101220,Brescia
2021-04-27 17:00:00,101382,Brescia
2021-04-28 17:00:00,101661,Brescia
2021-04-29 17:00:00,101938,Brescia
2021-04-30 17:00:00,102129,Brescia
2021-05-01 17:00:00,102361,Brescia
2021-05-02 17:00:00,102564,Brescia
2021-05-03 17:00:00,102628,Brescia
2021-05-04 17:00:00,102752,Brescia
2021-05-05 17:00:00,102975,Brescia
2021-05-06 17:00:00,103181,Brescia
2021-05-07 17:00:00,103405,Brescia
2021-05-08 17:00:00,103574,Brescia
2021-05-09 17:00:00,103790,Brescia
2021-05-10 17:00:00,103859,Brescia
2021-05-11 17:00:00,103961,Brescia
2021-05-12 17:00:00,104097,Brescia
2021-05-13 17:00:00,104258,Brescia
2021-05-14 17:00:00,104406,Brescia
2021-05-15 17:00:00,104534,Brescia
2021-05-16 17:00:00,104639,Brescia
2021-05-17 17:00:00,104675,Brescia
2021-05-18 17:00:00,104714,Brescia
2021-05-19 17:00:00,104818,Brescia
2021-05-20 17:00:00,104943,Brescia
2021-05-21 17:00:00,105036,Brescia
2021-05-22 17:00:00,105113,Brescia
2021-05-23 17:00:00,105216,Brescia
2021-05-24 17:00:00,105240,Brescia
2021-05-25 17:00:00,105285,Brescia
2021-05-26 17:00:00,105373,Brescia
2021-05-27 17:00:00,105461,Brescia
2021-05-28 17:00:00,105516,Brescia
2021-05-29 17:00:00,105570,Brescia
2021-05-30 17:00:00,105632,Brescia
2021-05-31 17:00:00,105648,Brescia
2021-06-01 17:00:00,105703,Brescia
2021-06-02 17:00:00,105751,Brescia
2021-06-03 17:00:00,105813,Brescia
2021-06-04 17:00:00,105859,Brescia
2021-06-05 17:00:00,105924,Brescia
2021-06-06 17:00:00,105980,Brescia
2021-06-07 17:00:00,105998,Brescia
2021-06-08 17:00:00,106026,Brescia
2021-06-09 17:00:00,106078,Brescia
2021-06-10 17:00:00,106124,Brescia
2021-06-11 17:00:00,106163,Brescia
2021-06-12 17:00:00,106187,Brescia
2021-06-13 17:00:00,106230,Brescia
2021-06-14 17:00:00,106233,Brescia
2021-06-15 17:00:00,106246,Brescia
2021-06-16 17:00:00,106282,Brescia
2021-06-17 17:00:00,106305,Brescia
2021-06-18 17:00:00,106328,Brescia
2021-06-19 17:00:00,106352,Brescia
2021-06-20 17:00:00,106371,Brescia
2021-06-21 17:00:00,106378,Brescia
2021-06-22 17:00:00,106394,Brescia
2021-06-23 17:00:00,106406,Brescia
2021-06-24 17:00:00,106425,Brescia
2021-06-25 17:00:00,106442,Brescia
2021-06-26 17:00:00,106449,Brescia
2021-06-27 17:00:00,106461,Brescia
2021-06-28 17:00:00,106463,Brescia
2021-06-29 17:00:00,106473,Brescia
2021-06-30 17:00:00,106485,Brescia
2021-07-01 17:00:00,106495,Brescia
2021-07-02 17:00:00,106506,Brescia
2021-07-03 17:00:00,106514,Brescia
2021-07-04 17:00:00,106520,Brescia
2021-07-05 17:00:00,106520,Brescia
