data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7401,Chieti
2021-01-02 17:00:00,7403,Chieti
2021-01-03 17:00:00,7439,Chieti
2021-01-04 17:00:00,7476,Chieti
2021-01-05 17:00:00,7562,Chieti
2021-01-06 17:00:00,7727,Chieti
2021-01-07 17:00:00,7848,Chieti
2021-01-08 17:00:00,7875,Chieti
2021-01-09 17:00:00,8018,Chieti
2021-01-10 17:00:00,8145,Chieti
2021-01-11 17:00:00,8196,Chieti
2021-01-12 17:00:00,8224,Chieti
2021-01-13 17:00:00,8366,Chieti
2021-01-14 17:00:00,8431,Chieti
2021-01-15 17:00:00,8465,Chieti
2021-01-16 17:00:00,8546,Chieti
2021-01-17 17:00:00,8632,Chieti
2021-01-18 17:00:00,8673,Chieti
2021-01-19 17:00:00,8687,Chieti
2021-01-20 17:00:00,8771,Chieti
2021-01-21 17:00:00,8851,Chieti
2021-01-22 17:00:00,8964,Chieti
2021-01-23 17:00:00,9027,Chieti
2021-01-24 17:00:00,9115,Chieti
2021-01-25 17:00:00,9154,Chieti
2021-01-26 17:00:00,9190,Chieti
2021-01-27 17:00:00,9306,Chieti
2021-01-28 17:00:00,9437,Chieti
2021-01-29 17:00:00,9537,Chieti
2021-01-30 17:00:00,9648,Chieti
2021-01-31 17:00:00,9748,Chieti
2021-02-01 17:00:00,9828,Chieti
2021-02-02 17:00:00,9896,Chieti
2021-02-03 17:00:00,10020,Chieti
2021-02-04 17:00:00,10196,Chieti
2021-02-05 17:00:00,10337,Chieti
2021-02-06 17:00:00,10440,Chieti
2021-02-07 17:00:00,10597,Chieti
2021-02-08 17:00:00,10689,Chieti
2021-02-09 17:00:00,10781,Chieti
2021-02-10 17:00:00,10954,Chieti
2021-02-11 17:00:00,11133,Chieti
2021-02-12 17:00:00,11261,Chieti
2021-02-13 17:00:00,11375,Chieti
2021-02-14 17:00:00,11452,Chieti
2021-02-15 17:00:00,11571,Chieti
2021-02-16 17:00:00,11683,Chieti
2021-02-17 17:00:00,11830,Chieti
2021-02-18 17:00:00,12022,Chieti
2021-02-19 17:00:00,12118,Chieti
2021-02-20 17:00:00,12291,Chieti
2021-02-21 17:00:00,12427,Chieti
2021-02-22 17:00:00,12582,Chieti
2021-02-23 17:00:00,12658,Chieti
2021-02-24 17:00:00,12830,Chieti
2021-02-25 17:00:00,13085,Chieti
2021-02-26 17:00:00,13286,Chieti
2021-02-27 17:00:00,13446,Chieti
2021-02-28 17:00:00,13541,Chieti
2021-03-01 17:00:00,13647,Chieti
2021-03-02 17:00:00,13732,Chieti
2021-03-03 17:00:00,13923,Chieti
2021-03-04 17:00:00,14082,Chieti
2021-03-05 17:00:00,14212,Chieti
2021-03-06 17:00:00,14352,Chieti
2021-03-07 17:00:00,14456,Chieti
2021-03-08 17:00:00,14552,Chieti
2021-03-09 17:00:00,14634,Chieti
2021-03-10 17:00:00,14709,Chieti
2021-03-11 17:00:00,14856,Chieti
2021-03-12 17:00:00,15029,Chieti
2021-03-13 17:00:00,15132,Chieti
2021-03-14 17:00:00,15219,Chieti
2021-03-15 17:00:00,15324,Chieti
2021-03-16 17:00:00,15382,Chieti
2021-03-17 17:00:00,15456,Chieti
2021-03-18 17:00:00,15515,Chieti
2021-03-19 17:00:00,15678,Chieti
2021-03-20 17:00:00,15841,Chieti
2021-03-21 17:00:00,15928,Chieti
2021-03-22 17:00:00,15990,Chieti
2021-03-23 17:00:00,16034,Chieti
2021-03-24 17:00:00,16101,Chieti
