data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,34117,Como
2021-01-02 17:00:00,34145,Como
2021-01-03 17:00:00,34475,Como
2021-01-04 17:00:00,34512,Como
2021-01-05 17:00:00,34633,Como
2021-01-06 17:00:00,34792,Como
2021-01-07 17:00:00,35080,Como
2021-01-08 17:00:00,35228,Como
2021-01-09 17:00:00,35455,Como
2021-01-10 17:00:00,35878,Como
2021-01-11 17:00:00,36013,Como
2021-01-12 17:00:00,36067,Como
2021-01-13 17:00:00,36188,Como
2021-01-14 17:00:00,36401,Como
2021-01-15 17:00:00,36599,Como
2021-01-16 17:00:00,36764,Como
2021-01-17 17:00:00,36911,Como
2021-01-18 17:00:00,37066,Como
2021-01-19 17:00:00,37125,Como
2021-01-20 17:00:00,37300,Como
2021-01-21 17:00:00,37502,Como
2021-01-22 17:00:00,37643,Como
2021-01-23 17:00:00,37737,Como
2021-01-24 17:00:00,37864,Como
2021-01-25 17:00:00,38098,Como
2021-01-26 17:00:00,38185,Como
2021-01-27 17:00:00,38362,Como
2021-01-28 17:00:00,38584,Como
2021-01-29 17:00:00,38724,Como
2021-01-30 17:00:00,38889,Como
2021-01-31 17:00:00,38999,Como
2021-02-01 17:00:00,39118,Como
2021-02-02 17:00:00,39185,Como
2021-02-03 17:00:00,39282,Como
2021-02-04 17:00:00,39372,Como
2021-02-05 17:00:00,39683,Como
2021-02-06 17:00:00,39788,Como
2021-02-07 17:00:00,39866,Como
2021-02-08 17:00:00,39880,Como
2021-02-09 17:00:00,40091,Como
2021-02-10 17:00:00,40201,Como
2021-02-11 17:00:00,40261,Como
2021-02-12 17:00:00,40472,Como
2021-02-13 17:00:00,40649,Como
2021-02-14 17:00:00,40732,Como
2021-02-15 17:00:00,40740,Como
2021-02-16 17:00:00,40922,Como
2021-02-17 17:00:00,41029,Como
2021-02-18 17:00:00,41171,Como
2021-02-19 17:00:00,41466,Como
2021-02-20 17:00:00,41695,Como
2021-02-21 17:00:00,41800,Como
2021-02-22 17:00:00,41818,Como
2021-02-23 17:00:00,42131,Como
2021-02-24 17:00:00,42391,Como
2021-02-25 17:00:00,42696,Como
2021-02-26 17:00:00,42985,Como
2021-02-27 17:00:00,43226,Como
2021-02-28 17:00:00,43401,Como
2021-03-01 17:00:00,43480,Como
2021-03-02 17:00:00,43804,Como
2021-03-03 17:00:00,44099,Como
2021-03-04 17:00:00,44502,Como
2021-03-05 17:00:00,44834,Como
2021-03-06 17:00:00,45197,Como
2021-03-07 17:00:00,45363,Como
2021-03-08 17:00:00,45515,Como
2021-03-09 17:00:00,45828,Como
2021-03-10 17:00:00,46100,Como
2021-03-11 17:00:00,46496,Como
2021-03-12 17:00:00,47003,Como
2021-03-13 17:00:00,47381,Como
2021-03-14 17:00:00,47597,Como
2021-03-15 17:00:00,47630,Como
2021-03-16 17:00:00,48025,Como
2021-03-17 17:00:00,48320,Como
2021-03-18 17:00:00,48671,Como
2021-03-19 17:00:00,49077,Como
2021-03-20 17:00:00,49393,Como
2021-03-21 17:00:00,49590,Como
2021-03-22 17:00:00,49661,Como
2021-03-23 17:00:00,50031,Como
2021-03-24 17:00:00,50310,Como
2021-03-25 17:00:00,50731,Como
2021-03-26 17:00:00,51158,Como
2021-03-27 17:00:00,51479,Como
2021-03-28 17:00:00,51633,Como
2021-03-29 17:00:00,51673,Como
2021-03-30 17:00:00,52041,Como
2021-03-31 17:00:00,52247,Como
2021-04-01 17:00:00,52668,Como
2021-04-02 17:00:00,52967,Como
2021-04-03 17:00:00,53217,Como
2021-04-04 17:00:00,53405,Como
2021-04-05 17:00:00,53487,Como
2021-04-06 17:00:00,53530,Como
2021-04-07 17:00:00,53757,Como
2021-04-08 17:00:00,53922,Como
2021-04-09 17:00:00,54135,Como
2021-04-10 17:00:00,54411,Como
2021-04-11 17:00:00,54518,Como
2021-04-12 17:00:00,54546,Como
2021-04-13 17:00:00,54772,Como
2021-04-14 17:00:00,54918,Como
2021-04-15 17:00:00,55112,Como
2021-04-16 17:00:00,55256,Como
2021-04-17 17:00:00,55489,Como
2021-04-18 17:00:00,55591,Como
2021-04-19 17:00:00,55614,Como
2021-04-20 17:00:00,55808,Como
2021-04-21 17:00:00,55961,Como
2021-04-22 17:00:00,56169,Como
2021-04-23 17:00:00,56327,Como
2021-04-24 17:00:00,56479,Como
2021-04-25 17:00:00,56578,Como
2021-04-26 17:00:00,56642,Como
2021-04-27 17:00:00,56724,Como
2021-04-28 17:00:00,56974,Como
2021-04-29 17:00:00,57196,Como
2021-04-30 17:00:00,57386,Como
2021-05-01 17:00:00,57546,Como
2021-05-02 17:00:00,57621,Como
2021-05-03 17:00:00,57629,Como
2021-05-04 17:00:00,57827,Como
2021-05-05 17:00:00,57967,Como
2021-05-06 17:00:00,58153,Como
2021-05-07 17:00:00,58289,Como
2021-05-08 17:00:00,58404,Como
2021-05-09 17:00:00,58481,Como
