data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,2210,Crotone
2021-01-02 17:00:00,2230,Crotone
2021-01-03 17:00:00,2230,Crotone
2021-01-04 17:00:00,2252,Crotone
2021-01-05 17:00:00,2254,Crotone
2021-01-06 17:00:00,2254,Crotone
2021-01-07 17:00:00,2286,Crotone
2021-01-08 17:00:00,2307,Crotone
2021-01-09 17:00:00,2355,Crotone
2021-01-10 17:00:00,2361,Crotone
2021-01-11 17:00:00,2407,Crotone
2021-01-12 17:00:00,2409,Crotone
2021-01-13 17:00:00,2425,Crotone
2021-01-14 17:00:00,2425,Crotone
2021-01-15 17:00:00,2466,Crotone
2021-01-16 17:00:00,2480,Crotone
2021-01-17 17:00:00,2491,Crotone
2021-01-18 17:00:00,2506,Crotone
2021-01-19 17:00:00,2506,Crotone
2021-01-20 17:00:00,2527,Crotone
2021-01-21 17:00:00,2537,Crotone
2021-01-22 17:00:00,2538,Crotone
2021-01-23 17:00:00,2550,Crotone
2021-01-24 17:00:00,2559,Crotone
2021-01-25 17:00:00,2565,Crotone
2021-01-26 17:00:00,2584,Crotone
2021-01-27 17:00:00,2588,Crotone
2021-01-28 17:00:00,2603,Crotone
2021-01-29 17:00:00,2612,Crotone
2021-01-30 17:00:00,2618,Crotone
2021-01-31 17:00:00,2623,Crotone
2021-02-01 17:00:00,2623,Crotone
2021-02-02 17:00:00,2629,Crotone
2021-02-03 17:00:00,2635,Crotone
2021-02-04 17:00:00,2641,Crotone
2021-02-05 17:00:00,2646,Crotone
2021-02-06 17:00:00,2648,Crotone
2021-02-07 17:00:00,2653,Crotone
2021-02-08 17:00:00,2651,Crotone
2021-02-09 17:00:00,2666,Crotone
2021-02-10 17:00:00,2671,Crotone
2021-02-11 17:00:00,2679,Crotone
2021-02-12 17:00:00,2687,Crotone
2021-02-13 17:00:00,2698,Crotone
2021-02-14 17:00:00,2710,Crotone
2021-02-15 17:00:00,2710,Crotone
2021-02-16 17:00:00,2719,Crotone
2021-02-17 17:00:00,2725,Crotone
2021-02-18 17:00:00,2736,Crotone
2021-02-19 17:00:00,2747,Crotone
2021-02-20 17:00:00,2762,Crotone
2021-02-21 17:00:00,2763,Crotone
2021-02-22 17:00:00,2763,Crotone
2021-02-23 17:00:00,2772,Crotone
2021-02-24 17:00:00,2785,Crotone
2021-02-25 17:00:00,2801,Crotone
2021-02-26 17:00:00,2812,Crotone
2021-02-27 17:00:00,2827,Crotone
2021-02-28 17:00:00,2835,Crotone
2021-03-01 17:00:00,2835,Crotone
2021-03-02 17:00:00,2850,Crotone
2021-03-03 17:00:00,2860,Crotone
2021-03-04 17:00:00,2887,Crotone
2021-03-05 17:00:00,2909,Crotone
2021-03-06 17:00:00,2947,Crotone
2021-03-07 17:00:00,2955,Crotone
2021-03-08 17:00:00,2955,Crotone
2021-03-09 17:00:00,3007,Crotone
2021-03-10 17:00:00,3048,Crotone
2021-03-11 17:00:00,3099,Crotone
2021-03-12 17:00:00,3158,Crotone
2021-03-13 17:00:00,3194,Crotone
2021-03-14 17:00:00,3241,Crotone
2021-03-15 17:00:00,3242,Crotone
2021-03-16 17:00:00,3304,Crotone
2021-03-17 17:00:00,3349,Crotone
2021-03-18 17:00:00,3404,Crotone
2021-03-19 17:00:00,3456,Crotone
2021-03-20 17:00:00,3506,Crotone
2021-03-21 17:00:00,3552,Crotone
2021-03-22 17:00:00,3554,Crotone
2021-03-23 17:00:00,3609,Crotone
2021-03-24 17:00:00,3665,Crotone
2021-03-25 17:00:00,3703,Crotone
2021-03-26 17:00:00,3750,Crotone
2021-03-27 17:00:00,3817,Crotone
2021-03-28 17:00:00,3874,Crotone
2021-03-29 17:00:00,3882,Crotone
2021-03-30 17:00:00,3944,Crotone
2021-03-31 17:00:00,3996,Crotone
2021-04-01 17:00:00,4076,Crotone
2021-04-02 17:00:00,4161,Crotone
2021-04-03 17:00:00,4222,Crotone
2021-04-04 17:00:00,4280,Crotone
2021-04-05 17:00:00,4281,Crotone
2021-04-06 17:00:00,4340,Crotone
2021-04-07 17:00:00,4389,Crotone
2021-04-08 17:00:00,4468,Crotone
2021-04-09 17:00:00,4536,Crotone
2021-04-10 17:00:00,4582,Crotone
2021-04-11 17:00:00,4640,Crotone
