data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,4934,Fermo
2021-01-02 17:00:00,4937,Fermo
2021-01-03 17:00:00,4980,Fermo
2021-01-04 17:00:00,5005,Fermo
2021-01-05 17:00:00,5057,Fermo
2021-01-06 17:00:00,5205,Fermo
2021-01-07 17:00:00,5224,Fermo
2021-01-08 17:00:00,5301,Fermo
2021-01-09 17:00:00,5404,Fermo
2021-01-10 17:00:00,5479,Fermo
2021-01-11 17:00:00,5552,Fermo
2021-01-12 17:00:00,5589,Fermo
2021-01-13 17:00:00,5616,Fermo
2021-01-14 17:00:00,5682,Fermo
2021-01-15 17:00:00,5774,Fermo
2021-01-16 17:00:00,5832,Fermo
2021-01-17 17:00:00,5875,Fermo
2021-01-18 17:00:00,5892,Fermo
2021-01-19 17:00:00,5930,Fermo
2021-01-20 17:00:00,5995,Fermo
2021-01-21 17:00:00,6070,Fermo
2021-01-22 17:00:00,6123,Fermo
2021-01-23 17:00:00,6134,Fermo
2021-01-24 17:00:00,6219,Fermo
2021-01-25 17:00:00,6245,Fermo
2021-01-26 17:00:00,6283,Fermo
2021-01-27 17:00:00,6337,Fermo
2021-01-28 17:00:00,6396,Fermo
2021-01-29 17:00:00,6448,Fermo
2021-01-30 17:00:00,6522,Fermo
2021-01-31 17:00:00,6557,Fermo
2021-02-01 17:00:00,6560,Fermo
2021-02-02 17:00:00,6583,Fermo
2021-02-03 17:00:00,6635,Fermo
2021-02-04 17:00:00,6684,Fermo
2021-02-05 17:00:00,6705,Fermo
2021-02-06 17:00:00,6744,Fermo
2021-02-07 17:00:00,6772,Fermo
2021-02-08 17:00:00,6794,Fermo
2021-02-09 17:00:00,6813,Fermo
2021-02-10 17:00:00,6825,Fermo
2021-02-11 17:00:00,6853,Fermo
2021-02-12 17:00:00,6877,Fermo
2021-02-13 17:00:00,6895,Fermo
2021-02-14 17:00:00,6904,Fermo
2021-02-15 17:00:00,6906,Fermo
2021-02-16 17:00:00,6924,Fermo
2021-02-17 17:00:00,6941,Fermo
2021-02-18 17:00:00,6978,Fermo
2021-02-19 17:00:00,7006,Fermo
