data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,9271,Ferrara
2021-01-02 17:00:00,9417,Ferrara
2021-01-03 17:00:00,9520,Ferrara
2021-01-04 17:00:00,9627,Ferrara
2021-01-05 17:00:00,9725,Ferrara
2021-01-06 17:00:00,9839,Ferrara
2021-01-07 17:00:00,9957,Ferrara
2021-01-08 17:00:00,10113,Ferrara
2021-01-09 17:00:00,10266,Ferrara
2021-01-10 17:00:00,10425,Ferrara
2021-01-11 17:00:00,10573,Ferrara
2021-01-12 17:00:00,10699,Ferrara
2021-01-13 17:00:00,10846,Ferrara
2021-01-14 17:00:00,10956,Ferrara
2021-01-15 17:00:00,11079,Ferrara
2021-01-16 17:00:00,11235,Ferrara
2021-01-17 17:00:00,11331,Ferrara
2021-01-18 17:00:00,11466,Ferrara
2021-01-19 17:00:00,11517,Ferrara
2021-01-20 17:00:00,11581,Ferrara
2021-01-21 17:00:00,11669,Ferrara
2021-01-22 17:00:00,11740,Ferrara
2021-01-23 17:00:00,11866,Ferrara
2021-01-24 17:00:00,11977,Ferrara
2021-01-25 17:00:00,12068,Ferrara
2021-01-26 17:00:00,12178,Ferrara
2021-01-27 17:00:00,12261,Ferrara
2021-01-28 17:00:00,12350,Ferrara
2021-01-29 17:00:00,12454,Ferrara
2021-01-30 17:00:00,12552,Ferrara
2021-01-31 17:00:00,12660,Ferrara
2021-02-01 17:00:00,12702,Ferrara
2021-02-02 17:00:00,12781,Ferrara
2021-02-03 17:00:00,12859,Ferrara
2021-02-04 17:00:00,12948,Ferrara
2021-02-05 17:00:00,13025,Ferrara
2021-02-06 17:00:00,13122,Ferrara
2021-02-07 17:00:00,13212,Ferrara
2021-02-08 17:00:00,13316,Ferrara
2021-02-09 17:00:00,13360,Ferrara
2021-02-10 17:00:00,13421,Ferrara
2021-02-11 17:00:00,13529,Ferrara
2021-02-12 17:00:00,13610,Ferrara
2021-02-13 17:00:00,13666,Ferrara
2021-02-14 17:00:00,13736,Ferrara
2021-02-15 17:00:00,13802,Ferrara
