data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,35408,Genova
2021-01-02 17:00:00,35510,Genova
2021-01-03 17:00:00,35578,Genova
2021-01-04 17:00:00,35693,Genova
2021-01-05 17:00:00,35824,Genova
2021-01-06 17:00:00,36017,Genova
2021-01-07 17:00:00,36010,Genova
2021-01-08 17:00:00,36180,Genova
2021-01-09 17:00:00,36386,Genova
2021-01-10 17:00:00,36506,Genova
2021-01-11 17:00:00,36630,Genova
2021-01-12 17:00:00,36714,Genova
2021-01-13 17:00:00,36853,Genova
2021-01-14 17:00:00,36973,Genova
2021-01-15 17:00:00,37069,Genova
2021-01-16 17:00:00,37156,Genova
2021-01-17 17:00:00,37219,Genova
2021-01-18 17:00:00,37299,Genova
2021-01-19 17:00:00,37361,Genova
2021-01-20 17:00:00,37463,Genova
2021-01-21 17:00:00,37549,Genova
2021-01-22 17:00:00,37698,Genova
2021-01-23 17:00:00,37801,Genova
2021-01-24 17:00:00,37906,Genova
2021-01-25 17:00:00,37961,Genova
2021-01-26 17:00:00,38055,Genova
2021-01-27 17:00:00,38123,Genova
2021-01-28 17:00:00,38289,Genova
2021-01-29 17:00:00,38408,Genova
2021-01-30 17:00:00,38516,Genova
2021-01-31 17:00:00,38635,Genova
2021-02-01 17:00:00,38706,Genova
2021-02-02 17:00:00,38799,Genova
2021-02-03 17:00:00,38856,Genova
2021-02-04 17:00:00,39047,Genova
2021-02-05 17:00:00,39201,Genova
2021-02-06 17:00:00,39309,Genova
2021-02-07 17:00:00,39498,Genova
2021-02-08 17:00:00,39596,Genova
2021-02-09 17:00:00,39673,Genova
2021-02-10 17:00:00,39829,Genova
2021-02-11 17:00:00,39991,Genova
2021-02-12 17:00:00,40148,Genova
2021-02-13 17:00:00,40255,Genova
2021-02-14 17:00:00,40367,Genova
2021-02-15 17:00:00,40499,Genova
2021-02-16 17:00:00,40570,Genova
2021-02-17 17:00:00,40675,Genova
2021-02-18 17:00:00,40784,Genova
2021-02-19 17:00:00,40905,Genova
2021-02-20 17:00:00,41063,Genova
2021-02-21 17:00:00,41126,Genova
2021-02-22 17:00:00,41199,Genova
2021-02-23 17:00:00,41385,Genova
2021-02-24 17:00:00,41486,Genova
2021-02-25 17:00:00,41702,Genova
2021-02-26 17:00:00,41849,Genova
2021-02-27 17:00:00,42019,Genova
2021-02-28 17:00:00,42106,Genova
2021-03-01 17:00:00,42250,Genova
2021-03-02 17:00:00,42389,Genova
2021-03-03 17:00:00,42500,Genova
2021-03-04 17:00:00,42690,Genova
2021-03-05 17:00:00,42891,Genova
2021-03-06 17:00:00,43014,Genova
2021-03-07 17:00:00,43158,Genova
2021-03-08 17:00:00,43303,Genova
2021-03-09 17:00:00,43429,Genova
2021-03-10 17:00:00,43581,Genova
2021-03-11 17:00:00,43760,Genova
2021-03-12 17:00:00,43963,Genova
2021-03-13 17:00:00,44110,Genova
2021-03-14 17:00:00,44255,Genova
2021-03-15 17:00:00,44390,Genova
2021-03-16 17:00:00,44563,Genova
2021-03-17 17:00:00,44726,Genova
2021-03-18 17:00:00,44866,Genova
2021-03-19 17:00:00,45063,Genova
2021-03-20 17:00:00,45344,Genova
2021-03-21 17:00:00,45534,Genova
2021-03-22 17:00:00,45663,Genova
2021-03-23 17:00:00,45827,Genova
2021-03-24 17:00:00,45990,Genova
