data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,4208,Grosseto
2021-01-02 17:00:00,4221,Grosseto
2021-01-03 17:00:00,4225,Grosseto
2021-01-04 17:00:00,4238,Grosseto
2021-01-05 17:00:00,4246,Grosseto
2021-01-06 17:00:00,4255,Grosseto
2021-01-07 17:00:00,4260,Grosseto
2021-01-08 17:00:00,4276,Grosseto
2021-01-09 17:00:00,4292,Grosseto
2021-01-10 17:00:00,4298,Grosseto
2021-01-11 17:00:00,4300,Grosseto
2021-01-12 17:00:00,4306,Grosseto
2021-01-13 17:00:00,4310,Grosseto
2021-01-14 17:00:00,4317,Grosseto
2021-01-15 17:00:00,4324,Grosseto
2021-01-16 17:00:00,4328,Grosseto
2021-01-17 17:00:00,4331,Grosseto
2021-01-18 17:00:00,4340,Grosseto
2021-01-19 17:00:00,4347,Grosseto
2021-01-20 17:00:00,4354,Grosseto
2021-01-21 17:00:00,4368,Grosseto
2021-01-22 17:00:00,4381,Grosseto
2021-01-23 17:00:00,4394,Grosseto
2021-01-24 17:00:00,4405,Grosseto
2021-01-25 17:00:00,4412,Grosseto
2021-01-26 17:00:00,4442,Grosseto
2021-01-27 17:00:00,4469,Grosseto
2021-01-28 17:00:00,4487,Grosseto
2021-01-29 17:00:00,4504,Grosseto
2021-01-30 17:00:00,4530,Grosseto
2021-01-31 17:00:00,4541,Grosseto
2021-02-01 17:00:00,4554,Grosseto
2021-02-02 17:00:00,4571,Grosseto
2021-02-03 17:00:00,4584,Grosseto
2021-02-04 17:00:00,4602,Grosseto
2021-02-05 17:00:00,4632,Grosseto
2021-02-06 17:00:00,4663,Grosseto
2021-02-07 17:00:00,4679,Grosseto
2021-02-08 17:00:00,4682,Grosseto
2021-02-09 17:00:00,4705,Grosseto
2021-02-10 17:00:00,4730,Grosseto
2021-02-11 17:00:00,4759,Grosseto
2021-02-12 17:00:00,4770,Grosseto
2021-02-13 17:00:00,4789,Grosseto
2021-02-14 17:00:00,4811,Grosseto
2021-02-15 17:00:00,4814,Grosseto
2021-02-16 17:00:00,4830,Grosseto
2021-02-17 17:00:00,4857,Grosseto
2021-02-18 17:00:00,4874,Grosseto
2021-02-19 17:00:00,4908,Grosseto
2021-02-20 17:00:00,4939,Grosseto
2021-02-21 17:00:00,4968,Grosseto
2021-02-22 17:00:00,4979,Grosseto
2021-02-23 17:00:00,5006,Grosseto
2021-02-24 17:00:00,5047,Grosseto
2021-02-25 17:00:00,5082,Grosseto
2021-02-26 17:00:00,5134,Grosseto
2021-02-27 17:00:00,5171,Grosseto
2021-02-28 17:00:00,5225,Grosseto
2021-03-01 17:00:00,5231,Grosseto
2021-03-02 17:00:00,5266,Grosseto
2021-03-03 17:00:00,5297,Grosseto
2021-03-04 17:00:00,5364,Grosseto
2021-03-05 17:00:00,5418,Grosseto
2021-03-06 17:00:00,5439,Grosseto
2021-03-07 17:00:00,5493,Grosseto
2021-03-08 17:00:00,5515,Grosseto
2021-03-09 17:00:00,5545,Grosseto
2021-03-10 17:00:00,5610,Grosseto
2021-03-11 17:00:00,5694,Grosseto
2021-03-12 17:00:00,5765,Grosseto
2021-03-13 17:00:00,5847,Grosseto
2021-03-14 17:00:00,5868,Grosseto
2021-03-15 17:00:00,6017,Grosseto
2021-03-16 17:00:00,6092,Grosseto
2021-03-17 17:00:00,6167,Grosseto
2021-03-18 17:00:00,6261,Grosseto
2021-03-19 17:00:00,6356,Grosseto
2021-03-20 17:00:00,6398,Grosseto
2021-03-21 17:00:00,6477,Grosseto
2021-03-22 17:00:00,6561,Grosseto
2021-03-23 17:00:00,6594,Grosseto
2021-03-24 17:00:00,6635,Grosseto
2021-03-25 17:00:00,6746,Grosseto
2021-03-26 17:00:00,6805,Grosseto
2021-03-27 17:00:00,6859,Grosseto
2021-03-28 17:00:00,6907,Grosseto
2021-03-29 17:00:00,6951,Grosseto
2021-03-30 17:00:00,6983,Grosseto
2021-03-31 17:00:00,7042,Grosseto
2021-04-01 17:00:00,7108,Grosseto
2021-04-02 17:00:00,7157,Grosseto
2021-04-03 17:00:00,7195,Grosseto
2021-04-04 17:00:00,7248,Grosseto
2021-04-05 17:00:00,7272,Grosseto
2021-04-06 17:00:00,7307,Grosseto
2021-04-07 17:00:00,7334,Grosseto
2021-04-08 17:00:00,7358,Grosseto
2021-04-09 17:00:00,7389,Grosseto
2021-04-10 17:00:00,7442,Grosseto
2021-04-11 17:00:00,7477,Grosseto
2021-04-12 17:00:00,7489,Grosseto
2021-04-13 17:00:00,7518,Grosseto
2021-04-14 17:00:00,7560,Grosseto
2021-04-15 17:00:00,7602,Grosseto
2021-04-16 17:00:00,7645,Grosseto
2021-04-17 17:00:00,7692,Grosseto
2021-04-18 17:00:00,7723,Grosseto
2021-04-19 17:00:00,7755,Grosseto
2021-04-20 17:00:00,7787,Grosseto
2021-04-21 17:00:00,7832,Grosseto
2021-04-22 17:00:00,7857,Grosseto
2021-04-23 17:00:00,7896,Grosseto
2021-04-24 17:00:00,7921,Grosseto
2021-04-25 17:00:00,7956,Grosseto
2021-04-26 17:00:00,7969,Grosseto
2021-04-27 17:00:00,7986,Grosseto
2021-04-28 17:00:00,8013,Grosseto
2021-04-29 17:00:00,8053,Grosseto
2021-04-30 17:00:00,8069,Grosseto
2021-05-01 17:00:00,8083,Grosseto
2021-05-02 17:00:00,8117,Grosseto
2021-05-03 17:00:00,8126,Grosseto
2021-05-04 17:00:00,8153,Grosseto
2021-05-05 17:00:00,8175,Grosseto
2021-05-06 17:00:00,8220,Grosseto
2021-05-07 17:00:00,8246,Grosseto
2021-05-08 17:00:00,8285,Grosseto
2021-05-09 17:00:00,8316,Grosseto
2021-05-10 17:00:00,8337,Grosseto
2021-05-11 17:00:00,8348,Grosseto
2021-05-12 17:00:00,8384,Grosseto
2021-05-13 17:00:00,8408,Grosseto
2021-05-14 17:00:00,8436,Grosseto
2021-05-15 17:00:00,8461,Grosseto
2021-05-16 17:00:00,8497,Grosseto
2021-05-17 17:00:00,8513,Grosseto
2021-05-18 17:00:00,8524,Grosseto
2021-05-19 17:00:00,8542,Grosseto
2021-05-20 17:00:00,8591,Grosseto
2021-05-21 17:00:00,8613,Grosseto
2021-05-22 17:00:00,8639,Grosseto
2021-05-23 17:00:00,8662,Grosseto
2021-05-24 17:00:00,8680,Grosseto
2021-05-25 17:00:00,8697,Grosseto
2021-05-26 17:00:00,8711,Grosseto
2021-05-27 17:00:00,8745,Grosseto
2021-05-28 17:00:00,8760,Grosseto
2021-05-29 17:00:00,8782,Grosseto
2021-05-30 17:00:00,8801,Grosseto
2021-05-31 17:00:00,8812,Grosseto
