data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,8308,La Spezia
2021-01-02 17:00:00,8331,La Spezia
2021-01-03 17:00:00,8401,La Spezia
2021-01-04 17:00:00,8416,La Spezia
2021-01-05 17:00:00,8458,La Spezia
2021-01-06 17:00:00,8494,La Spezia
2021-01-07 17:00:00,8577,La Spezia
2021-01-08 17:00:00,8622,La Spezia
2021-01-09 17:00:00,8698,La Spezia
2021-01-10 17:00:00,8762,La Spezia
2021-01-11 17:00:00,8773,La Spezia
2021-01-12 17:00:00,8810,La Spezia
2021-01-13 17:00:00,8899,La Spezia
2021-01-14 17:00:00,8939,La Spezia
2021-01-15 17:00:00,8972,La Spezia
2021-01-16 17:00:00,9028,La Spezia
2021-01-17 17:00:00,9075,La Spezia
2021-01-18 17:00:00,9099,La Spezia
2021-01-19 17:00:00,9126,La Spezia
2021-01-20 17:00:00,9178,La Spezia
2021-01-21 17:00:00,9216,La Spezia
2021-01-22 17:00:00,9235,La Spezia
2021-01-23 17:00:00,9282,La Spezia
2021-01-24 17:00:00,9320,La Spezia
2021-01-25 17:00:00,9331,La Spezia
2021-01-26 17:00:00,9354,La Spezia
2021-01-27 17:00:00,9413,La Spezia
2021-01-28 17:00:00,9448,La Spezia
2021-01-29 17:00:00,9519,La Spezia
2021-01-30 17:00:00,9557,La Spezia
2021-01-31 17:00:00,9610,La Spezia
2021-02-01 17:00:00,9632,La Spezia
2021-02-02 17:00:00,9650,La Spezia
2021-02-03 17:00:00,9709,La Spezia
2021-02-04 17:00:00,9791,La Spezia
2021-02-05 17:00:00,9822,La Spezia
2021-02-06 17:00:00,9872,La Spezia
2021-02-07 17:00:00,9911,La Spezia
2021-02-08 17:00:00,9932,La Spezia
2021-02-09 17:00:00,9956,La Spezia
2021-02-10 17:00:00,9998,La Spezia
2021-02-11 17:00:00,10032,La Spezia
2021-02-12 17:00:00,10065,La Spezia
2021-02-13 17:00:00,10112,La Spezia
2021-02-14 17:00:00,10135,La Spezia
2021-02-15 17:00:00,10149,La Spezia
2021-02-16 17:00:00,10175,La Spezia
2021-02-17 17:00:00,10231,La Spezia
2021-02-18 17:00:00,10273,La Spezia
2021-02-19 17:00:00,10295,La Spezia
2021-02-20 17:00:00,10347,La Spezia
2021-02-21 17:00:00,10372,La Spezia
2021-02-22 17:00:00,10380,La Spezia
2021-02-23 17:00:00,10396,La Spezia
2021-02-24 17:00:00,10445,La Spezia
2021-02-25 17:00:00,10493,La Spezia
2021-02-26 17:00:00,10529,La Spezia
2021-02-27 17:00:00,10574,La Spezia
2021-02-28 17:00:00,10613,La Spezia
2021-03-01 17:00:00,10633,La Spezia
2021-03-02 17:00:00,10676,La Spezia
2021-03-03 17:00:00,10762,La Spezia
2021-03-04 17:00:00,10816,La Spezia
2021-03-05 17:00:00,10857,La Spezia
2021-03-06 17:00:00,10886,La Spezia
2021-03-07 17:00:00,10926,La Spezia
2021-03-08 17:00:00,10930,La Spezia
2021-03-09 17:00:00,10947,La Spezia
2021-03-10 17:00:00,11027,La Spezia
2021-03-11 17:00:00,11098,La Spezia
2021-03-12 17:00:00,11168,La Spezia
2021-03-13 17:00:00,11214,La Spezia
2021-03-14 17:00:00,11260,La Spezia
2021-03-15 17:00:00,11261,La Spezia
2021-03-16 17:00:00,11296,La Spezia
2021-03-17 17:00:00,11337,La Spezia
2021-03-18 17:00:00,11370,La Spezia
2021-03-19 17:00:00,11399,La Spezia
2021-03-20 17:00:00,11434,La Spezia
2021-03-21 17:00:00,11447,La Spezia
2021-03-22 17:00:00,11472,La Spezia
2021-03-23 17:00:00,11516,La Spezia
2021-03-24 17:00:00,11594,La Spezia
