data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,13422,Lecco
2021-01-02 17:00:00,13491,Lecco
2021-01-03 17:00:00,13512,Lecco
2021-01-04 17:00:00,13533,Lecco
2021-01-05 17:00:00,13581,Lecco
2021-01-06 17:00:00,13669,Lecco
2021-01-07 17:00:00,13747,Lecco
2021-01-08 17:00:00,13776,Lecco
2021-01-09 17:00:00,13889,Lecco
2021-01-10 17:00:00,14005,Lecco
2021-01-11 17:00:00,14048,Lecco
2021-01-12 17:00:00,14085,Lecco
2021-01-13 17:00:00,14174,Lecco
2021-01-14 17:00:00,14269,Lecco
2021-01-15 17:00:00,14332,Lecco
2021-01-16 17:00:00,14376,Lecco
2021-01-17 17:00:00,14430,Lecco
2021-01-18 17:00:00,14445,Lecco
2021-01-19 17:00:00,14453,Lecco
2021-01-20 17:00:00,14469,Lecco
2021-01-21 17:00:00,14571,Lecco
2021-01-22 17:00:00,14609,Lecco
2021-01-23 17:00:00,14680,Lecco
2021-01-24 17:00:00,14730,Lecco
2021-01-25 17:00:00,14785,Lecco
2021-01-26 17:00:00,14844,Lecco
2021-01-27 17:00:00,14914,Lecco
2021-01-28 17:00:00,15036,Lecco
2021-01-29 17:00:00,15130,Lecco
2021-01-30 17:00:00,15189,Lecco
2021-01-31 17:00:00,15264,Lecco
2021-02-01 17:00:00,15285,Lecco
2021-02-02 17:00:00,15320,Lecco
2021-02-03 17:00:00,15384,Lecco
2021-02-04 17:00:00,15445,Lecco
2021-02-05 17:00:00,15551,Lecco
2021-02-06 17:00:00,15629,Lecco
2021-02-07 17:00:00,15672,Lecco
2021-02-08 17:00:00,15717,Lecco
2021-02-09 17:00:00,15759,Lecco
2021-02-10 17:00:00,15835,Lecco
2021-02-11 17:00:00,15940,Lecco
2021-02-12 17:00:00,16017,Lecco
2021-02-13 17:00:00,16085,Lecco
2021-02-14 17:00:00,16125,Lecco
2021-02-15 17:00:00,16152,Lecco
2021-02-16 17:00:00,16214,Lecco
2021-02-17 17:00:00,16272,Lecco
2021-02-18 17:00:00,16363,Lecco
2021-02-19 17:00:00,16471,Lecco
2021-02-20 17:00:00,16585,Lecco
2021-02-21 17:00:00,16651,Lecco
2021-02-22 17:00:00,16699,Lecco
2021-02-23 17:00:00,16747,Lecco
2021-02-24 17:00:00,16827,Lecco
2021-02-25 17:00:00,16964,Lecco
2021-02-26 17:00:00,17161,Lecco
2021-02-27 17:00:00,17334,Lecco
2021-02-28 17:00:00,17428,Lecco
2021-03-01 17:00:00,17483,Lecco
2021-03-02 17:00:00,17574,Lecco
2021-03-03 17:00:00,17713,Lecco
2021-03-04 17:00:00,17893,Lecco
2021-03-05 17:00:00,17960,Lecco
2021-03-06 17:00:00,18224,Lecco
2021-03-07 17:00:00,18400,Lecco
2021-03-08 17:00:00,18463,Lecco
2021-03-09 17:00:00,18583,Lecco
2021-03-10 17:00:00,18676,Lecco
2021-03-11 17:00:00,18884,Lecco
2021-03-12 17:00:00,19081,Lecco
2021-03-13 17:00:00,19327,Lecco
2021-03-14 17:00:00,19418,Lecco
2021-03-15 17:00:00,19583,Lecco
2021-03-16 17:00:00,19698,Lecco
2021-03-17 17:00:00,19823,Lecco
2021-03-18 17:00:00,19977,Lecco
2021-03-19 17:00:00,20217,Lecco
2021-03-20 17:00:00,20376,Lecco
2021-03-21 17:00:00,20520,Lecco
2021-03-22 17:00:00,20601,Lecco
2021-03-23 17:00:00,20663,Lecco
2021-03-24 17:00:00,20755,Lecco
2021-03-25 17:00:00,20952,Lecco
2021-03-26 17:00:00,21123,Lecco
2021-03-27 17:00:00,21293,Lecco
2021-03-28 17:00:00,21417,Lecco
2021-03-29 17:00:00,21465,Lecco
2021-03-30 17:00:00,21548,Lecco
2021-03-31 17:00:00,21719,Lecco
2021-04-01 17:00:00,21873,Lecco
2021-04-02 17:00:00,21970,Lecco
2021-04-03 17:00:00,22094,Lecco
2021-04-04 17:00:00,22205,Lecco
2021-04-05 17:00:00,22293,Lecco
2021-04-06 17:00:00,22310,Lecco
2021-04-07 17:00:00,22354,Lecco
2021-04-08 17:00:00,22413,Lecco
2021-04-09 17:00:00,22529,Lecco
2021-04-10 17:00:00,22628,Lecco
2021-04-11 17:00:00,22686,Lecco
2021-04-12 17:00:00,22753,Lecco
2021-04-13 17:00:00,22797,Lecco
2021-04-14 17:00:00,22876,Lecco
2021-04-15 17:00:00,22976,Lecco
2021-04-16 17:00:00,23070,Lecco
2021-04-17 17:00:00,23139,Lecco
2021-04-18 17:00:00,23205,Lecco
2021-04-19 17:00:00,23245,Lecco
2021-04-20 17:00:00,23298,Lecco
2021-04-21 17:00:00,23383,Lecco
2021-04-22 17:00:00,23457,Lecco
2021-04-23 17:00:00,23514,Lecco
2021-04-24 17:00:00,23586,Lecco
