data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,8704,Livorno
2021-01-02 17:00:00,8767,Livorno
2021-01-03 17:00:00,8808,Livorno
2021-01-04 17:00:00,8854,Livorno
2021-01-05 17:00:00,8886,Livorno
2021-01-06 17:00:00,8930,Livorno
2021-01-07 17:00:00,9016,Livorno
2021-01-08 17:00:00,9116,Livorno
2021-01-09 17:00:00,9185,Livorno
2021-01-10 17:00:00,9224,Livorno
2021-01-11 17:00:00,9303,Livorno
2021-01-12 17:00:00,9315,Livorno
2021-01-13 17:00:00,9379,Livorno
2021-01-14 17:00:00,9434,Livorno
2021-01-15 17:00:00,9483,Livorno
2021-01-16 17:00:00,9541,Livorno
2021-01-17 17:00:00,9572,Livorno
2021-01-18 17:00:00,9635,Livorno
2021-01-19 17:00:00,9706,Livorno
2021-01-20 17:00:00,9738,Livorno
2021-01-21 17:00:00,9814,Livorno
2021-01-22 17:00:00,9864,Livorno
2021-01-23 17:00:00,9943,Livorno
2021-01-24 17:00:00,10000,Livorno
2021-01-25 17:00:00,10052,Livorno
2021-01-26 17:00:00,10100,Livorno
2021-01-27 17:00:00,10154,Livorno
2021-01-28 17:00:00,10204,Livorno
2021-01-29 17:00:00,10260,Livorno
2021-01-30 17:00:00,10342,Livorno
2021-01-31 17:00:00,10375,Livorno
2021-02-01 17:00:00,10419,Livorno
2021-02-02 17:00:00,10466,Livorno
2021-02-03 17:00:00,10529,Livorno
2021-02-04 17:00:00,10590,Livorno
2021-02-05 17:00:00,10648,Livorno
2021-02-06 17:00:00,10701,Livorno
2021-02-07 17:00:00,10761,Livorno
2021-02-08 17:00:00,10807,Livorno
2021-02-09 17:00:00,10862,Livorno
2021-02-10 17:00:00,10937,Livorno
2021-02-11 17:00:00,10998,Livorno
2021-02-12 17:00:00,11055,Livorno
2021-02-13 17:00:00,11112,Livorno
2021-02-14 17:00:00,11139,Livorno
2021-02-15 17:00:00,11187,Livorno
2021-02-16 17:00:00,11221,Livorno
2021-02-17 17:00:00,11271,Livorno
2021-02-18 17:00:00,11356,Livorno
2021-02-19 17:00:00,11419,Livorno
2021-02-20 17:00:00,11480,Livorno
2021-02-21 17:00:00,11539,Livorno
2021-02-22 17:00:00,11592,Livorno
2021-02-23 17:00:00,11652,Livorno
2021-02-24 17:00:00,11723,Livorno
2021-02-25 17:00:00,11814,Livorno
2021-02-26 17:00:00,11871,Livorno
2021-02-27 17:00:00,11953,Livorno
2021-02-28 17:00:00,12002,Livorno
2021-03-01 17:00:00,12052,Livorno
2021-03-02 17:00:00,12113,Livorno
2021-03-03 17:00:00,12192,Livorno
2021-03-04 17:00:00,12273,Livorno
2021-03-05 17:00:00,12342,Livorno
