data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,3566,Matera
2021-01-02 17:00:00,3585,Matera
2021-01-03 17:00:00,3591,Matera
2021-01-04 17:00:00,3604,Matera
2021-01-05 17:00:00,3612,Matera
2021-01-06 17:00:00,3651,Matera
2021-01-07 17:00:00,3661,Matera
2021-01-08 17:00:00,3697,Matera
2021-01-09 17:00:00,3714,Matera
2021-01-10 17:00:00,3718,Matera
2021-01-11 17:00:00,3749,Matera
2021-01-12 17:00:00,3766,Matera
2021-01-13 17:00:00,3775,Matera
2021-01-14 17:00:00,3796,Matera
2021-01-15 17:00:00,3802,Matera
2021-01-16 17:00:00,3815,Matera
2021-01-17 17:00:00,3819,Matera
2021-01-18 17:00:00,3821,Matera
2021-01-19 17:00:00,3826,Matera
2021-01-20 17:00:00,3836,Matera
2021-01-21 17:00:00,3845,Matera
2021-01-22 17:00:00,3855,Matera
2021-01-23 17:00:00,3863,Matera
2021-01-24 17:00:00,3868,Matera
2021-01-25 17:00:00,3911,Matera
2021-01-26 17:00:00,3923,Matera
2021-01-27 17:00:00,3945,Matera
2021-01-28 17:00:00,3962,Matera
2021-01-29 17:00:00,3969,Matera
2021-01-30 17:00:00,3988,Matera
2021-01-31 17:00:00,4000,Matera
2021-02-01 17:00:00,4007,Matera
2021-02-02 17:00:00,4019,Matera
2021-02-03 17:00:00,4044,Matera
2021-02-04 17:00:00,4069,Matera
2021-02-05 17:00:00,4095,Matera
2021-02-06 17:00:00,4114,Matera
2021-02-07 17:00:00,4131,Matera
2021-02-08 17:00:00,4141,Matera
2021-02-09 17:00:00,4178,Matera
2021-02-10 17:00:00,4202,Matera
2021-02-11 17:00:00,4249,Matera
2021-02-12 17:00:00,4299,Matera
2021-02-13 17:00:00,4343,Matera
2021-02-14 17:00:00,4367,Matera
2021-02-15 17:00:00,4386,Matera
2021-02-16 17:00:00,4410,Matera
2021-02-17 17:00:00,4452,Matera
2021-02-18 17:00:00,4493,Matera
2021-02-19 17:00:00,4534,Matera
2021-02-20 17:00:00,4571,Matera
2021-02-21 17:00:00,4589,Matera
2021-02-22 17:00:00,4616,Matera
2021-02-23 17:00:00,4691,Matera
2021-02-24 17:00:00,4774,Matera
2021-02-25 17:00:00,4843,Matera
2021-02-26 17:00:00,4894,Matera
2021-02-27 17:00:00,4945,Matera
2021-02-28 17:00:00,4974,Matera
2021-03-01 17:00:00,5011,Matera
2021-03-02 17:00:00,5051,Matera
2021-03-03 17:00:00,5090,Matera
2021-03-04 17:00:00,5149,Matera
2021-03-05 17:00:00,5240,Matera
2021-03-06 17:00:00,5310,Matera
2021-03-07 17:00:00,5382,Matera
2021-03-08 17:00:00,5397,Matera
2021-03-09 17:00:00,5468,Matera
2021-03-10 17:00:00,5520,Matera
2021-03-11 17:00:00,5583,Matera
2021-03-12 17:00:00,5638,Matera
2021-03-13 17:00:00,5705,Matera
2021-03-14 17:00:00,5736,Matera
2021-03-15 17:00:00,5776,Matera
2021-03-16 17:00:00,5819,Matera
2021-03-17 17:00:00,5858,Matera
2021-03-18 17:00:00,5919,Matera
2021-03-19 17:00:00,5977,Matera
2021-03-20 17:00:00,6019,Matera
2021-03-21 17:00:00,6055,Matera
2021-03-22 17:00:00,6065,Matera
2021-03-23 17:00:00,6111,Matera
2021-03-24 17:00:00,6147,Matera
2021-03-25 17:00:00,6204,Matera
2021-03-26 17:00:00,6248,Matera
2021-03-27 17:00:00,6294,Matera
2021-03-28 17:00:00,6341,Matera
2021-03-29 17:00:00,6359,Matera
2021-03-30 17:00:00,6395,Matera
2021-03-31 17:00:00,6453,Matera
2021-04-01 17:00:00,6526,Matera
2021-04-02 17:00:00,6604,Matera
2021-04-03 17:00:00,6630,Matera
2021-04-04 17:00:00,6675,Matera
2021-04-05 17:00:00,6687,Matera
2021-04-06 17:00:00,6690,Matera
2021-04-07 17:00:00,6730,Matera
2021-04-08 17:00:00,6803,Matera
2021-04-09 17:00:00,6896,Matera
2021-04-10 17:00:00,6957,Matera
2021-04-11 17:00:00,7020,Matera
2021-04-12 17:00:00,7063,Matera
2021-04-13 17:00:00,7122,Matera
2021-04-14 17:00:00,7216,Matera
2021-04-15 17:00:00,7288,Matera
2021-04-16 17:00:00,7359,Matera
2021-04-17 17:00:00,7426,Matera
2021-04-18 17:00:00,7481,Matera
2021-04-19 17:00:00,7499,Matera
2021-04-20 17:00:00,7539,Matera
2021-04-21 17:00:00,7606,Matera
2021-04-22 17:00:00,7681,Matera
2021-04-23 17:00:00,7737,Matera
2021-04-24 17:00:00,7776,Matera
2021-04-25 17:00:00,7837,Matera
2021-04-26 17:00:00,7854,Matera
2021-04-27 17:00:00,7881,Matera
2021-04-28 17:00:00,7951,Matera
2021-04-29 17:00:00,8010,Matera
2021-04-30 17:00:00,8092,Matera
2021-05-01 17:00:00,8148,Matera
2021-05-02 17:00:00,8177,Matera
