data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,11011,Messina
2021-01-02 17:00:00,11114,Messina
2021-01-03 17:00:00,11303,Messina
2021-01-04 17:00:00,11513,Messina
2021-01-05 17:00:00,11735,Messina
2021-01-06 17:00:00,11942,Messina
2021-01-07 17:00:00,12304,Messina
2021-01-08 17:00:00,12665,Messina
2021-01-09 17:00:00,12948,Messina
2021-01-10 17:00:00,13235,Messina
2021-01-11 17:00:00,13481,Messina
2021-01-12 17:00:00,13812,Messina
2021-01-13 17:00:00,14192,Messina
2021-01-14 17:00:00,14414,Messina
2021-01-15 17:00:00,14741,Messina
2021-01-16 17:00:00,15175,Messina
2021-01-17 17:00:00,15420,Messina
2021-01-18 17:00:00,15621,Messina
2021-01-19 17:00:00,15819,Messina
2021-01-20 17:00:00,16071,Messina
2021-01-21 17:00:00,16198,Messina
2021-01-22 17:00:00,16495,Messina
2021-01-23 17:00:00,16754,Messina
2021-01-24 17:00:00,16978,Messina
2021-01-25 17:00:00,17144,Messina
2021-01-26 17:00:00,17248,Messina
2021-01-27 17:00:00,17440,Messina
2021-01-28 17:00:00,17597,Messina
2021-01-29 17:00:00,17734,Messina
2021-01-30 17:00:00,17819,Messina
2021-01-31 17:00:00,17961,Messina
2021-02-01 17:00:00,18041,Messina
2021-02-02 17:00:00,18167,Messina
2021-02-03 17:00:00,18290,Messina
2021-02-04 17:00:00,18339,Messina
2021-02-05 17:00:00,18392,Messina
2021-02-06 17:00:00,18502,Messina
2021-02-07 17:00:00,18600,Messina
2021-02-08 17:00:00,18717,Messina
2021-02-09 17:00:00,18788,Messina
2021-02-10 17:00:00,18881,Messina
2021-02-11 17:00:00,18947,Messina
2021-02-12 17:00:00,19036,Messina
2021-02-13 17:00:00,19103,Messina
2021-02-14 17:00:00,19204,Messina
2021-02-15 17:00:00,19255,Messina
2021-02-16 17:00:00,19293,Messina
2021-02-17 17:00:00,19349,Messina
2021-02-18 17:00:00,19400,Messina
2021-02-19 17:00:00,19454,Messina
2021-02-20 17:00:00,19488,Messina
2021-02-21 17:00:00,19544,Messina
2021-02-22 17:00:00,19587,Messina
2021-02-23 17:00:00,19608,Messina
2021-02-24 17:00:00,19648,Messina
2021-02-25 17:00:00,19717,Messina
2021-02-26 17:00:00,19783,Messina
2021-02-27 17:00:00,19814,Messina
2021-02-28 17:00:00,19841,Messina
2021-03-01 17:00:00,19899,Messina
2021-03-02 17:00:00,19926,Messina
2021-03-03 17:00:00,19962,Messina
2021-03-04 17:00:00,20013,Messina
2021-03-05 17:00:00,20041,Messina
2021-03-06 17:00:00,20104,Messina
2021-03-07 17:00:00,20130,Messina
2021-03-08 17:00:00,20153,Messina
2021-03-09 17:00:00,20197,Messina
2021-03-10 17:00:00,20230,Messina
2021-03-11 17:00:00,20281,Messina
2021-03-12 17:00:00,20325,Messina
2021-03-13 17:00:00,20356,Messina
2021-03-14 17:00:00,20400,Messina
2021-03-15 17:00:00,20459,Messina
2021-03-16 17:00:00,20477,Messina
2021-03-17 17:00:00,20502,Messina
2021-03-18 17:00:00,20565,Messina
2021-03-19 17:00:00,20646,Messina
2021-03-20 17:00:00,20695,Messina
2021-03-21 17:00:00,20751,Messina
2021-03-22 17:00:00,20803,Messina
2021-03-23 17:00:00,20851,Messina
2021-03-24 17:00:00,20929,Messina
2021-03-25 17:00:00,20987,Messina
2021-03-26 17:00:00,21017,Messina
2021-03-27 17:00:00,21100,Messina
2021-03-28 17:00:00,21221,Messina
2021-03-29 17:00:00,21272,Messina
2021-03-30 17:00:00,21272,Messina
2021-03-31 17:00:00,21433,Messina
2021-04-01 17:00:00,21539,Messina
2021-04-02 17:00:00,21671,Messina
2021-04-03 17:00:00,21795,Messina
2021-04-04 17:00:00,21875,Messina
2021-04-05 17:00:00,21908,Messina
2021-04-06 17:00:00,22032,Messina
2021-04-07 17:00:00,22120,Messina
2021-04-08 17:00:00,22189,Messina
2021-04-09 17:00:00,22317,Messina
2021-04-10 17:00:00,22431,Messina
2021-04-11 17:00:00,22593,Messina
2021-04-12 17:00:00,22714,Messina
2021-04-13 17:00:00,22827,Messina
2021-04-14 17:00:00,22954,Messina
2021-04-15 17:00:00,23076,Messina
2021-04-16 17:00:00,23211,Messina
2021-04-17 17:00:00,23316,Messina
2021-04-18 17:00:00,23395,Messina
2021-04-19 17:00:00,23482,Messina
2021-04-20 17:00:00,23607,Messina
2021-04-21 17:00:00,23705,Messina
2021-04-22 17:00:00,23801,Messina
2021-04-23 17:00:00,23860,Messina
2021-04-24 17:00:00,23956,Messina
2021-04-25 17:00:00,24102,Messina
2021-04-26 17:00:00,24203,Messina
2021-04-27 17:00:00,24274,Messina
2021-04-28 17:00:00,24324,Messina
2021-04-29 17:00:00,24393,Messina
2021-04-30 17:00:00,24506,Messina
2021-05-01 17:00:00,24599,Messina
2021-05-02 17:00:00,24688,Messina
2021-05-03 17:00:00,24749,Messina
2021-05-04 17:00:00,24799,Messina
2021-05-05 17:00:00,24864,Messina
2021-05-06 17:00:00,24940,Messina
2021-05-07 17:00:00,24992,Messina
2021-05-08 17:00:00,25073,Messina
2021-05-09 17:00:00,25151,Messina
2021-05-10 17:00:00,25197,Messina
2021-05-11 17:00:00,25285,Messina
2021-05-12 17:00:00,25355,Messina
2021-05-13 17:00:00,25420,Messina
2021-05-14 17:00:00,25485,Messina
2021-05-15 17:00:00,25534,Messina
2021-05-16 17:00:00,25622,Messina
2021-05-17 17:00:00,25660,Messina
2021-05-18 17:00:00,25709,Messina
2021-05-19 17:00:00,25760,Messina
2021-05-20 17:00:00,25803,Messina
2021-05-21 17:00:00,25899,Messina
2021-05-22 17:00:00,25973,Messina
2021-05-23 17:00:00,26022,Messina
2021-05-24 17:00:00,26055,Messina
2021-05-25 17:00:00,26086,Messina
2021-05-26 17:00:00,26119,Messina
2021-05-27 17:00:00,26165,Messina
2021-05-28 17:00:00,26216,Messina
2021-05-29 17:00:00,26254,Messina
2021-05-30 17:00:00,26298,Messina
2021-05-31 17:00:00,26323,Messina
2021-06-01 17:00:00,26341,Messina
2021-06-02 17:00:00,26378,Messina
2021-06-03 17:00:00,26382,Messina
2021-06-04 17:00:00,26424,Messina
2021-06-05 17:00:00,26447,Messina
2021-06-06 17:00:00,26468,Messina
2021-06-07 17:00:00,26492,Messina
2021-06-08 17:00:00,26515,Messina
2021-06-09 17:00:00,26536,Messina
2021-06-10 17:00:00,26549,Messina
2021-06-11 17:00:00,26575,Messina
2021-06-12 17:00:00,26585,Messina
