data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,2542,Oristano
2021-01-02 17:00:00,2544,Oristano
2021-01-03 17:00:00,2553,Oristano
2021-01-04 17:00:00,2553,Oristano
2021-01-05 17:00:00,2578,Oristano
2021-01-06 17:00:00,2593,Oristano
2021-01-07 17:00:00,2638,Oristano
2021-01-08 17:00:00,2658,Oristano
2021-01-09 17:00:00,2682,Oristano
2021-01-10 17:00:00,2722,Oristano
2021-01-11 17:00:00,2746,Oristano
2021-01-12 17:00:00,2774,Oristano
2021-01-13 17:00:00,2784,Oristano
2021-01-14 17:00:00,2826,Oristano
2021-01-15 17:00:00,2838,Oristano
2021-01-16 17:00:00,2849,Oristano
2021-01-17 17:00:00,2872,Oristano
2021-01-18 17:00:00,2907,Oristano
2021-01-19 17:00:00,2913,Oristano
2021-01-20 17:00:00,2947,Oristano
2021-01-21 17:00:00,2954,Oristano
2021-01-22 17:00:00,2977,Oristano
2021-01-23 17:00:00,2994,Oristano
2021-01-24 17:00:00,3004,Oristano
2021-01-25 17:00:00,3040,Oristano
2021-01-26 17:00:00,3047,Oristano
2021-01-27 17:00:00,3073,Oristano
2021-01-28 17:00:00,3084,Oristano
2021-01-29 17:00:00,3111,Oristano
2021-01-30 17:00:00,3130,Oristano
2021-01-31 17:00:00,3158,Oristano
2021-02-01 17:00:00,3184,Oristano
2021-02-02 17:00:00,3201,Oristano
2021-02-03 17:00:00,3217,Oristano
2021-02-04 17:00:00,3266,Oristano
2021-02-05 17:00:00,3300,Oristano
2021-02-06 17:00:00,3315,Oristano
2021-02-07 17:00:00,3349,Oristano
2021-02-08 17:00:00,3356,Oristano
2021-02-09 17:00:00,3361,Oristano
2021-02-10 17:00:00,3391,Oristano
2021-02-11 17:00:00,3402,Oristano
2021-02-12 17:00:00,3406,Oristano
2021-02-13 17:00:00,3412,Oristano
2021-02-14 17:00:00,3415,Oristano
2021-02-15 17:00:00,3422,Oristano
2021-02-16 17:00:00,3428,Oristano
2021-02-17 17:00:00,3434,Oristano
2021-02-18 17:00:00,3444,Oristano
2021-02-19 17:00:00,3446,Oristano
2021-02-20 17:00:00,3450,Oristano
2021-02-21 17:00:00,3453,Oristano
2021-02-22 17:00:00,3454,Oristano
2021-02-23 17:00:00,3456,Oristano
2021-02-24 17:00:00,3469,Oristano
2021-02-25 17:00:00,3470,Oristano
2021-02-26 17:00:00,3477,Oristano
2021-02-27 17:00:00,3479,Oristano
2021-02-28 17:00:00,3481,Oristano
2021-03-01 17:00:00,3481,Oristano
2021-03-02 17:00:00,3485,Oristano
2021-03-03 17:00:00,3488,Oristano
2021-03-04 17:00:00,3493,Oristano
2021-03-05 17:00:00,3496,Oristano
2021-03-06 17:00:00,3497,Oristano
2021-03-07 17:00:00,3498,Oristano
2021-03-08 17:00:00,3501,Oristano
2021-03-09 17:00:00,3506,Oristano
2021-03-10 17:00:00,3509,Oristano
2021-03-11 17:00:00,3512,Oristano
2021-03-12 17:00:00,3513,Oristano
2021-03-13 17:00:00,3516,Oristano
2021-03-14 17:00:00,3520,Oristano
2021-03-15 17:00:00,3522,Oristano
2021-03-16 17:00:00,3527,Oristano
2021-03-17 17:00:00,3534,Oristano
2021-03-18 17:00:00,3536,Oristano
2021-03-19 17:00:00,3540,Oristano
2021-03-20 17:00:00,3554,Oristano
2021-03-21 17:00:00,3571,Oristano
2021-03-22 17:00:00,3572,Oristano
2021-03-23 17:00:00,3588,Oristano
2021-03-24 17:00:00,3596,Oristano
2021-03-25 17:00:00,3623,Oristano
2021-03-26 17:00:00,3634,Oristano
2021-03-27 17:00:00,3657,Oristano
2021-03-28 17:00:00,3692,Oristano
2021-03-29 17:00:00,3695,Oristano
2021-03-30 17:00:00,3724,Oristano
2021-03-31 17:00:00,3784,Oristano
2021-04-01 17:00:00,3797,Oristano
2021-04-02 17:00:00,3924,Oristano
2021-04-03 17:00:00,3952,Oristano
2021-04-04 17:00:00,3984,Oristano
2021-04-05 17:00:00,4043,Oristano
2021-04-06 17:00:00,4043,Oristano
2021-04-07 17:00:00,4081,Oristano
2021-04-08 17:00:00,4126,Oristano
2021-04-09 17:00:00,4147,Oristano
2021-04-10 17:00:00,4190,Oristano
2021-04-11 17:00:00,4236,Oristano
2021-04-12 17:00:00,4296,Oristano
2021-04-13 17:00:00,4323,Oristano
