data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,10493,Pistoia
2021-01-02 17:00:00,10518,Pistoia
2021-01-03 17:00:00,10528,Pistoia
2021-01-04 17:00:00,10537,Pistoia
2021-01-05 17:00:00,10555,Pistoia
2021-01-06 17:00:00,10568,Pistoia
2021-01-07 17:00:00,10615,Pistoia
2021-01-08 17:00:00,10632,Pistoia
2021-01-09 17:00:00,10648,Pistoia
2021-01-10 17:00:00,10686,Pistoia
2021-01-11 17:00:00,10703,Pistoia
2021-01-12 17:00:00,10718,Pistoia
2021-01-13 17:00:00,10729,Pistoia
2021-01-14 17:00:00,10773,Pistoia
2021-01-15 17:00:00,10798,Pistoia
2021-01-16 17:00:00,10827,Pistoia
2021-01-17 17:00:00,10873,Pistoia
2021-01-18 17:00:00,10898,Pistoia
2021-01-19 17:00:00,10908,Pistoia
2021-01-20 17:00:00,10934,Pistoia
2021-01-21 17:00:00,10991,Pistoia
2021-01-22 17:00:00,11027,Pistoia
2021-01-23 17:00:00,11071,Pistoia
2021-01-24 17:00:00,11128,Pistoia
2021-01-25 17:00:00,11149,Pistoia
2021-01-26 17:00:00,11168,Pistoia
2021-01-27 17:00:00,11219,Pistoia
2021-01-28 17:00:00,11283,Pistoia
2021-01-29 17:00:00,11331,Pistoia
2021-01-30 17:00:00,11371,Pistoia
2021-01-31 17:00:00,11420,Pistoia
2021-02-01 17:00:00,11471,Pistoia
2021-02-02 17:00:00,11490,Pistoia
2021-02-03 17:00:00,11538,Pistoia
2021-02-04 17:00:00,11650,Pistoia
2021-02-05 17:00:00,11717,Pistoia
2021-02-06 17:00:00,11822,Pistoia
2021-02-07 17:00:00,11899,Pistoia
2021-02-08 17:00:00,11969,Pistoia
2021-02-09 17:00:00,12039,Pistoia
2021-02-10 17:00:00,12073,Pistoia
2021-02-11 17:00:00,12229,Pistoia
2021-02-12 17:00:00,12327,Pistoia
2021-02-13 17:00:00,12394,Pistoia
2021-02-14 17:00:00,12493,Pistoia
2021-02-15 17:00:00,12556,Pistoia
2021-02-16 17:00:00,12591,Pistoia
2021-02-17 17:00:00,12686,Pistoia
2021-02-18 17:00:00,12838,Pistoia
2021-02-19 17:00:00,12958,Pistoia
2021-02-20 17:00:00,13115,Pistoia
2021-02-21 17:00:00,13211,Pistoia
2021-02-22 17:00:00,13329,Pistoia
2021-02-23 17:00:00,13444,Pistoia
2021-02-24 17:00:00,13558,Pistoia
2021-02-25 17:00:00,13732,Pistoia
2021-02-26 17:00:00,13909,Pistoia
2021-02-27 17:00:00,14076,Pistoia
2021-02-28 17:00:00,14201,Pistoia
2021-03-01 17:00:00,14360,Pistoia
2021-03-02 17:00:00,14515,Pistoia
2021-03-03 17:00:00,14656,Pistoia
2021-03-04 17:00:00,14813,Pistoia
2021-03-05 17:00:00,15015,Pistoia
2021-03-06 17:00:00,15182,Pistoia
2021-03-07 17:00:00,15377,Pistoia
2021-03-08 17:00:00,15496,Pistoia
2021-03-09 17:00:00,15628,Pistoia
2021-03-10 17:00:00,15772,Pistoia
2021-03-11 17:00:00,15910,Pistoia
2021-03-12 17:00:00,16057,Pistoia
2021-03-13 17:00:00,16235,Pistoia
2021-03-14 17:00:00,16361,Pistoia
2021-03-15 17:00:00,16509,Pistoia
2021-03-16 17:00:00,16672,Pistoia
2021-03-17 17:00:00,16826,Pistoia
2021-03-18 17:00:00,16963,Pistoia
2021-03-19 17:00:00,17112,Pistoia
2021-03-20 17:00:00,17253,Pistoia
2021-03-21 17:00:00,17369,Pistoia
2021-03-22 17:00:00,17492,Pistoia
2021-03-23 17:00:00,17575,Pistoia
2021-03-24 17:00:00,17680,Pistoia
2021-03-25 17:00:00,17815,Pistoia
2021-03-26 17:00:00,17969,Pistoia
2021-03-27 17:00:00,18074,Pistoia
2021-03-28 17:00:00,18170,Pistoia
2021-03-29 17:00:00,18259,Pistoia
2021-03-30 17:00:00,18376,Pistoia
2021-03-31 17:00:00,18505,Pistoia
2021-04-01 17:00:00,18639,Pistoia
2021-04-02 17:00:00,18805,Pistoia
2021-04-03 17:00:00,18942,Pistoia
2021-04-04 17:00:00,19042,Pistoia
2021-04-05 17:00:00,19102,Pistoia
2021-04-06 17:00:00,19155,Pistoia
2021-04-07 17:00:00,19197,Pistoia
2021-04-08 17:00:00,19302,Pistoia
2021-04-09 17:00:00,19453,Pistoia
2021-04-10 17:00:00,19558,Pistoia
2021-04-11 17:00:00,19658,Pistoia
2021-04-12 17:00:00,19732,Pistoia
2021-04-13 17:00:00,19802,Pistoia
2021-04-14 17:00:00,19889,Pistoia
2021-04-15 17:00:00,19989,Pistoia
2021-04-16 17:00:00,20094,Pistoia
2021-04-17 17:00:00,20187,Pistoia
2021-04-18 17:00:00,20293,Pistoia
2021-04-19 17:00:00,20345,Pistoia
2021-04-20 17:00:00,20406,Pistoia
2021-04-21 17:00:00,20481,Pistoia
2021-04-22 17:00:00,20605,Pistoia
2021-04-23 17:00:00,20690,Pistoia
2021-04-24 17:00:00,20777,Pistoia
2021-04-25 17:00:00,20861,Pistoia
2021-04-26 17:00:00,20922,Pistoia
2021-04-27 17:00:00,20996,Pistoia
2021-04-28 17:00:00,21094,Pistoia
2021-04-29 17:00:00,21218,Pistoia
2021-04-30 17:00:00,21321,Pistoia
2021-05-01 17:00:00,21401,Pistoia
2021-05-02 17:00:00,21457,Pistoia
2021-05-03 17:00:00,21527,Pistoia
2021-05-04 17:00:00,21599,Pistoia
2021-05-05 17:00:00,21650,Pistoia
2021-05-06 17:00:00,21745,Pistoia
2021-05-07 17:00:00,21826,Pistoia
2021-05-08 17:00:00,21904,Pistoia
2021-05-09 17:00:00,21971,Pistoia
2021-05-10 17:00:00,22005,Pistoia
2021-05-11 17:00:00,22041,Pistoia
2021-05-12 17:00:00,22085,Pistoia
2021-05-13 17:00:00,22155,Pistoia
2021-05-14 17:00:00,22204,Pistoia
2021-05-15 17:00:00,22250,Pistoia
2021-05-16 17:00:00,22298,Pistoia
2021-05-17 17:00:00,22351,Pistoia
