data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,5008,Siena
2021-01-02 17:00:00,5062,Siena
2021-01-03 17:00:00,5098,Siena
2021-01-04 17:00:00,5126,Siena
2021-01-05 17:00:00,5144,Siena
2021-01-06 17:00:00,5173,Siena
2021-01-07 17:00:00,5239,Siena
2021-01-08 17:00:00,5263,Siena
2021-01-09 17:00:00,5319,Siena
2021-01-10 17:00:00,5334,Siena
2021-01-11 17:00:00,5341,Siena
2021-01-12 17:00:00,5433,Siena
2021-01-13 17:00:00,5500,Siena
2021-01-14 17:00:00,5551,Siena
2021-01-15 17:00:00,5595,Siena
2021-01-16 17:00:00,5624,Siena
2021-01-17 17:00:00,5671,Siena
2021-01-18 17:00:00,5715,Siena
2021-01-19 17:00:00,5739,Siena
2021-01-20 17:00:00,5778,Siena
2021-01-21 17:00:00,5828,Siena
2021-01-22 17:00:00,5864,Siena
2021-01-23 17:00:00,5902,Siena
2021-01-24 17:00:00,5937,Siena
2021-01-25 17:00:00,5966,Siena
2021-01-26 17:00:00,6002,Siena
2021-01-27 17:00:00,6043,Siena
2021-01-28 17:00:00,6126,Siena
2021-01-29 17:00:00,6167,Siena
2021-01-30 17:00:00,6198,Siena
2021-01-31 17:00:00,6232,Siena
2021-02-01 17:00:00,6255,Siena
2021-02-02 17:00:00,6278,Siena
2021-02-03 17:00:00,6338,Siena
2021-02-04 17:00:00,6395,Siena
2021-02-05 17:00:00,6412,Siena
2021-02-06 17:00:00,6487,Siena
2021-02-07 17:00:00,6535,Siena
2021-02-08 17:00:00,6566,Siena
2021-02-09 17:00:00,6607,Siena
2021-02-10 17:00:00,6680,Siena
2021-02-11 17:00:00,6750,Siena
2021-02-12 17:00:00,6814,Siena
2021-02-13 17:00:00,6866,Siena
2021-02-14 17:00:00,6938,Siena
2021-02-15 17:00:00,6963,Siena
2021-02-16 17:00:00,7004,Siena
2021-02-17 17:00:00,7130,Siena
2021-02-18 17:00:00,7239,Siena
2021-02-19 17:00:00,7341,Siena
2021-02-20 17:00:00,7421,Siena
2021-02-21 17:00:00,7520,Siena
2021-02-22 17:00:00,7583,Siena
2021-02-23 17:00:00,7658,Siena
2021-02-24 17:00:00,7745,Siena
2021-02-25 17:00:00,7867,Siena
2021-02-26 17:00:00,7966,Siena
2021-02-27 17:00:00,8065,Siena
2021-02-28 17:00:00,8158,Siena
2021-03-01 17:00:00,8251,Siena
2021-03-02 17:00:00,8331,Siena
2021-03-03 17:00:00,8426,Siena
2021-03-04 17:00:00,8536,Siena
2021-03-05 17:00:00,8637,Siena
2021-03-06 17:00:00,8742,Siena
2021-03-07 17:00:00,8827,Siena
2021-03-08 17:00:00,8888,Siena
2021-03-09 17:00:00,8978,Siena
2021-03-10 17:00:00,9086,Siena
2021-03-11 17:00:00,9203,Siena
2021-03-12 17:00:00,9264,Siena
2021-03-13 17:00:00,9320,Siena
2021-03-14 17:00:00,9379,Siena
2021-03-15 17:00:00,9430,Siena
2021-03-16 17:00:00,9474,Siena
2021-03-17 17:00:00,9581,Siena
2021-03-18 17:00:00,9640,Siena
2021-03-19 17:00:00,9708,Siena
2021-03-20 17:00:00,9791,Siena
2021-03-21 17:00:00,9862,Siena
2021-03-22 17:00:00,9934,Siena
2021-03-23 17:00:00,9981,Siena
2021-03-24 17:00:00,10058,Siena
2021-03-25 17:00:00,10147,Siena
2021-03-26 17:00:00,10233,Siena
2021-03-27 17:00:00,10293,Siena
2021-03-28 17:00:00,10371,Siena
2021-03-29 17:00:00,10436,Siena
2021-03-30 17:00:00,10501,Siena
2021-03-31 17:00:00,10611,Siena
2021-04-01 17:00:00,10698,Siena
2021-04-02 17:00:00,10779,Siena
2021-04-03 17:00:00,10852,Siena
2021-04-04 17:00:00,10977,Siena
2021-04-05 17:00:00,11036,Siena
2021-04-06 17:00:00,11076,Siena
2021-04-07 17:00:00,11132,Siena
2021-04-08 17:00:00,11236,Siena
2021-04-09 17:00:00,11321,Siena
2021-04-10 17:00:00,11410,Siena
2021-04-11 17:00:00,11484,Siena
2021-04-12 17:00:00,11544,Siena
2021-04-13 17:00:00,11589,Siena
2021-04-14 17:00:00,11673,Siena
2021-04-15 17:00:00,11742,Siena
2021-04-16 17:00:00,11834,Siena
2021-04-17 17:00:00,11909,Siena
2021-04-18 17:00:00,11991,Siena
2021-04-19 17:00:00,12044,Siena
2021-04-20 17:00:00,12088,Siena
2021-04-21 17:00:00,12150,Siena
2021-04-22 17:00:00,12215,Siena
2021-04-23 17:00:00,12312,Siena
2021-04-24 17:00:00,12358,Siena
2021-04-25 17:00:00,12425,Siena
2021-04-26 17:00:00,12467,Siena
2021-04-27 17:00:00,12498,Siena
2021-04-28 17:00:00,12565,Siena
2021-04-29 17:00:00,12633,Siena
2021-04-30 17:00:00,12695,Siena
2021-05-01 17:00:00,12776,Siena
2021-05-02 17:00:00,12818,Siena
2021-05-03 17:00:00,12871,Siena
2021-05-04 17:00:00,12906,Siena
2021-05-05 17:00:00,12964,Siena
2021-05-06 17:00:00,13030,Siena
2021-05-07 17:00:00,13066,Siena
2021-05-08 17:00:00,13111,Siena
2021-05-09 17:00:00,13142,Siena
2021-05-10 17:00:00,13169,Siena
2021-05-11 17:00:00,13185,Siena
2021-05-12 17:00:00,13216,Siena
2021-05-13 17:00:00,13250,Siena
2021-05-14 17:00:00,13276,Siena
2021-05-15 17:00:00,13304,Siena
2021-05-16 17:00:00,13344,Siena
2021-05-17 17:00:00,13363,Siena
2021-05-18 17:00:00,13383,Siena
2021-05-19 17:00:00,13406,Siena
2021-05-20 17:00:00,13430,Siena
2021-05-21 17:00:00,13454,Siena
2021-05-22 17:00:00,13481,Siena
2021-05-23 17:00:00,13517,Siena
2021-05-24 17:00:00,13536,Siena
2021-05-25 17:00:00,13554,Siena
2021-05-26 17:00:00,13576,Siena
2021-05-27 17:00:00,13601,Siena
2021-05-28 17:00:00,13621,Siena
2021-05-29 17:00:00,13623,Siena
2021-05-30 17:00:00,13649,Siena
2021-05-31 17:00:00,13662,Siena
2021-06-01 17:00:00,13684,Siena
2021-06-02 17:00:00,13687,Siena
2021-06-03 17:00:00,13711,Siena
2021-06-04 17:00:00,13716,Siena
2021-06-05 17:00:00,13728,Siena
2021-06-06 17:00:00,13742,Siena
2021-06-07 17:00:00,13750,Siena
2021-06-08 17:00:00,13756,Siena
2021-06-09 17:00:00,13762,Siena
2021-06-10 17:00:00,13770,Siena
2021-06-11 17:00:00,13784,Siena
2021-06-12 17:00:00,13801,Siena
2021-06-13 17:00:00,13808,Siena
2021-06-14 17:00:00,13811,Siena
2021-06-15 17:00:00,13815,Siena
2021-06-16 17:00:00,13821,Siena
2021-06-17 17:00:00,13822,Siena
2021-06-18 17:00:00,13826,Siena
2021-06-19 17:00:00,13830,Siena
2021-06-20 17:00:00,13835,Siena
2021-06-21 17:00:00,13839,Siena
2021-06-22 17:00:00,13842,Siena
2021-06-23 17:00:00,13850,Siena
2021-06-24 17:00:00,13856,Siena
2021-06-25 17:00:00,13861,Siena
2021-06-26 17:00:00,13865,Siena
2021-06-27 17:00:00,13869,Siena
2021-06-28 17:00:00,13870,Siena
2021-06-29 17:00:00,13872,Siena
2021-06-30 17:00:00,13877,Siena
2021-07-01 17:00:00,13885,Siena
2021-07-02 17:00:00,13888,Siena
2021-07-03 17:00:00,13891,Siena
