data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,5651,Siracusa
2021-01-02 17:00:00,5741,Siracusa
2021-01-03 17:00:00,5757,Siracusa
2021-01-04 17:00:00,5954,Siracusa
2021-01-05 17:00:00,6002,Siracusa
2021-01-06 17:00:00,6195,Siracusa
2021-01-07 17:00:00,6217,Siracusa
2021-01-08 17:00:00,6401,Siracusa
2021-01-09 17:00:00,6598,Siracusa
2021-01-10 17:00:00,6799,Siracusa
2021-01-11 17:00:00,7031,Siracusa
2021-01-12 17:00:00,7052,Siracusa
2021-01-13 17:00:00,7270,Siracusa
2021-01-14 17:00:00,7458,Siracusa
2021-01-15 17:00:00,7643,Siracusa
2021-01-16 17:00:00,7797,Siracusa
2021-01-17 17:00:00,7989,Siracusa
2021-01-18 17:00:00,8115,Siracusa
2021-01-19 17:00:00,8280,Siracusa
2021-01-20 17:00:00,8420,Siracusa
2021-01-21 17:00:00,8488,Siracusa
2021-01-22 17:00:00,8594,Siracusa
2021-01-23 17:00:00,8695,Siracusa
2021-01-24 17:00:00,8852,Siracusa
2021-01-25 17:00:00,8878,Siracusa
2021-01-26 17:00:00,8962,Siracusa
2021-01-27 17:00:00,9059,Siracusa
2021-01-28 17:00:00,9154,Siracusa
2021-01-29 17:00:00,9215,Siracusa
2021-01-30 17:00:00,9266,Siracusa
2021-01-31 17:00:00,9315,Siracusa
2021-02-01 17:00:00,9362,Siracusa
2021-02-02 17:00:00,9414,Siracusa
2021-02-03 17:00:00,9447,Siracusa
2021-02-04 17:00:00,9510,Siracusa
2021-02-05 17:00:00,9557,Siracusa
2021-02-06 17:00:00,9621,Siracusa
2021-02-07 17:00:00,9676,Siracusa
2021-02-08 17:00:00,9731,Siracusa
2021-02-09 17:00:00,9782,Siracusa
2021-02-10 17:00:00,9820,Siracusa
2021-02-11 17:00:00,9905,Siracusa
2021-02-12 17:00:00,9952,Siracusa
2021-02-13 17:00:00,9990,Siracusa
2021-02-14 17:00:00,10024,Siracusa
2021-02-15 17:00:00,10040,Siracusa
2021-02-16 17:00:00,10098,Siracusa
2021-02-17 17:00:00,10140,Siracusa
2021-02-18 17:00:00,10190,Siracusa
2021-02-19 17:00:00,10225,Siracusa
2021-02-20 17:00:00,10270,Siracusa
2021-02-21 17:00:00,10303,Siracusa
2021-02-22 17:00:00,10336,Siracusa
2021-02-23 17:00:00,10373,Siracusa
2021-02-24 17:00:00,10427,Siracusa
2021-02-25 17:00:00,10502,Siracusa
2021-02-26 17:00:00,10542,Siracusa
2021-02-27 17:00:00,10566,Siracusa
2021-02-28 17:00:00,10607,Siracusa
2021-03-01 17:00:00,10655,Siracusa
2021-03-02 17:00:00,10683,Siracusa
2021-03-03 17:00:00,10730,Siracusa
2021-03-04 17:00:00,10777,Siracusa
2021-03-05 17:00:00,10801,Siracusa
2021-03-06 17:00:00,10830,Siracusa
2021-03-07 17:00:00,10873,Siracusa
2021-03-08 17:00:00,10891,Siracusa
2021-03-09 17:00:00,10935,Siracusa
2021-03-10 17:00:00,10977,Siracusa
2021-03-11 17:00:00,11004,Siracusa
2021-03-12 17:00:00,11035,Siracusa
2021-03-13 17:00:00,11126,Siracusa
2021-03-14 17:00:00,11181,Siracusa
2021-03-15 17:00:00,11216,Siracusa
2021-03-16 17:00:00,11248,Siracusa
2021-03-17 17:00:00,11313,Siracusa
2021-03-18 17:00:00,11363,Siracusa
2021-03-19 17:00:00,11421,Siracusa
2021-03-20 17:00:00,11486,Siracusa
