data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,11877,Ancona
2021-01-02 17:00:00,12002,Ancona
2021-01-03 17:00:00,12079,Ancona
2021-01-04 17:00:00,12212,Ancona
2021-01-05 17:00:00,12318,Ancona
2021-01-06 17:00:00,12487,Ancona
2021-01-07 17:00:00,12652,Ancona
2021-01-08 17:00:00,12755,Ancona
2021-01-09 17:00:00,12967,Ancona
2021-01-10 17:00:00,13162,Ancona
2021-01-11 17:00:00,13236,Ancona
2021-01-12 17:00:00,13355,Ancona
2021-01-13 17:00:00,13571,Ancona
2021-01-14 17:00:00,13752,Ancona
2021-01-15 17:00:00,13927,Ancona
2021-01-16 17:00:00,14064,Ancona
2021-01-17 17:00:00,14181,Ancona
2021-01-18 17:00:00,14243,Ancona
2021-01-19 17:00:00,14358,Ancona
2021-01-20 17:00:00,14493,Ancona
2021-01-21 17:00:00,14643,Ancona
2021-01-22 17:00:00,14774,Ancona
2021-01-23 17:00:00,14921,Ancona
2021-01-24 17:00:00,15112,Ancona
2021-01-25 17:00:00,15202,Ancona
2021-01-26 17:00:00,15278,Ancona
2021-01-27 17:00:00,15455,Ancona
2021-01-28 17:00:00,15576,Ancona
2021-01-29 17:00:00,15636,Ancona
2021-01-30 17:00:00,15774,Ancona
2021-01-31 17:00:00,15926,Ancona
2021-02-01 17:00:00,16069,Ancona
2021-02-02 17:00:00,16131,Ancona
2021-02-03 17:00:00,16304,Ancona
2021-02-04 17:00:00,16483,Ancona
2021-02-05 17:00:00,16664,Ancona
2021-02-06 17:00:00,16867,Ancona
2021-02-07 17:00:00,17027,Ancona
2021-02-08 17:00:00,17105,Ancona
2021-02-09 17:00:00,17250,Ancona
2021-02-10 17:00:00,17474,Ancona
2021-02-11 17:00:00,17716,Ancona
2021-02-12 17:00:00,17913,Ancona
2021-02-13 17:00:00,18131,Ancona
2021-02-14 17:00:00,18320,Ancona
2021-02-15 17:00:00,18410,Ancona
2021-02-16 17:00:00,18497,Ancona
2021-02-17 17:00:00,18756,Ancona
2021-02-18 17:00:00,19020,Ancona
2021-02-19 17:00:00,19254,Ancona
2021-02-20 17:00:00,19530,Ancona
2021-02-21 17:00:00,19792,Ancona
2021-02-22 17:00:00,19861,Ancona
2021-02-23 17:00:00,20135,Ancona
2021-02-24 17:00:00,20401,Ancona
2021-02-25 17:00:00,20506,Ancona
2021-02-26 17:00:00,21031,Ancona
2021-02-27 17:00:00,21414,Ancona
2021-02-28 17:00:00,21678,Ancona
2021-03-01 17:00:00,21973,Ancona
2021-03-02 17:00:00,22167,Ancona
2021-03-03 17:00:00,22498,Ancona
2021-03-04 17:00:00,22935,Ancona
2021-03-05 17:00:00,23281,Ancona
2021-03-06 17:00:00,23712,Ancona
2021-03-07 17:00:00,24065,Ancona
2021-03-08 17:00:00,24274,Ancona
2021-03-09 17:00:00,24402,Ancona
2021-03-10 17:00:00,24760,Ancona
2021-03-11 17:00:00,25099,Ancona
2021-03-12 17:00:00,25385,Ancona
2021-03-13 17:00:00,25826,Ancona
2021-03-14 17:00:00,26055,Ancona
2021-03-15 17:00:00,26274,Ancona
2021-03-16 17:00:00,26421,Ancona
2021-03-17 17:00:00,26731,Ancona
2021-03-18 17:00:00,27050,Ancona
2021-03-19 17:00:00,27329,Ancona
2021-03-20 17:00:00,27615,Ancona
2021-03-21 17:00:00,27824,Ancona
2021-03-22 17:00:00,27972,Ancona
2021-03-23 17:00:00,28084,Ancona
2021-03-24 17:00:00,28302,Ancona
2021-03-25 17:00:00,28528,Ancona
2021-03-26 17:00:00,28771,Ancona
2021-03-27 17:00:00,28976,Ancona
2021-03-28 17:00:00,29180,Ancona
2021-03-29 17:00:00,29280,Ancona
2021-03-30 17:00:00,29323,Ancona
2021-03-31 17:00:00,29545,Ancona
2021-04-01 17:00:00,29723,Ancona
2021-04-02 17:00:00,29940,Ancona
2021-04-03 17:00:00,30127,Ancona
2021-04-04 17:00:00,30214,Ancona
2021-04-05 17:00:00,30303,Ancona
2021-04-06 17:00:00,30329,Ancona
2021-04-07 17:00:00,30382,Ancona
2021-04-08 17:00:00,30531,Ancona
2021-04-09 17:00:00,30655,Ancona
2021-04-10 17:00:00,30768,Ancona
2021-04-11 17:00:00,30882,Ancona
2021-04-12 17:00:00,30937,Ancona
2021-04-13 17:00:00,30966,Ancona
2021-04-14 17:00:00,31094,Ancona
2021-04-15 17:00:00,31170,Ancona
2021-04-16 17:00:00,31247,Ancona
2021-04-17 17:00:00,31333,Ancona
2021-04-18 17:00:00,31386,Ancona
2021-04-19 17:00:00,31441,Ancona
2021-04-20 17:00:00,31475,Ancona
2021-04-21 17:00:00,31548,Ancona
2021-04-22 17:00:00,31594,Ancona
2021-04-23 17:00:00,31682,Ancona
2021-04-24 17:00:00,31711,Ancona
2021-04-25 17:00:00,31799,Ancona
2021-04-26 17:00:00,31848,Ancona
2021-04-27 17:00:00,31869,Ancona
2021-04-28 17:00:00,31929,Ancona
2021-04-29 17:00:00,31973,Ancona
2021-04-30 17:00:00,32042,Ancona
2021-05-01 17:00:00,32069,Ancona
2021-05-02 17:00:00,32139,Ancona
2021-05-03 17:00:00,32155,Ancona
2021-05-04 17:00:00,32183,Ancona
2021-05-05 17:00:00,32263,Ancona
2021-05-06 17:00:00,32282,Ancona
2021-05-07 17:00:00,32329,Ancona
2021-05-08 17:00:00,32369,Ancona
2021-05-09 17:00:00,32405,Ancona
2021-05-10 17:00:00,32439,Ancona
2021-05-11 17:00:00,32447,Ancona
2021-05-12 17:00:00,32482,Ancona
2021-05-13 17:00:00,32502,Ancona
2021-05-14 17:00:00,32531,Ancona
2021-05-15 17:00:00,32559,Ancona
