data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,10674,Arezzo
2021-01-02 17:00:00,10728,Arezzo
2021-01-03 17:00:00,10753,Arezzo
2021-01-04 17:00:00,10779,Arezzo
2021-01-05 17:00:00,10840,Arezzo
2021-01-06 17:00:00,10881,Arezzo
2021-01-07 17:00:00,10967,Arezzo
2021-01-08 17:00:00,11023,Arezzo
2021-01-09 17:00:00,11093,Arezzo
2021-01-10 17:00:00,11177,Arezzo
2021-01-11 17:00:00,11209,Arezzo
2021-01-12 17:00:00,11242,Arezzo
2021-01-13 17:00:00,11319,Arezzo
2021-01-14 17:00:00,11354,Arezzo
2021-01-15 17:00:00,11396,Arezzo
2021-01-16 17:00:00,11449,Arezzo
2021-01-17 17:00:00,11491,Arezzo
2021-01-18 17:00:00,11520,Arezzo
2021-01-19 17:00:00,11538,Arezzo
2021-01-20 17:00:00,11609,Arezzo
2021-01-21 17:00:00,11644,Arezzo
2021-01-22 17:00:00,11697,Arezzo
2021-01-23 17:00:00,11755,Arezzo
2021-01-24 17:00:00,11797,Arezzo
2021-01-25 17:00:00,11854,Arezzo
2021-01-26 17:00:00,11884,Arezzo
2021-01-27 17:00:00,11934,Arezzo
2021-01-28 17:00:00,11991,Arezzo
2021-01-29 17:00:00,12052,Arezzo
2021-01-30 17:00:00,12074,Arezzo
2021-01-31 17:00:00,12148,Arezzo
2021-02-01 17:00:00,12185,Arezzo
2021-02-02 17:00:00,12222,Arezzo
2021-02-03 17:00:00,12283,Arezzo
2021-02-04 17:00:00,12339,Arezzo
2021-02-05 17:00:00,12417,Arezzo
2021-02-06 17:00:00,12481,Arezzo
2021-02-07 17:00:00,12518,Arezzo
2021-02-08 17:00:00,12559,Arezzo
2021-02-09 17:00:00,12594,Arezzo
2021-02-10 17:00:00,12657,Arezzo
2021-02-11 17:00:00,12693,Arezzo
2021-02-12 17:00:00,12742,Arezzo
2021-02-13 17:00:00,12800,Arezzo
2021-02-14 17:00:00,12878,Arezzo
2021-02-15 17:00:00,12895,Arezzo
2021-02-16 17:00:00,12938,Arezzo
2021-02-17 17:00:00,13014,Arezzo
2021-02-18 17:00:00,13101,Arezzo
2021-02-19 17:00:00,13185,Arezzo
2021-02-20 17:00:00,13252,Arezzo
2021-02-21 17:00:00,13353,Arezzo
2021-02-22 17:00:00,13482,Arezzo
2021-02-23 17:00:00,13568,Arezzo
2021-02-24 17:00:00,13664,Arezzo
2021-02-25 17:00:00,13793,Arezzo
2021-02-26 17:00:00,13894,Arezzo
2021-02-27 17:00:00,14005,Arezzo
2021-02-28 17:00:00,14152,Arezzo
2021-03-01 17:00:00,14227,Arezzo
2021-03-02 17:00:00,14324,Arezzo
2021-03-03 17:00:00,14465,Arezzo
2021-03-04 17:00:00,14569,Arezzo
2021-03-05 17:00:00,14689,Arezzo
2021-03-06 17:00:00,14838,Arezzo
2021-03-07 17:00:00,15014,Arezzo
2021-03-08 17:00:00,15100,Arezzo
2021-03-09 17:00:00,15220,Arezzo
2021-03-10 17:00:00,15360,Arezzo
2021-03-11 17:00:00,15487,Arezzo
2021-03-12 17:00:00,15598,Arezzo
2021-03-13 17:00:00,15742,Arezzo
2021-03-14 17:00:00,15884,Arezzo
2021-03-15 17:00:00,16000,Arezzo
2021-03-16 17:00:00,16076,Arezzo
2021-03-17 17:00:00,16197,Arezzo
2021-03-18 17:00:00,16394,Arezzo
2021-03-19 17:00:00,16525,Arezzo
2021-03-20 17:00:00,16668,Arezzo
2021-03-21 17:00:00,16816,Arezzo
2021-03-22 17:00:00,16947,Arezzo
2021-03-23 17:00:00,17048,Arezzo
2021-03-24 17:00:00,17192,Arezzo
2021-03-25 17:00:00,17326,Arezzo
2021-03-26 17:00:00,17476,Arezzo
2021-03-27 17:00:00,17612,Arezzo
2021-03-28 17:00:00,17730,Arezzo
2021-03-29 17:00:00,17893,Arezzo
2021-03-30 17:00:00,17955,Arezzo
2021-03-31 17:00:00,18042,Arezzo
2021-04-01 17:00:00,18195,Arezzo
2021-04-02 17:00:00,18311,Arezzo
2021-04-03 17:00:00,18424,Arezzo
2021-04-04 17:00:00,18554,Arezzo
2021-04-05 17:00:00,18668,Arezzo
2021-04-06 17:00:00,18732,Arezzo
2021-04-07 17:00:00,18781,Arezzo
2021-04-08 17:00:00,18890,Arezzo
2021-04-09 17:00:00,18992,Arezzo
2021-04-10 17:00:00,19098,Arezzo
2021-04-11 17:00:00,19218,Arezzo
2021-04-12 17:00:00,19325,Arezzo
2021-04-13 17:00:00,19379,Arezzo
2021-04-14 17:00:00,19482,Arezzo
2021-04-15 17:00:00,19592,Arezzo
2021-04-16 17:00:00,19706,Arezzo
2021-04-17 17:00:00,19785,Arezzo
2021-04-18 17:00:00,19862,Arezzo
2021-04-19 17:00:00,19933,Arezzo
2021-04-20 17:00:00,19968,Arezzo
2021-04-21 17:00:00,20086,Arezzo
2021-04-22 17:00:00,20139,Arezzo
2021-04-23 17:00:00,20236,Arezzo
2021-04-24 17:00:00,20342,Arezzo
2021-04-25 17:00:00,20475,Arezzo
2021-04-26 17:00:00,20555,Arezzo
2021-04-27 17:00:00,20596,Arezzo
2021-04-28 17:00:00,20695,Arezzo
2021-04-29 17:00:00,20808,Arezzo
2021-04-30 17:00:00,20888,Arezzo
2021-05-01 17:00:00,20951,Arezzo
2021-05-02 17:00:00,21075,Arezzo
2021-05-03 17:00:00,21140,Arezzo
2021-05-04 17:00:00,21184,Arezzo
2021-05-05 17:00:00,21268,Arezzo
2021-05-06 17:00:00,21334,Arezzo
2021-05-07 17:00:00,21440,Arezzo
2021-05-08 17:00:00,21485,Arezzo
2021-05-09 17:00:00,21582,Arezzo
2021-05-10 17:00:00,21644,Arezzo
2021-05-11 17:00:00,21682,Arezzo
2021-05-12 17:00:00,21758,Arezzo
2021-05-13 17:00:00,21831,Arezzo
2021-05-14 17:00:00,21942,Arezzo
2021-05-15 17:00:00,22008,Arezzo
2021-05-16 17:00:00,22083,Arezzo
2021-05-17 17:00:00,22136,Arezzo
2021-05-18 17:00:00,22161,Arezzo
2021-05-19 17:00:00,22209,Arezzo
2021-05-20 17:00:00,22271,Arezzo
2021-05-21 17:00:00,22318,Arezzo
2021-05-22 17:00:00,22355,Arezzo
2021-05-23 17:00:00,22400,Arezzo
2021-05-24 17:00:00,22440,Arezzo
2021-05-25 17:00:00,22463,Arezzo
2021-05-26 17:00:00,22491,Arezzo
2021-05-27 17:00:00,22520,Arezzo
2021-05-28 17:00:00,22592,Arezzo
2021-05-29 17:00:00,22605,Arezzo
2021-05-30 17:00:00,22639,Arezzo
2021-05-31 17:00:00,22650,Arezzo
2021-06-01 17:00:00,22663,Arezzo
2021-06-02 17:00:00,22692,Arezzo
2021-06-03 17:00:00,22703,Arezzo
2021-06-04 17:00:00,22719,Arezzo
2021-06-05 17:00:00,22729,Arezzo
2021-06-06 17:00:00,22747,Arezzo
2021-06-07 17:00:00,22753,Arezzo
2021-06-08 17:00:00,22755,Arezzo
2021-06-09 17:00:00,22769,Arezzo
2021-06-10 17:00:00,22783,Arezzo
2021-06-11 17:00:00,22791,Arezzo
2021-06-12 17:00:00,22804,Arezzo
2021-06-13 17:00:00,22818,Arezzo
2021-06-14 17:00:00,22819,Arezzo
2021-06-15 17:00:00,22823,Arezzo
2021-06-16 17:00:00,22829,Arezzo
2021-06-17 17:00:00,22834,Arezzo
2021-06-18 17:00:00,22839,Arezzo
2021-06-19 17:00:00,22842,Arezzo
2021-06-20 17:00:00,22844,Arezzo
2021-06-21 17:00:00,22849,Arezzo
