data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,5217,Ascoli Piceno
2021-01-02 17:00:00,5226,Ascoli Piceno
2021-01-03 17:00:00,5255,Ascoli Piceno
2021-01-04 17:00:00,5264,Ascoli Piceno
2021-01-05 17:00:00,5328,Ascoli Piceno
2021-01-06 17:00:00,5357,Ascoli Piceno
2021-01-07 17:00:00,5383,Ascoli Piceno
2021-01-08 17:00:00,5443,Ascoli Piceno
2021-01-09 17:00:00,5462,Ascoli Piceno
2021-01-10 17:00:00,5500,Ascoli Piceno
2021-01-11 17:00:00,5520,Ascoli Piceno
2021-01-12 17:00:00,5589,Ascoli Piceno
2021-01-13 17:00:00,5606,Ascoli Piceno
2021-01-14 17:00:00,5638,Ascoli Piceno
2021-01-15 17:00:00,5676,Ascoli Piceno
2021-01-16 17:00:00,5713,Ascoli Piceno
2021-01-17 17:00:00,5765,Ascoli Piceno
2021-01-18 17:00:00,5802,Ascoli Piceno
2021-01-19 17:00:00,5824,Ascoli Piceno
2021-01-20 17:00:00,5862,Ascoli Piceno
2021-01-21 17:00:00,5927,Ascoli Piceno
2021-01-22 17:00:00,5959,Ascoli Piceno
2021-01-23 17:00:00,5990,Ascoli Piceno
2021-01-24 17:00:00,6027,Ascoli Piceno
2021-01-25 17:00:00,6034,Ascoli Piceno
2021-01-26 17:00:00,6091,Ascoli Piceno
2021-01-27 17:00:00,6133,Ascoli Piceno
2021-01-28 17:00:00,6170,Ascoli Piceno
2021-01-29 17:00:00,6214,Ascoli Piceno
2021-01-30 17:00:00,6267,Ascoli Piceno
2021-01-31 17:00:00,6292,Ascoli Piceno
2021-02-01 17:00:00,6297,Ascoli Piceno
2021-02-02 17:00:00,6341,Ascoli Piceno
2021-02-03 17:00:00,6382,Ascoli Piceno
2021-02-04 17:00:00,6434,Ascoli Piceno
2021-02-05 17:00:00,6454,Ascoli Piceno
2021-02-06 17:00:00,6480,Ascoli Piceno
2021-02-07 17:00:00,6494,Ascoli Piceno
2021-02-08 17:00:00,6495,Ascoli Piceno
2021-02-09 17:00:00,6519,Ascoli Piceno
2021-02-10 17:00:00,6546,Ascoli Piceno
2021-02-11 17:00:00,6581,Ascoli Piceno
2021-02-12 17:00:00,6635,Ascoli Piceno
2021-02-13 17:00:00,6655,Ascoli Piceno
2021-02-14 17:00:00,6676,Ascoli Piceno
2021-02-15 17:00:00,6678,Ascoli Piceno
2021-02-16 17:00:00,6707,Ascoli Piceno
2021-02-17 17:00:00,6736,Ascoli Piceno
2021-02-18 17:00:00,6747,Ascoli Piceno
2021-02-19 17:00:00,6774,Ascoli Piceno
2021-02-20 17:00:00,6822,Ascoli Piceno
2021-02-21 17:00:00,6848,Ascoli Piceno
2021-02-22 17:00:00,6867,Ascoli Piceno
2021-02-23 17:00:00,6924,Ascoli Piceno
2021-02-24 17:00:00,7014,Ascoli Piceno
2021-02-25 17:00:00,7090,Ascoli Piceno
2021-02-26 17:00:00,7185,Ascoli Piceno
2021-02-27 17:00:00,7250,Ascoli Piceno
2021-02-28 17:00:00,7296,Ascoli Piceno
2021-03-01 17:00:00,7310,Ascoli Piceno
2021-03-02 17:00:00,7353,Ascoli Piceno
2021-03-03 17:00:00,7402,Ascoli Piceno
2021-03-04 17:00:00,7463,Ascoli Piceno
2021-03-05 17:00:00,7556,Ascoli Piceno
2021-03-06 17:00:00,7610,Ascoli Piceno
2021-03-07 17:00:00,7684,Ascoli Piceno
2021-03-08 17:00:00,7702,Ascoli Piceno
2021-03-09 17:00:00,7752,Ascoli Piceno
2021-03-10 17:00:00,7809,Ascoli Piceno
2021-03-11 17:00:00,7902,Ascoli Piceno
2021-03-12 17:00:00,7968,Ascoli Piceno
2021-03-13 17:00:00,8046,Ascoli Piceno
2021-03-14 17:00:00,8105,Ascoli Piceno
2021-03-15 17:00:00,8128,Ascoli Piceno
2021-03-16 17:00:00,8169,Ascoli Piceno
2021-03-17 17:00:00,8260,Ascoli Piceno
2021-03-18 17:00:00,8304,Ascoli Piceno
2021-03-19 17:00:00,8387,Ascoli Piceno
2021-03-20 17:00:00,8457,Ascoli Piceno
2021-03-21 17:00:00,8486,Ascoli Piceno
2021-03-22 17:00:00,8502,Ascoli Piceno
2021-03-23 17:00:00,8570,Ascoli Piceno
2021-03-24 17:00:00,8652,Ascoli Piceno
2021-03-25 17:00:00,8702,Ascoli Piceno
2021-03-26 17:00:00,8772,Ascoli Piceno
2021-03-27 17:00:00,8841,Ascoli Piceno
2021-03-28 17:00:00,8886,Ascoli Piceno
2021-03-29 17:00:00,8893,Ascoli Piceno
2021-03-30 17:00:00,8947,Ascoli Piceno
2021-03-31 17:00:00,9020,Ascoli Piceno
2021-04-01 17:00:00,9069,Ascoli Piceno
2021-04-02 17:00:00,9117,Ascoli Piceno
2021-04-03 17:00:00,9189,Ascoli Piceno
2021-04-04 17:00:00,9219,Ascoli Piceno
2021-04-05 17:00:00,9238,Ascoli Piceno
2021-04-06 17:00:00,9240,Ascoli Piceno
2021-04-07 17:00:00,9274,Ascoli Piceno
2021-04-08 17:00:00,9337,Ascoli Piceno
2021-04-09 17:00:00,9430,Ascoli Piceno
2021-04-10 17:00:00,9488,Ascoli Piceno
2021-04-11 17:00:00,9531,Ascoli Piceno
2021-04-12 17:00:00,9549,Ascoli Piceno
2021-04-13 17:00:00,9607,Ascoli Piceno
2021-04-14 17:00:00,9673,Ascoli Piceno
2021-04-15 17:00:00,9704,Ascoli Piceno
2021-04-16 17:00:00,9751,Ascoli Piceno
2021-04-17 17:00:00,9814,Ascoli Piceno
2021-04-18 17:00:00,9845,Ascoli Piceno
2021-04-19 17:00:00,9854,Ascoli Piceno
2021-04-20 17:00:00,9900,Ascoli Piceno
2021-04-21 17:00:00,9984,Ascoli Piceno
2021-04-22 17:00:00,10023,Ascoli Piceno
2021-04-23 17:00:00,10065,Ascoli Piceno
2021-04-24 17:00:00,10118,Ascoli Piceno
2021-04-25 17:00:00,10167,Ascoli Piceno
2021-04-26 17:00:00,10173,Ascoli Piceno
2021-04-27 17:00:00,10215,Ascoli Piceno
2021-04-28 17:00:00,10288,Ascoli Piceno
2021-04-29 17:00:00,10347,Ascoli Piceno
2021-04-30 17:00:00,10389,Ascoli Piceno
2021-05-01 17:00:00,10440,Ascoli Piceno
2021-05-02 17:00:00,10462,Ascoli Piceno
2021-05-03 17:00:00,10464,Ascoli Piceno
2021-05-04 17:00:00,10510,Ascoli Piceno
2021-05-05 17:00:00,10551,Ascoli Piceno
2021-05-06 17:00:00,10590,Ascoli Piceno
2021-05-07 17:00:00,10634,Ascoli Piceno
2021-05-08 17:00:00,10667,Ascoli Piceno
2021-05-09 17:00:00,10721,Ascoli Piceno
2021-05-10 17:00:00,10725,Ascoli Piceno
2021-05-11 17:00:00,10769,Ascoli Piceno
2021-05-12 17:00:00,10804,Ascoli Piceno
2021-05-13 17:00:00,10836,Ascoli Piceno
2021-05-14 17:00:00,10898,Ascoli Piceno
2021-05-15 17:00:00,10919,Ascoli Piceno
2021-05-16 17:00:00,10961,Ascoli Piceno
2021-05-17 17:00:00,10970,Ascoli Piceno
2021-05-18 17:00:00,11006,Ascoli Piceno
2021-05-19 17:00:00,11020,Ascoli Piceno
2021-05-20 17:00:00,11051,Ascoli Piceno
2021-05-21 17:00:00,11080,Ascoli Piceno
2021-05-22 17:00:00,11096,Ascoli Piceno
2021-05-23 17:00:00,11118,Ascoli Piceno
2021-05-24 17:00:00,11123,Ascoli Piceno
2021-05-25 17:00:00,11154,Ascoli Piceno
2021-05-26 17:00:00,11180,Ascoli Piceno
2021-05-27 17:00:00,11201,Ascoli Piceno
2021-05-28 17:00:00,11207,Ascoli Piceno
2021-05-29 17:00:00,11225,Ascoli Piceno
2021-05-30 17:00:00,11236,Ascoli Piceno
2021-05-31 17:00:00,11242,Ascoli Piceno
2021-06-01 17:00:00,11247,Ascoli Piceno
2021-06-02 17:00:00,11260,Ascoli Piceno
