data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,9933,Asti
2021-01-02 17:00:00,9986,Asti
2021-01-03 17:00:00,10042,Asti
2021-01-04 17:00:00,10084,Asti
2021-01-05 17:00:00,10159,Asti
2021-01-06 17:00:00,10289,Asti
2021-01-07 17:00:00,10324,Asti
2021-01-08 17:00:00,10399,Asti
2021-01-09 17:00:00,10579,Asti
2021-01-10 17:00:00,10613,Asti
2021-01-11 17:00:00,10653,Asti
2021-01-12 17:00:00,10718,Asti
2021-01-13 17:00:00,10763,Asti
2021-01-14 17:00:00,10818,Asti
2021-01-15 17:00:00,10873,Asti
2021-01-16 17:00:00,10926,Asti
2021-01-17 17:00:00,10957,Asti
2021-01-18 17:00:00,10972,Asti
2021-01-19 17:00:00,11022,Asti
2021-01-20 17:00:00,11062,Asti
2021-01-21 17:00:00,11080,Asti
2021-01-22 17:00:00,11128,Asti
2021-01-23 17:00:00,11174,Asti
2021-01-24 17:00:00,11203,Asti
2021-01-25 17:00:00,11264,Asti
2021-01-26 17:00:00,11314,Asti
2021-01-27 17:00:00,11364,Asti
2021-01-28 17:00:00,11384,Asti
2021-01-29 17:00:00,11455,Asti
2021-01-30 17:00:00,11504,Asti
2021-01-31 17:00:00,11543,Asti
2021-02-01 17:00:00,11557,Asti
2021-02-02 17:00:00,11611,Asti
2021-02-03 17:00:00,11634,Asti
2021-02-04 17:00:00,11684,Asti
2021-02-05 17:00:00,11717,Asti
2021-02-06 17:00:00,11763,Asti
2021-02-07 17:00:00,11808,Asti
2021-02-08 17:00:00,11819,Asti
2021-02-09 17:00:00,11840,Asti
2021-02-10 17:00:00,11896,Asti
2021-02-11 17:00:00,11961,Asti
2021-02-12 17:00:00,12025,Asti
2021-02-13 17:00:00,12054,Asti
2021-02-14 17:00:00,12065,Asti
2021-02-15 17:00:00,12069,Asti
2021-02-16 17:00:00,12112,Asti
2021-02-17 17:00:00,12137,Asti
2021-02-18 17:00:00,12153,Asti
