data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,14859,Belluno
2021-01-02 17:00:00,15035,Belluno
2021-01-03 17:00:00,15142,Belluno
2021-01-04 17:00:00,15233,Belluno
2021-01-05 17:00:00,15325,Belluno
2021-01-06 17:00:00,15591,Belluno
2021-01-07 17:00:00,15748,Belluno
2021-01-08 17:00:00,15867,Belluno
2021-01-09 17:00:00,16054,Belluno
2021-01-10 17:00:00,16166,Belluno
2021-01-11 17:00:00,16196,Belluno
2021-01-12 17:00:00,16273,Belluno
2021-01-13 17:00:00,16351,Belluno
2021-01-14 17:00:00,16458,Belluno
2021-01-15 17:00:00,16387,Belluno
2021-01-16 17:00:00,16569,Belluno
2021-01-17 17:00:00,16617,Belluno
2021-01-18 17:00:00,16695,Belluno
2021-01-19 17:00:00,16726,Belluno
2021-01-20 17:00:00,16775,Belluno
2021-01-21 17:00:00,16813,Belluno
2021-01-22 17:00:00,16858,Belluno
2021-01-23 17:00:00,16907,Belluno
2021-01-24 17:00:00,16948,Belluno
2021-01-25 17:00:00,16975,Belluno
2021-01-26 17:00:00,17022,Belluno
2021-01-27 17:00:00,17099,Belluno
2021-01-28 17:00:00,17131,Belluno
2021-01-29 17:00:00,17233,Belluno
2021-01-30 17:00:00,17266,Belluno
2021-01-31 17:00:00,17276,Belluno
2021-02-01 17:00:00,17304,Belluno
2021-02-02 17:00:00,17316,Belluno
2021-02-03 17:00:00,17336,Belluno
2021-02-04 17:00:00,17355,Belluno
2021-02-05 17:00:00,17367,Belluno
2021-02-06 17:00:00,17404,Belluno
2021-02-07 17:00:00,17423,Belluno
2021-02-08 17:00:00,17434,Belluno
2021-02-09 17:00:00,17464,Belluno
2021-02-10 17:00:00,17500,Belluno
2021-02-11 17:00:00,17541,Belluno
2021-02-12 17:00:00,17562,Belluno
2021-02-13 17:00:00,17603,Belluno
2021-02-14 17:00:00,17640,Belluno
2021-02-15 17:00:00,17643,Belluno
2021-02-16 17:00:00,17674,Belluno
2021-02-17 17:00:00,17707,Belluno
2021-02-18 17:00:00,17775,Belluno
2021-02-19 17:00:00,17795,Belluno
2021-02-20 17:00:00,17848,Belluno
2021-02-21 17:00:00,17875,Belluno
2021-02-22 17:00:00,17877,Belluno
2021-02-23 17:00:00,17930,Belluno
2021-02-24 17:00:00,17966,Belluno
2021-02-25 17:00:00,18019,Belluno
2021-02-26 17:00:00,18066,Belluno
2021-02-27 17:00:00,18117,Belluno
2021-02-28 17:00:00,18146,Belluno
2021-03-01 17:00:00,18146,Belluno
2021-03-02 17:00:00,18215,Belluno
2021-03-03 17:00:00,18254,Belluno
2021-03-04 17:00:00,18312,Belluno
2021-03-05 17:00:00,18388,Belluno
2021-03-06 17:00:00,18444,Belluno
2021-03-07 17:00:00,18509,Belluno
2021-03-08 17:00:00,18564,Belluno
2021-03-09 17:00:00,18635,Belluno
2021-03-10 17:00:00,18685,Belluno
2021-03-11 17:00:00,18766,Belluno
2021-03-12 17:00:00,18860,Belluno
2021-03-13 17:00:00,18947,Belluno
2021-03-14 17:00:00,19028,Belluno
2021-03-15 17:00:00,19047,Belluno
2021-03-16 17:00:00,19128,Belluno
2021-03-17 17:00:00,19225,Belluno
2021-03-18 17:00:00,19301,Belluno
2021-03-19 17:00:00,19390,Belluno
2021-03-20 17:00:00,19453,Belluno
2021-03-21 17:00:00,19531,Belluno
2021-03-22 17:00:00,19536,Belluno
2021-03-23 17:00:00,19572,Belluno
2021-03-24 17:00:00,19673,Belluno
2021-03-25 17:00:00,19769,Belluno
2021-03-26 17:00:00,19849,Belluno
2021-03-27 17:00:00,19914,Belluno
2021-03-28 17:00:00,19969,Belluno
2021-03-29 17:00:00,20026,Belluno
2021-03-30 17:00:00,20088,Belluno
2021-03-31 17:00:00,20156,Belluno
2021-04-01 17:00:00,20230,Belluno
2021-04-02 17:00:00,20283,Belluno
2021-04-03 17:00:00,20324,Belluno
2021-04-04 17:00:00,20358,Belluno
2021-04-05 17:00:00,20382,Belluno
2021-04-06 17:00:00,20397,Belluno
2021-04-07 17:00:00,20446,Belluno
2021-04-08 17:00:00,20488,Belluno
2021-04-09 17:00:00,20529,Belluno
2021-04-10 17:00:00,20567,Belluno
2021-04-11 17:00:00,20611,Belluno
2021-04-12 17:00:00,20624,Belluno
2021-04-13 17:00:00,20655,Belluno
2021-04-14 17:00:00,20690,Belluno
2021-04-15 17:00:00,20727,Belluno
2021-04-16 17:00:00,20757,Belluno
2021-04-17 17:00:00,20810,Belluno
2021-04-18 17:00:00,20837,Belluno
2021-04-19 17:00:00,20844,Belluno
2021-04-20 17:00:00,20897,Belluno
2021-04-21 17:00:00,20912,Belluno
2021-04-22 17:00:00,20938,Belluno
