data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,28375,Bergamo
2021-01-02 17:00:00,28476,Bergamo
2021-01-03 17:00:00,28510,Bergamo
2021-01-04 17:00:00,28548,Bergamo
2021-01-05 17:00:00,28570,Bergamo
2021-01-06 17:00:00,28706,Bergamo
2021-01-07 17:00:00,28827,Bergamo
2021-01-08 17:00:00,28892,Bergamo
2021-01-09 17:00:00,28954,Bergamo
2021-01-10 17:00:00,29149,Bergamo
2021-01-11 17:00:00,29224,Bergamo
2021-01-12 17:00:00,29250,Bergamo
2021-01-13 17:00:00,29368,Bergamo
2021-01-14 17:00:00,29477,Bergamo
2021-01-15 17:00:00,29563,Bergamo
2021-01-16 17:00:00,29645,Bergamo
2021-01-17 17:00:00,29722,Bergamo
2021-01-18 17:00:00,29769,Bergamo
2021-01-19 17:00:00,29786,Bergamo
2021-01-20 17:00:00,29866,Bergamo
2021-01-21 17:00:00,29972,Bergamo
2021-01-22 17:00:00,30083,Bergamo
2021-01-23 17:00:00,30156,Bergamo
2021-01-24 17:00:00,30218,Bergamo
2021-01-25 17:00:00,30298,Bergamo
2021-01-26 17:00:00,30319,Bergamo
2021-01-27 17:00:00,30398,Bergamo
2021-01-28 17:00:00,30514,Bergamo
2021-01-29 17:00:00,30607,Bergamo
2021-01-30 17:00:00,30672,Bergamo
2021-01-31 17:00:00,30755,Bergamo
2021-02-01 17:00:00,30802,Bergamo
2021-02-02 17:00:00,30818,Bergamo
2021-02-03 17:00:00,30899,Bergamo
2021-02-04 17:00:00,31045,Bergamo
2021-02-05 17:00:00,31169,Bergamo
2021-02-06 17:00:00,31315,Bergamo
2021-02-07 17:00:00,31365,Bergamo
2021-02-08 17:00:00,31438,Bergamo
2021-02-09 17:00:00,31504,Bergamo
2021-02-10 17:00:00,31638,Bergamo
2021-02-11 17:00:00,31835,Bergamo
2021-02-12 17:00:00,32011,Bergamo
2021-02-13 17:00:00,32183,Bergamo
2021-02-14 17:00:00,32345,Bergamo
2021-02-15 17:00:00,32428,Bergamo
2021-02-16 17:00:00,32518,Bergamo
2021-02-17 17:00:00,32639,Bergamo
2021-02-18 17:00:00,32877,Bergamo
2021-02-19 17:00:00,33117,Bergamo
2021-02-20 17:00:00,33303,Bergamo
2021-02-21 17:00:00,33487,Bergamo
2021-02-22 17:00:00,33673,Bergamo
2021-02-23 17:00:00,33799,Bergamo
2021-02-24 17:00:00,34006,Bergamo
2021-02-25 17:00:00,34335,Bergamo
2021-02-26 17:00:00,34693,Bergamo
2021-02-27 17:00:00,35008,Bergamo
2021-02-28 17:00:00,35288,Bergamo
2021-03-01 17:00:00,35563,Bergamo
2021-03-02 17:00:00,35709,Bergamo
2021-03-03 17:00:00,35958,Bergamo
2021-03-04 17:00:00,36330,Bergamo
2021-03-05 17:00:00,36700,Bergamo
2021-03-06 17:00:00,37094,Bergamo
2021-03-07 17:00:00,37463,Bergamo
2021-03-08 17:00:00,37662,Bergamo
2021-03-09 17:00:00,37937,Bergamo
2021-03-10 17:00:00,38284,Bergamo
2021-03-11 17:00:00,38622,Bergamo
2021-03-12 17:00:00,39089,Bergamo
2021-03-13 17:00:00,39527,Bergamo
2021-03-14 17:00:00,39803,Bergamo
2021-03-15 17:00:00,39928,Bergamo
2021-03-16 17:00:00,40190,Bergamo
2021-03-17 17:00:00,40481,Bergamo
2021-03-18 17:00:00,40822,Bergamo
2021-03-19 17:00:00,41164,Bergamo
2021-03-20 17:00:00,41502,Bergamo
2021-03-21 17:00:00,41816,Bergamo
2021-03-22 17:00:00,42033,Bergamo
2021-03-23 17:00:00,42233,Bergamo
2021-03-24 17:00:00,42473,Bergamo
2021-03-25 17:00:00,42861,Bergamo
2021-03-26 17:00:00,43178,Bergamo
2021-03-27 17:00:00,43553,Bergamo
2021-03-28 17:00:00,43880,Bergamo
2021-03-29 17:00:00,44050,Bergamo
2021-03-30 17:00:00,44180,Bergamo
2021-03-31 17:00:00,44421,Bergamo
2021-04-01 17:00:00,44848,Bergamo
2021-04-02 17:00:00,45112,Bergamo
2021-04-03 17:00:00,45461,Bergamo
2021-04-04 17:00:00,45739,Bergamo
2021-04-05 17:00:00,45861,Bergamo
2021-04-06 17:00:00,45929,Bergamo
2021-04-07 17:00:00,46036,Bergamo
2021-04-08 17:00:00,46202,Bergamo
2021-04-09 17:00:00,46443,Bergamo
2021-04-10 17:00:00,46635,Bergamo
2021-04-11 17:00:00,46879,Bergamo
2021-04-12 17:00:00,46996,Bergamo
2021-04-13 17:00:00,47067,Bergamo
2021-04-14 17:00:00,47240,Bergamo
2021-04-15 17:00:00,47472,Bergamo
2021-04-16 17:00:00,47682,Bergamo
2021-04-17 17:00:00,47864,Bergamo
2021-04-18 17:00:00,47999,Bergamo
2021-04-19 17:00:00,48126,Bergamo
2021-04-20 17:00:00,48234,Bergamo
2021-04-21 17:00:00,48348,Bergamo
2021-04-22 17:00:00,48571,Bergamo
2021-04-23 17:00:00,48807,Bergamo
2021-04-24 17:00:00,49009,Bergamo
2021-04-25 17:00:00,49212,Bergamo
2021-04-26 17:00:00,49318,Bergamo
2021-04-27 17:00:00,49396,Bergamo
2021-04-28 17:00:00,49545,Bergamo
2021-04-29 17:00:00,49724,Bergamo
2021-04-30 17:00:00,49901,Bergamo
2021-05-01 17:00:00,50064,Bergamo
2021-05-02 17:00:00,50282,Bergamo
2021-05-03 17:00:00,50324,Bergamo
2021-05-04 17:00:00,50391,Bergamo
2021-05-05 17:00:00,50476,Bergamo
2021-05-06 17:00:00,50718,Bergamo
2021-05-07 17:00:00,50848,Bergamo
2021-05-08 17:00:00,51005,Bergamo
2021-05-09 17:00:00,51162,Bergamo
2021-05-10 17:00:00,51242,Bergamo
2021-05-11 17:00:00,51290,Bergamo
