data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7060,Cagliari
2021-01-02 17:00:00,7128,Cagliari
2021-01-03 17:00:00,7142,Cagliari
2021-01-04 17:00:00,7224,Cagliari
2021-01-05 17:00:00,7293,Cagliari
2021-01-06 17:00:00,7353,Cagliari
2021-01-07 17:00:00,7430,Cagliari
2021-01-08 17:00:00,7502,Cagliari
2021-01-09 17:00:00,7551,Cagliari
2021-01-10 17:00:00,7645,Cagliari
2021-01-11 17:00:00,7733,Cagliari
2021-01-12 17:00:00,7870,Cagliari
2021-01-13 17:00:00,7921,Cagliari
2021-01-14 17:00:00,7963,Cagliari
2021-01-15 17:00:00,8021,Cagliari
2021-01-16 17:00:00,8143,Cagliari
2021-01-17 17:00:00,8207,Cagliari
2021-01-18 17:00:00,8254,Cagliari
2021-01-19 17:00:00,8284,Cagliari
2021-01-20 17:00:00,8328,Cagliari
2021-01-21 17:00:00,8376,Cagliari
2021-01-22 17:00:00,8431,Cagliari
2021-01-23 17:00:00,8467,Cagliari
2021-01-24 17:00:00,8517,Cagliari
2021-01-25 17:00:00,8567,Cagliari
2021-01-26 17:00:00,8595,Cagliari
2021-01-27 17:00:00,8647,Cagliari
2021-01-28 17:00:00,8707,Cagliari
2021-01-29 17:00:00,8757,Cagliari
2021-01-30 17:00:00,8799,Cagliari
2021-01-31 17:00:00,8861,Cagliari
2021-02-01 17:00:00,8888,Cagliari
2021-02-02 17:00:00,8913,Cagliari
2021-02-03 17:00:00,8948,Cagliari
2021-02-04 17:00:00,9015,Cagliari
2021-02-05 17:00:00,9065,Cagliari
2021-02-06 17:00:00,9091,Cagliari
2021-02-07 17:00:00,9140,Cagliari
2021-02-08 17:00:00,9167,Cagliari
2021-02-09 17:00:00,9181,Cagliari
2021-02-10 17:00:00,9209,Cagliari
2021-02-11 17:00:00,9271,Cagliari
2021-02-12 17:00:00,9313,Cagliari
2021-02-13 17:00:00,9357,Cagliari
2021-02-14 17:00:00,9414,Cagliari
2021-02-15 17:00:00,9438,Cagliari
2021-02-16 17:00:00,9457,Cagliari
2021-02-17 17:00:00,9480,Cagliari
2021-02-18 17:00:00,9537,Cagliari
2021-02-19 17:00:00,9558,Cagliari
2021-02-20 17:00:00,9580,Cagliari
2021-02-21 17:00:00,9603,Cagliari
2021-02-22 17:00:00,9644,Cagliari
2021-02-23 17:00:00,9660,Cagliari
2021-02-24 17:00:00,9677,Cagliari
2021-02-25 17:00:00,9700,Cagliari
2021-02-26 17:00:00,9726,Cagliari
2021-02-27 17:00:00,9759,Cagliari
2021-02-28 17:00:00,9790,Cagliari
2021-03-01 17:00:00,9814,Cagliari
2021-03-02 17:00:00,9841,Cagliari
2021-03-03 17:00:00,9872,Cagliari
2021-03-04 17:00:00,9901,Cagliari
2021-03-05 17:00:00,9951,Cagliari
2021-03-06 17:00:00,9982,Cagliari
2021-03-07 17:00:00,10042,Cagliari
2021-03-08 17:00:00,10088,Cagliari
2021-03-09 17:00:00,10190,Cagliari
2021-03-10 17:00:00,10204,Cagliari
2021-03-11 17:00:00,10261,Cagliari
2021-03-12 17:00:00,10304,Cagliari
2021-03-13 17:00:00,10331,Cagliari
2021-03-14 17:00:00,10392,Cagliari
2021-03-15 17:00:00,10434,Cagliari
2021-03-16 17:00:00,10461,Cagliari
2021-03-17 17:00:00,10484,Cagliari
2021-03-18 17:00:00,10538,Cagliari
2021-03-19 17:00:00,10571,Cagliari
2021-03-20 17:00:00,10634,Cagliari
2021-03-21 17:00:00,10726,Cagliari
2021-03-22 17:00:00,10797,Cagliari
2021-03-23 17:00:00,10846,Cagliari
2021-03-24 17:00:00,10906,Cagliari
2021-03-25 17:00:00,10956,Cagliari
2021-03-26 17:00:00,11029,Cagliari
2021-03-27 17:00:00,11089,Cagliari
2021-03-28 17:00:00,11200,Cagliari
2021-03-29 17:00:00,11286,Cagliari
2021-03-30 17:00:00,11365,Cagliari
2021-03-31 17:00:00,11455,Cagliari
2021-04-01 17:00:00,11580,Cagliari
2021-04-02 17:00:00,11687,Cagliari
2021-04-03 17:00:00,11774,Cagliari
2021-04-04 17:00:00,11874,Cagliari
2021-04-05 17:00:00,11955,Cagliari
2021-04-06 17:00:00,12045,Cagliari
2021-04-07 17:00:00,12121,Cagliari
2021-04-08 17:00:00,12197,Cagliari
2021-04-09 17:00:00,12284,Cagliari
2021-04-10 17:00:00,12431,Cagliari
2021-04-11 17:00:00,12523,Cagliari
2021-04-12 17:00:00,12603,Cagliari
2021-04-13 17:00:00,12715,Cagliari
2021-04-14 17:00:00,12882,Cagliari
2021-04-15 17:00:00,12972,Cagliari
2021-04-16 17:00:00,13128,Cagliari
2021-04-17 17:00:00,13262,Cagliari
2021-04-18 17:00:00,13352,Cagliari
2021-04-19 17:00:00,13435,Cagliari
2021-04-20 17:00:00,13499,Cagliari
2021-04-21 17:00:00,13552,Cagliari
2021-04-22 17:00:00,13653,Cagliari
2021-04-23 17:00:00,13753,Cagliari
2021-04-24 17:00:00,13797,Cagliari
2021-04-25 17:00:00,13927,Cagliari
2021-04-26 17:00:00,13977,Cagliari
2021-04-27 17:00:00,14057,Cagliari
2021-04-28 17:00:00,14110,Cagliari
2021-04-29 17:00:00,14181,Cagliari
2021-04-30 17:00:00,14259,Cagliari
2021-05-01 17:00:00,14307,Cagliari
2021-05-02 17:00:00,14352,Cagliari
2021-05-03 17:00:00,14389,Cagliari
2021-05-04 17:00:00,14408,Cagliari
2021-05-05 17:00:00,14442,Cagliari
2021-05-06 17:00:00,14477,Cagliari
2021-05-07 17:00:00,14503,Cagliari
2021-05-08 17:00:00,14531,Cagliari
2021-05-09 17:00:00,14555,Cagliari
2021-05-10 17:00:00,14574,Cagliari
2021-05-11 17:00:00,14585,Cagliari
2021-05-12 17:00:00,14607,Cagliari
2021-05-13 17:00:00,14623,Cagliari
2021-05-14 17:00:00,14638,Cagliari
2021-05-15 17:00:00,14646,Cagliari
2021-05-16 17:00:00,14662,Cagliari
2021-05-17 17:00:00,14667,Cagliari
2021-05-18 17:00:00,14681,Cagliari
2021-05-19 17:00:00,14696,Cagliari
2021-05-20 17:00:00,14710,Cagliari
2021-05-21 17:00:00,14725,Cagliari
2021-05-22 17:00:00,14735,Cagliari
2021-05-23 17:00:00,14750,Cagliari
2021-05-24 17:00:00,14763,Cagliari
2021-05-25 17:00:00,14767,Cagliari
2021-05-26 17:00:00,14777,Cagliari
2021-05-27 17:00:00,14791,Cagliari
2021-05-28 17:00:00,14797,Cagliari
2021-05-29 17:00:00,14803,Cagliari
2021-05-30 17:00:00,14816,Cagliari
2021-05-31 17:00:00,14828,Cagliari
2021-06-01 17:00:00,14837,Cagliari
2021-06-02 17:00:00,14846,Cagliari
2021-06-03 17:00:00,14856,Cagliari
2021-06-04 17:00:00,14870,Cagliari
2021-06-05 17:00:00,14875,Cagliari
2021-06-06 17:00:00,14883,Cagliari
2021-06-07 17:00:00,14885,Cagliari
2021-06-08 17:00:00,14890,Cagliari
2021-06-09 17:00:00,14903,Cagliari
2021-06-10 17:00:00,14913,Cagliari
2021-06-11 17:00:00,14916,Cagliari
2021-06-12 17:00:00,14921,Cagliari
2021-06-13 17:00:00,14923,Cagliari
2021-06-14 17:00:00,14933,Cagliari
2021-06-15 17:00:00,14935,Cagliari
2021-06-16 17:00:00,14939,Cagliari
2021-06-17 17:00:00,14939,Cagliari
2021-06-18 17:00:00,14943,Cagliari
2021-06-19 17:00:00,14950,Cagliari
2021-06-20 17:00:00,14951,Cagliari
2021-06-21 17:00:00,14954,Cagliari
2021-06-22 17:00:00,14955,Cagliari
2021-06-23 17:00:00,14965,Cagliari
2021-06-24 17:00:00,14973,Cagliari
2021-06-25 17:00:00,14978,Cagliari
2021-06-26 17:00:00,14984,Cagliari
2021-06-27 17:00:00,14987,Cagliari
2021-06-28 17:00:00,14988,Cagliari
2021-06-29 17:00:00,14992,Cagliari
2021-06-30 17:00:00,14996,Cagliari
2021-07-01 17:00:00,15002,Cagliari
2021-07-02 17:00:00,15010,Cagliari
2021-07-03 17:00:00,15013,Cagliari
2021-07-04 17:00:00,15019,Cagliari
2021-07-05 17:00:00,15024,Cagliari
2021-07-06 17:00:00,15027,Cagliari
2021-07-07 17:00:00,15036,Cagliari
2021-07-08 17:00:00,15051,Cagliari
2021-07-09 17:00:00,15079,Cagliari
2021-07-10 17:00:00,15104,Cagliari
2021-07-11 17:00:00,15135,Cagliari
2021-07-12 17:00:00,15174,Cagliari
2021-07-13 17:00:00,15217,Cagliari
2021-07-14 17:00:00,15287,Cagliari
2021-07-15 17:00:00,15348,Cagliari
2021-07-16 17:00:00,15431,Cagliari
2021-07-17 17:00:00,15535,Cagliari
2021-07-18 17:00:00,15697,Cagliari
2021-07-19 17:00:00,15754,Cagliari
2021-07-20 17:00:00,15837,Cagliari
2021-07-21 17:00:00,15991,Cagliari
2021-07-22 17:00:00,16123,Cagliari
2021-07-23 17:00:00,16268,Cagliari
2021-07-24 17:00:00,16415,Cagliari
2021-07-25 17:00:00,16656,Cagliari
2021-07-26 17:00:00,16771,Cagliari
2021-07-27 17:00:00,16925,Cagliari
2021-07-28 17:00:00,17193,Cagliari
2021-07-29 17:00:00,17415,Cagliari
2021-07-30 17:00:00,17608,Cagliari
2021-07-31 17:00:00,17797,Cagliari
2021-08-01 17:00:00,17976,Cagliari
2021-08-02 17:00:00,18107,Cagliari
2021-08-03 17:00:00,18205,Cagliari
2021-08-04 17:00:00,18377,Cagliari
2021-08-05 17:00:00,18715,Cagliari
2021-08-06 17:00:00,18896,Cagliari
2021-08-07 17:00:00,19130,Cagliari
2021-08-08 17:00:00,19300,Cagliari
2021-08-09 17:00:00,19405,Cagliari
2021-08-10 17:00:00,19538,Cagliari
2021-08-11 17:00:00,19732,Cagliari
2021-08-12 17:00:00,19968,Cagliari
2021-08-13 17:00:00,20171,Cagliari
2021-08-14 17:00:00,20410,Cagliari
2021-08-15 17:00:00,20531,Cagliari
2021-08-16 17:00:00,20675,Cagliari
2021-08-17 17:00:00,20808,Cagliari
2021-08-18 17:00:00,20979,Cagliari
2021-08-19 17:00:00,21154,Cagliari
2021-08-20 17:00:00,21340,Cagliari
2021-08-21 17:00:00,21490,Cagliari
2021-08-22 17:00:00,21601,Cagliari
2021-08-23 17:00:00,21740,Cagliari
2021-08-24 17:00:00,21820,Cagliari
2021-08-25 17:00:00,22012,Cagliari
2021-08-26 17:00:00,22176,Cagliari
2021-08-27 17:00:00,22325,Cagliari
2021-08-28 17:00:00,22415,Cagliari
2021-08-29 17:00:00,22558,Cagliari
2021-08-30 17:00:00,22606,Cagliari
2021-08-31 17:00:00,22709,Cagliari
2021-09-01 17:00:00,22866,Cagliari
2021-09-02 17:00:00,22938,Cagliari
2021-09-03 17:00:00,23023,Cagliari
2021-09-04 17:00:00,23070,Cagliari
2021-09-05 17:00:00,23136,Cagliari
2021-09-06 17:00:00,23162,Cagliari
2021-09-07 17:00:00,23196,Cagliari
2021-09-08 17:00:00,23264,Cagliari
2021-09-09 17:00:00,23305,Cagliari
2021-09-10 17:00:00,23353,Cagliari
2021-09-11 17:00:00,23405,Cagliari
2021-09-12 17:00:00,23441,Cagliari
2021-09-13 17:00:00,23475,Cagliari
2021-09-14 17:00:00,23492,Cagliari
2021-09-15 17:00:00,23517,Cagliari
2021-09-16 17:00:00,23548,Cagliari
2021-09-17 17:00:00,23578,Cagliari
2021-09-18 17:00:00,23602,Cagliari
2021-09-19 17:00:00,23629,Cagliari
2021-09-20 17:00:00,23640,Cagliari
2021-09-21 17:00:00,23653,Cagliari
2021-09-22 17:00:00,23675,Cagliari
2021-09-23 17:00:00,23686,Cagliari
2021-09-24 17:00:00,23713,Cagliari
2021-09-25 17:00:00,23722,Cagliari
2021-09-26 17:00:00,23754,Cagliari
2021-09-27 17:00:00,23764,Cagliari
2021-09-28 17:00:00,23782,Cagliari
2021-09-29 17:00:00,23799,Cagliari
2021-09-30 17:00:00,23818,Cagliari
2021-10-01 17:00:00,23836,Cagliari
2021-10-02 17:00:00,23845,Cagliari
2021-10-03 17:00:00,23850,Cagliari
2021-10-04 17:00:00,23857,Cagliari
2021-10-05 17:00:00,23859,Cagliari
2021-10-06 17:00:00,23875,Cagliari
2021-10-07 17:00:00,23892,Cagliari
2021-10-08 17:00:00,23901,Cagliari
2021-10-09 17:00:00,23912,Cagliari
2021-10-10 17:00:00,23916,Cagliari
2021-10-11 17:00:00,23925,Cagliari
2021-10-12 17:00:00,23944,Cagliari
2021-10-13 17:00:00,23952,Cagliari
2021-10-14 17:00:00,23961,Cagliari
2021-10-15 17:00:00,23968,Cagliari
2021-10-16 17:00:00,23978,Cagliari
2021-10-17 17:00:00,23982,Cagliari
2021-10-18 17:00:00,23982,Cagliari
2021-10-19 17:00:00,23988,Cagliari
2021-10-20 17:00:00,23994,Cagliari
2021-10-21 17:00:00,23997,Cagliari
2021-10-22 17:00:00,24008,Cagliari
2021-10-23 17:00:00,24023,Cagliari
2021-10-24 17:00:00,24023,Cagliari
2021-10-25 17:00:00,24026,Cagliari
2021-10-26 17:00:00,24026,Cagliari
2021-10-27 17:00:00,24031,Cagliari
2021-10-28 17:00:00,24038,Cagliari
2021-10-29 17:00:00,24040,Cagliari
2021-10-30 17:00:00,24046,Cagliari
2021-10-31 17:00:00,24049,Cagliari
2021-11-01 17:00:00,24053,Cagliari
2021-11-02 17:00:00,24055,Cagliari
2021-11-03 17:00:00,24057,Cagliari
2021-11-04 17:00:00,24067,Cagliari
2021-11-05 17:00:00,24073,Cagliari
2021-11-06 17:00:00,24086,Cagliari
2021-11-07 17:00:00,24087,Cagliari
2021-11-08 17:00:00,24093,Cagliari
2021-11-09 17:00:00,24102,Cagliari
2021-11-10 17:00:00,24108,Cagliari
2021-11-11 17:00:00,24117,Cagliari
2021-11-12 17:00:00,24141,Cagliari
2021-11-13 17:00:00,24152,Cagliari
2021-11-14 17:00:00,24175,Cagliari
2021-11-15 17:00:00,24176,Cagliari
2021-11-16 17:00:00,24207,Cagliari
2021-11-17 17:00:00,24226,Cagliari
2021-11-18 17:00:00,24257,Cagliari
2021-11-19 17:00:00,24282,Cagliari
2021-11-20 17:00:00,24318,Cagliari
2021-11-21 17:00:00,24336,Cagliari
2021-11-22 17:00:00,24341,Cagliari
2021-11-23 17:00:00,24347,Cagliari
2021-11-24 17:00:00,24372,Cagliari
2021-11-25 17:00:00,24380,Cagliari
2021-11-26 17:00:00,24392,Cagliari
2021-11-27 17:00:00,24402,Cagliari
2021-11-28 17:00:00,24419,Cagliari
2021-11-29 17:00:00,24437,Cagliari
2021-11-30 17:00:00,24443,Cagliari
2021-12-01 17:00:00,24451,Cagliari
2021-12-02 17:00:00,24480,Cagliari
2021-12-03 17:00:00,24492,Cagliari
2021-12-04 17:00:00,24508,Cagliari
2021-12-05 17:00:00,24543,Cagliari
2021-12-06 17:00:00,24558,Cagliari
2021-12-07 17:00:00,24581,Cagliari
2021-12-08 17:00:00,24602,Cagliari
2021-12-09 17:00:00,24627,Cagliari
2021-12-10 17:00:00,24653,Cagliari
2021-12-11 17:00:00,24724,Cagliari
2021-12-12 17:00:00,24760,Cagliari
2021-12-13 17:00:00,24840,Cagliari
2021-12-14 17:00:00,24872,Cagliari
2021-12-15 17:00:00,24954,Cagliari
2021-12-16 17:00:00,25039,Cagliari
2021-12-17 17:00:00,25107,Cagliari
2021-12-18 17:00:00,25182,Cagliari
2021-12-19 17:00:00,25238,Cagliari
2021-12-20 17:00:00,25333,Cagliari
2021-12-21 17:00:00,25391,Cagliari
2021-12-22 17:00:00,25493,Cagliari
2021-12-23 17:00:00,25582,Cagliari
2021-12-24 17:00:00,25736,Cagliari
2021-12-25 17:00:00,25969,Cagliari
2021-12-26 17:00:00,26104,Cagliari
2021-12-27 17:00:00,26264,Cagliari
2021-12-28 17:00:00,26421,Cagliari
2021-12-29 17:00:00,26778,Cagliari
2021-12-30 17:00:00,26991,Cagliari
2021-12-31 17:00:00,27251,Cagliari
