data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,4016,Caltanissetta
2021-01-02 17:00:00,4019,Caltanissetta
2021-01-03 17:00:00,4106,Caltanissetta
2021-01-04 17:00:00,4162,Caltanissetta
2021-01-05 17:00:00,4294,Caltanissetta
2021-01-06 17:00:00,4385,Caltanissetta
2021-01-07 17:00:00,4474,Caltanissetta
2021-01-08 17:00:00,4555,Caltanissetta
2021-01-09 17:00:00,4647,Caltanissetta
2021-01-10 17:00:00,4726,Caltanissetta
2021-01-11 17:00:00,4801,Caltanissetta
2021-01-12 17:00:00,4924,Caltanissetta
2021-01-13 17:00:00,4995,Caltanissetta
2021-01-14 17:00:00,5093,Caltanissetta
2021-01-15 17:00:00,5180,Caltanissetta
2021-01-16 17:00:00,5300,Caltanissetta
2021-01-17 17:00:00,5359,Caltanissetta
2021-01-18 17:00:00,5420,Caltanissetta
2021-01-19 17:00:00,5482,Caltanissetta
2021-01-20 17:00:00,5569,Caltanissetta
2021-01-21 17:00:00,5673,Caltanissetta
2021-01-22 17:00:00,5724,Caltanissetta
2021-01-23 17:00:00,5766,Caltanissetta
2021-01-24 17:00:00,5831,Caltanissetta
2021-01-25 17:00:00,5905,Caltanissetta
2021-01-26 17:00:00,5941,Caltanissetta
2021-01-27 17:00:00,5993,Caltanissetta
2021-01-28 17:00:00,6047,Caltanissetta
2021-01-29 17:00:00,6100,Caltanissetta
2021-01-30 17:00:00,6130,Caltanissetta
2021-01-31 17:00:00,6176,Caltanissetta
2021-02-01 17:00:00,6211,Caltanissetta
2021-02-02 17:00:00,6245,Caltanissetta
2021-02-03 17:00:00,6308,Caltanissetta
2021-02-04 17:00:00,6344,Caltanissetta
2021-02-05 17:00:00,6364,Caltanissetta
2021-02-06 17:00:00,6424,Caltanissetta
2021-02-07 17:00:00,6438,Caltanissetta
2021-02-08 17:00:00,6456,Caltanissetta
2021-02-09 17:00:00,6475,Caltanissetta
2021-02-10 17:00:00,6497,Caltanissetta
2021-02-11 17:00:00,6530,Caltanissetta
2021-02-12 17:00:00,6545,Caltanissetta
2021-02-13 17:00:00,6574,Caltanissetta
