data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,27393,Cuneo
2021-01-02 17:00:00,27421,Cuneo
2021-01-03 17:00:00,27541,Cuneo
2021-01-04 17:00:00,27605,Cuneo
2021-01-05 17:00:00,27803,Cuneo
2021-01-06 17:00:00,27958,Cuneo
2021-01-07 17:00:00,28138,Cuneo
2021-01-08 17:00:00,28273,Cuneo
2021-01-09 17:00:00,28472,Cuneo
2021-01-10 17:00:00,28612,Cuneo
2021-01-11 17:00:00,28669,Cuneo
2021-01-12 17:00:00,28894,Cuneo
2021-01-13 17:00:00,29009,Cuneo
2021-01-14 17:00:00,29137,Cuneo
2021-01-15 17:00:00,29255,Cuneo
2021-01-16 17:00:00,29374,Cuneo
2021-01-17 17:00:00,29449,Cuneo
2021-01-18 17:00:00,29496,Cuneo
2021-01-19 17:00:00,29606,Cuneo
2021-01-20 17:00:00,29689,Cuneo
2021-01-21 17:00:00,29821,Cuneo
2021-01-22 17:00:00,29934,Cuneo
2021-01-23 17:00:00,30036,Cuneo
2021-01-24 17:00:00,30069,Cuneo
2021-01-25 17:00:00,30093,Cuneo
2021-01-26 17:00:00,30185,Cuneo
2021-01-27 17:00:00,30252,Cuneo
2021-01-28 17:00:00,30357,Cuneo
2021-01-29 17:00:00,30499,Cuneo
2021-01-30 17:00:00,30625,Cuneo
2021-01-31 17:00:00,30670,Cuneo
2021-02-01 17:00:00,30704,Cuneo
2021-02-02 17:00:00,30823,Cuneo
2021-02-03 17:00:00,30901,Cuneo
2021-02-04 17:00:00,30989,Cuneo
2021-02-05 17:00:00,31077,Cuneo
2021-02-06 17:00:00,31148,Cuneo
2021-02-07 17:00:00,31194,Cuneo
2021-02-08 17:00:00,31238,Cuneo
2021-02-09 17:00:00,31325,Cuneo
2021-02-10 17:00:00,31365,Cuneo
2021-02-11 17:00:00,31482,Cuneo
2021-02-12 17:00:00,31574,Cuneo
2021-02-13 17:00:00,31660,Cuneo
2021-02-14 17:00:00,31709,Cuneo
2021-02-15 17:00:00,31741,Cuneo
2021-02-16 17:00:00,31830,Cuneo
2021-02-17 17:00:00,31888,Cuneo
2021-02-18 17:00:00,31977,Cuneo
2021-02-19 17:00:00,32101,Cuneo
2021-02-20 17:00:00,32198,Cuneo
2021-02-21 17:00:00,32275,Cuneo
2021-02-22 17:00:00,32341,Cuneo
2021-02-23 17:00:00,32526,Cuneo
