data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,3339,Enna
2021-01-02 17:00:00,3379,Enna
2021-01-03 17:00:00,3382,Enna
2021-01-04 17:00:00,3430,Enna
2021-01-05 17:00:00,3453,Enna
2021-01-06 17:00:00,3504,Enna
2021-01-07 17:00:00,3525,Enna
2021-01-08 17:00:00,3528,Enna
2021-01-09 17:00:00,3588,Enna
2021-01-10 17:00:00,3616,Enna
2021-01-11 17:00:00,3651,Enna
2021-01-12 17:00:00,3697,Enna
2021-01-13 17:00:00,3759,Enna
2021-01-14 17:00:00,3786,Enna
2021-01-15 17:00:00,3787,Enna
2021-01-16 17:00:00,3851,Enna
2021-01-17 17:00:00,3856,Enna
2021-01-18 17:00:00,3896,Enna
2021-01-19 17:00:00,3901,Enna
2021-01-20 17:00:00,3922,Enna
2021-01-21 17:00:00,3957,Enna
2021-01-22 17:00:00,3973,Enna
2021-01-23 17:00:00,4025,Enna
2021-01-24 17:00:00,4053,Enna
2021-01-25 17:00:00,4055,Enna
2021-01-26 17:00:00,4057,Enna
2021-01-27 17:00:00,4074,Enna
2021-01-28 17:00:00,4100,Enna
2021-01-29 17:00:00,4117,Enna
2021-01-30 17:00:00,4128,Enna
2021-01-31 17:00:00,4140,Enna
2021-02-01 17:00:00,4151,Enna
2021-02-02 17:00:00,4160,Enna
2021-02-03 17:00:00,4173,Enna
2021-02-04 17:00:00,4183,Enna
2021-02-05 17:00:00,4191,Enna
2021-02-06 17:00:00,4199,Enna
2021-02-07 17:00:00,4203,Enna
2021-02-08 17:00:00,4207,Enna
2021-02-09 17:00:00,4212,Enna
2021-02-10 17:00:00,4225,Enna
2021-02-11 17:00:00,4232,Enna
2021-02-12 17:00:00,4238,Enna
2021-02-13 17:00:00,4247,Enna
2021-02-14 17:00:00,4250,Enna
2021-02-15 17:00:00,4260,Enna
2021-02-16 17:00:00,4263,Enna
2021-02-17 17:00:00,4278,Enna
2021-02-18 17:00:00,4294,Enna
2021-02-19 17:00:00,4304,Enna
2021-02-20 17:00:00,4321,Enna
2021-02-21 17:00:00,4322,Enna
2021-02-22 17:00:00,4331,Enna
2021-02-23 17:00:00,4352,Enna
2021-02-24 17:00:00,4369,Enna
2021-02-25 17:00:00,4381,Enna
2021-02-26 17:00:00,4401,Enna
2021-02-27 17:00:00,4415,Enna
2021-02-28 17:00:00,4422,Enna
2021-03-01 17:00:00,4429,Enna
2021-03-02 17:00:00,4437,Enna
2021-03-03 17:00:00,4447,Enna
2021-03-04 17:00:00,4454,Enna
2021-03-05 17:00:00,4468,Enna
2021-03-06 17:00:00,4479,Enna
2021-03-07 17:00:00,4479,Enna
2021-03-08 17:00:00,4489,Enna
2021-03-09 17:00:00,4490,Enna
2021-03-10 17:00:00,4496,Enna
2021-03-11 17:00:00,4499,Enna
2021-03-12 17:00:00,4502,Enna
2021-03-13 17:00:00,4508,Enna
2021-03-14 17:00:00,4512,Enna
2021-03-15 17:00:00,4517,Enna
2021-03-16 17:00:00,4553,Enna
2021-03-17 17:00:00,4599,Enna
2021-03-18 17:00:00,4627,Enna
2021-03-19 17:00:00,4659,Enna
2021-03-20 17:00:00,4682,Enna
2021-03-21 17:00:00,4684,Enna
2021-03-22 17:00:00,4717,Enna
2021-03-23 17:00:00,4763,Enna
2021-03-24 17:00:00,4792,Enna
2021-03-25 17:00:00,4842,Enna
2021-03-26 17:00:00,4862,Enna
2021-03-27 17:00:00,4887,Enna
2021-03-28 17:00:00,4898,Enna
2021-03-29 17:00:00,4923,Enna
2021-03-30 17:00:00,4923,Enna
2021-03-31 17:00:00,4995,Enna
2021-04-01 17:00:00,5036,Enna
2021-04-02 17:00:00,5069,Enna
2021-04-03 17:00:00,5091,Enna
2021-04-04 17:00:00,5098,Enna
2021-04-05 17:00:00,5098,Enna
2021-04-06 17:00:00,5109,Enna
2021-04-07 17:00:00,5196,Enna
2021-04-08 17:00:00,5246,Enna
2021-04-09 17:00:00,5294,Enna
2021-04-10 17:00:00,5314,Enna
2021-04-11 17:00:00,5343,Enna
2021-04-12 17:00:00,5358,Enna
2021-04-13 17:00:00,5423,Enna
2021-04-14 17:00:00,5455,Enna
2021-04-15 17:00:00,5507,Enna
2021-04-16 17:00:00,5549,Enna
2021-04-17 17:00:00,5575,Enna
2021-04-18 17:00:00,5595,Enna
2021-04-19 17:00:00,5619,Enna
2021-04-20 17:00:00,5653,Enna
2021-04-21 17:00:00,5680,Enna
2021-04-22 17:00:00,5700,Enna
2021-04-23 17:00:00,5724,Enna
2021-04-24 17:00:00,5733,Enna
2021-04-25 17:00:00,5737,Enna
2021-04-26 17:00:00,5755,Enna
2021-04-27 17:00:00,5765,Enna
2021-04-28 17:00:00,5772,Enna
2021-04-29 17:00:00,5786,Enna
2021-04-30 17:00:00,5812,Enna
2021-05-01 17:00:00,5836,Enna
2021-05-02 17:00:00,5846,Enna
2021-05-03 17:00:00,5848,Enna
2021-05-04 17:00:00,5862,Enna
2021-05-05 17:00:00,5872,Enna
2021-05-06 17:00:00,5877,Enna
2021-05-07 17:00:00,5893,Enna
2021-05-08 17:00:00,5909,Enna
2021-05-09 17:00:00,5913,Enna
2021-05-10 17:00:00,5917,Enna
2021-05-11 17:00:00,5931,Enna
2021-05-12 17:00:00,5956,Enna
2021-05-13 17:00:00,5960,Enna
2021-05-14 17:00:00,5971,Enna
2021-05-15 17:00:00,5971,Enna
2021-05-16 17:00:00,6006,Enna
2021-05-17 17:00:00,6016,Enna
2021-05-18 17:00:00,6017,Enna
2021-05-19 17:00:00,6029,Enna
2021-05-20 17:00:00,6063,Enna
2021-05-21 17:00:00,6073,Enna
2021-05-22 17:00:00,6081,Enna
2021-05-23 17:00:00,6081,Enna
2021-05-24 17:00:00,6083,Enna
2021-05-25 17:00:00,6101,Enna
2021-05-26 17:00:00,6117,Enna
2021-05-27 17:00:00,6134,Enna
2021-05-28 17:00:00,6141,Enna
2021-05-29 17:00:00,6154,Enna
2021-05-30 17:00:00,6154,Enna
2021-05-31 17:00:00,6164,Enna
2021-06-01 17:00:00,6169,Enna
2021-06-02 17:00:00,6182,Enna
2021-06-03 17:00:00,6192,Enna
2021-06-04 17:00:00,6208,Enna
2021-06-05 17:00:00,6218,Enna
2021-06-06 17:00:00,6218,Enna
2021-06-07 17:00:00,6219,Enna
2021-06-08 17:00:00,6220,Enna
2021-06-09 17:00:00,6278,Enna
2021-06-10 17:00:00,6281,Enna
2021-06-11 17:00:00,6323,Enna
2021-06-12 17:00:00,6353,Enna
2021-06-13 17:00:00,6365,Enna
2021-06-14 17:00:00,6365,Enna
2021-06-15 17:00:00,6376,Enna
2021-06-16 17:00:00,6395,Enna
2021-06-17 17:00:00,6417,Enna
2021-06-18 17:00:00,6418,Enna
2021-06-19 17:00:00,6429,Enna
2021-06-20 17:00:00,6443,Enna
2021-06-21 17:00:00,6444,Enna
2021-06-22 17:00:00,6458,Enna
2021-06-23 17:00:00,6485,Enna
2021-06-24 17:00:00,6498,Enna
2021-06-25 17:00:00,6499,Enna
2021-06-26 17:00:00,6518,Enna
2021-06-27 17:00:00,6518,Enna
