data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7170,Lecce
2021-01-02 17:00:00,7180,Lecce
2021-01-03 17:00:00,7267,Lecce
2021-01-04 17:00:00,7338,Lecce
2021-01-05 17:00:00,7449,Lecce
2021-01-06 17:00:00,7607,Lecce
2021-01-07 17:00:00,7688,Lecce
2021-01-08 17:00:00,7808,Lecce
2021-01-09 17:00:00,7989,Lecce
2021-01-10 17:00:00,8128,Lecce
2021-01-11 17:00:00,8212,Lecce
2021-01-12 17:00:00,8294,Lecce
2021-01-13 17:00:00,8398,Lecce
2021-01-14 17:00:00,8536,Lecce
2021-01-15 17:00:00,8623,Lecce
2021-01-16 17:00:00,8702,Lecce
2021-01-17 17:00:00,8802,Lecce
2021-01-18 17:00:00,8864,Lecce
2021-01-19 17:00:00,8949,Lecce
2021-01-20 17:00:00,9053,Lecce
2021-01-21 17:00:00,9191,Lecce
2021-01-22 17:00:00,9300,Lecce
2021-01-23 17:00:00,9405,Lecce
2021-01-24 17:00:00,9480,Lecce
2021-01-25 17:00:00,9544,Lecce
2021-01-26 17:00:00,9707,Lecce
2021-01-27 17:00:00,9851,Lecce
2021-01-28 17:00:00,9987,Lecce
2021-01-29 17:00:00,10153,Lecce
2021-01-30 17:00:00,10264,Lecce
2021-01-31 17:00:00,10344,Lecce
2021-02-01 17:00:00,10426,Lecce
2021-02-02 17:00:00,10492,Lecce
2021-02-03 17:00:00,10575,Lecce
2021-02-04 17:00:00,10661,Lecce
2021-02-05 17:00:00,10767,Lecce
2021-02-06 17:00:00,10875,Lecce
2021-02-07 17:00:00,10950,Lecce
2021-02-08 17:00:00,11011,Lecce
2021-02-09 17:00:00,11078,Lecce
2021-02-10 17:00:00,11186,Lecce
2021-02-11 17:00:00,11258,Lecce
2021-02-12 17:00:00,11341,Lecce
2021-02-13 17:00:00,11382,Lecce
2021-02-14 17:00:00,11426,Lecce
2021-02-15 17:00:00,11469,Lecce
2021-02-16 17:00:00,11517,Lecce
