data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,10712,Lodi
2021-01-02 17:00:00,10728,Lodi
2021-01-03 17:00:00,10735,Lodi
2021-01-04 17:00:00,10744,Lodi
2021-01-05 17:00:00,10792,Lodi
2021-01-06 17:00:00,10881,Lodi
2021-01-07 17:00:00,10900,Lodi
2021-01-08 17:00:00,10950,Lodi
2021-01-09 17:00:00,11023,Lodi
2021-01-10 17:00:00,11065,Lodi
2021-01-11 17:00:00,11085,Lodi
2021-01-12 17:00:00,11124,Lodi
2021-01-13 17:00:00,11184,Lodi
2021-01-14 17:00:00,11229,Lodi
2021-01-15 17:00:00,11298,Lodi
2021-01-16 17:00:00,11340,Lodi
2021-01-17 17:00:00,11362,Lodi
2021-01-18 17:00:00,11383,Lodi
2021-01-19 17:00:00,11412,Lodi
2021-01-20 17:00:00,11453,Lodi
2021-01-21 17:00:00,11515,Lodi
2021-01-22 17:00:00,11563,Lodi
2021-01-23 17:00:00,11611,Lodi
2021-01-24 17:00:00,11631,Lodi
2021-01-25 17:00:00,11644,Lodi
2021-01-26 17:00:00,11682,Lodi
2021-01-27 17:00:00,11740,Lodi
2021-01-28 17:00:00,11803,Lodi
2021-01-29 17:00:00,11840,Lodi
2021-01-30 17:00:00,11866,Lodi
2021-01-31 17:00:00,11895,Lodi
2021-02-01 17:00:00,11905,Lodi
2021-02-02 17:00:00,11930,Lodi
2021-02-03 17:00:00,11979,Lodi
2021-02-04 17:00:00,12022,Lodi
2021-02-05 17:00:00,12053,Lodi
2021-02-06 17:00:00,12088,Lodi
2021-02-07 17:00:00,12124,Lodi
2021-02-08 17:00:00,12145,Lodi
2021-02-09 17:00:00,12169,Lodi
2021-02-10 17:00:00,12225,Lodi
2021-02-11 17:00:00,12275,Lodi
2021-02-12 17:00:00,12312,Lodi
2021-02-13 17:00:00,12350,Lodi
2021-02-14 17:00:00,12373,Lodi
2021-02-15 17:00:00,12394,Lodi
2021-02-16 17:00:00,12416,Lodi
2021-02-17 17:00:00,12453,Lodi
2021-02-18 17:00:00,12506,Lodi
2021-02-19 17:00:00,12533,Lodi
2021-02-20 17:00:00,12583,Lodi
2021-02-21 17:00:00,12613,Lodi
2021-02-22 17:00:00,12632,Lodi
2021-02-23 17:00:00,12677,Lodi
2021-02-24 17:00:00,12722,Lodi
2021-02-25 17:00:00,12779,Lodi
2021-02-26 17:00:00,12830,Lodi
2021-02-27 17:00:00,12904,Lodi
2021-02-28 17:00:00,12970,Lodi
2021-03-01 17:00:00,12997,Lodi
2021-03-02 17:00:00,13051,Lodi
2021-03-03 17:00:00,13114,Lodi
2021-03-04 17:00:00,13194,Lodi
2021-03-05 17:00:00,13261,Lodi
2021-03-06 17:00:00,13336,Lodi
2021-03-07 17:00:00,13387,Lodi
2021-03-08 17:00:00,13423,Lodi
2021-03-09 17:00:00,13491,Lodi
2021-03-10 17:00:00,13580,Lodi
2021-03-11 17:00:00,13667,Lodi
2021-03-12 17:00:00,13757,Lodi
2021-03-13 17:00:00,13841,Lodi
2021-03-14 17:00:00,13914,Lodi
2021-03-15 17:00:00,13942,Lodi
2021-03-16 17:00:00,14009,Lodi
2021-03-17 17:00:00,14082,Lodi
2021-03-18 17:00:00,14169,Lodi
2021-03-19 17:00:00,14241,Lodi
2021-03-20 17:00:00,14318,Lodi
2021-03-21 17:00:00,14376,Lodi
2021-03-22 17:00:00,14395,Lodi
2021-03-23 17:00:00,14459,Lodi
2021-03-24 17:00:00,14519,Lodi
2021-03-25 17:00:00,14617,Lodi
2021-03-26 17:00:00,14701,Lodi
2021-03-27 17:00:00,14775,Lodi
2021-03-28 17:00:00,14832,Lodi
2021-03-29 17:00:00,14844,Lodi
2021-03-30 17:00:00,14905,Lodi
2021-03-31 17:00:00,14999,Lodi
2021-04-01 17:00:00,15070,Lodi
2021-04-02 17:00:00,15154,Lodi
2021-04-03 17:00:00,15228,Lodi
2021-04-04 17:00:00,15273,Lodi
2021-04-05 17:00:00,15283,Lodi
2021-04-06 17:00:00,15307,Lodi
2021-04-07 17:00:00,15350,Lodi
2021-04-08 17:00:00,15402,Lodi
2021-04-09 17:00:00,15468,Lodi
2021-04-10 17:00:00,15512,Lodi
2021-04-11 17:00:00,15538,Lodi
2021-04-12 17:00:00,15556,Lodi
2021-04-13 17:00:00,15596,Lodi
2021-04-14 17:00:00,15644,Lodi
2021-04-15 17:00:00,15689,Lodi
2021-04-16 17:00:00,15727,Lodi
2021-04-17 17:00:00,15771,Lodi
2021-04-18 17:00:00,15796,Lodi
2021-04-19 17:00:00,15800,Lodi
2021-04-20 17:00:00,15836,Lodi
2021-04-21 17:00:00,15866,Lodi
2021-04-22 17:00:00,15910,Lodi
2021-04-23 17:00:00,15950,Lodi
2021-04-24 17:00:00,15993,Lodi
2021-04-25 17:00:00,16039,Lodi
2021-04-26 17:00:00,16044,Lodi
2021-04-27 17:00:00,16063,Lodi
2021-04-28 17:00:00,16106,Lodi
2021-04-29 17:00:00,16144,Lodi
2021-04-30 17:00:00,16192,Lodi
2021-05-01 17:00:00,16228,Lodi
2021-05-02 17:00:00,16251,Lodi
2021-05-03 17:00:00,16251,Lodi
2021-05-04 17:00:00,16282,Lodi
2021-05-05 17:00:00,16308,Lodi
2021-05-06 17:00:00,16333,Lodi
2021-05-07 17:00:00,16351,Lodi
2021-05-08 17:00:00,16407,Lodi
2021-05-09 17:00:00,16422,Lodi
2021-05-10 17:00:00,16426,Lodi
2021-05-11 17:00:00,16442,Lodi
2021-05-12 17:00:00,16450,Lodi
2021-05-13 17:00:00,16465,Lodi
2021-05-14 17:00:00,16475,Lodi
2021-05-15 17:00:00,16483,Lodi
2021-05-16 17:00:00,16490,Lodi
2021-05-17 17:00:00,16492,Lodi
2021-05-18 17:00:00,16500,Lodi
2021-05-19 17:00:00,16522,Lodi
