data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,12630,Lucca
2021-01-02 17:00:00,12703,Lucca
2021-01-03 17:00:00,12727,Lucca
2021-01-04 17:00:00,12761,Lucca
2021-01-05 17:00:00,12801,Lucca
2021-01-06 17:00:00,12848,Lucca
2021-01-07 17:00:00,12914,Lucca
2021-01-08 17:00:00,12938,Lucca
2021-01-09 17:00:00,13000,Lucca
2021-01-10 17:00:00,13038,Lucca
2021-01-11 17:00:00,13080,Lucca
2021-01-12 17:00:00,13100,Lucca
2021-01-13 17:00:00,13144,Lucca
2021-01-14 17:00:00,13170,Lucca
2021-01-15 17:00:00,13211,Lucca
2021-01-16 17:00:00,13262,Lucca
2021-01-17 17:00:00,13292,Lucca
2021-01-18 17:00:00,13315,Lucca
2021-01-19 17:00:00,13338,Lucca
2021-01-20 17:00:00,13370,Lucca
2021-01-21 17:00:00,13395,Lucca
2021-01-22 17:00:00,13417,Lucca
2021-01-23 17:00:00,13456,Lucca
2021-01-24 17:00:00,13494,Lucca
2021-01-25 17:00:00,13535,Lucca
2021-01-26 17:00:00,13563,Lucca
2021-01-27 17:00:00,13609,Lucca
2021-01-28 17:00:00,13659,Lucca
2021-01-29 17:00:00,13704,Lucca
2021-01-30 17:00:00,13745,Lucca
2021-01-31 17:00:00,13798,Lucca
2021-02-01 17:00:00,13833,Lucca
2021-02-02 17:00:00,13867,Lucca
2021-02-03 17:00:00,13902,Lucca
2021-02-04 17:00:00,13978,Lucca
2021-02-05 17:00:00,14056,Lucca
2021-02-06 17:00:00,14100,Lucca
2021-02-07 17:00:00,14172,Lucca
2021-02-08 17:00:00,14226,Lucca
2021-02-09 17:00:00,14256,Lucca
2021-02-10 17:00:00,14322,Lucca
2021-02-11 17:00:00,14408,Lucca
2021-02-12 17:00:00,14511,Lucca
2021-02-13 17:00:00,14593,Lucca
2021-02-14 17:00:00,14658,Lucca
2021-02-15 17:00:00,14714,Lucca
2021-02-16 17:00:00,14741,Lucca
2021-02-17 17:00:00,14841,Lucca
2021-02-18 17:00:00,14928,Lucca
2021-02-19 17:00:00,15009,Lucca
2021-02-20 17:00:00,15128,Lucca
2021-02-21 17:00:00,15234,Lucca
2021-02-22 17:00:00,15315,Lucca
2021-02-23 17:00:00,15411,Lucca
2021-02-24 17:00:00,15484,Lucca
2021-02-25 17:00:00,15629,Lucca
2021-02-26 17:00:00,15773,Lucca
2021-02-27 17:00:00,15912,Lucca
2021-02-28 17:00:00,16035,Lucca
2021-03-01 17:00:00,16158,Lucca
2021-03-02 17:00:00,16246,Lucca
2021-03-03 17:00:00,16404,Lucca
2021-03-04 17:00:00,16518,Lucca
2021-03-05 17:00:00,16670,Lucca
2021-03-06 17:00:00,16848,Lucca
2021-03-07 17:00:00,16980,Lucca
2021-03-08 17:00:00,17102,Lucca
2021-03-09 17:00:00,17195,Lucca
2021-03-10 17:00:00,17347,Lucca
2021-03-11 17:00:00,17490,Lucca
2021-03-12 17:00:00,17620,Lucca
2021-03-13 17:00:00,17750,Lucca
2021-03-14 17:00:00,17917,Lucca
