data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,9183,Macerata
2021-01-02 17:00:00,9231,Macerata
2021-01-03 17:00:00,9280,Macerata
2021-01-04 17:00:00,9371,Macerata
2021-01-05 17:00:00,9463,Macerata
2021-01-06 17:00:00,9599,Macerata
2021-01-07 17:00:00,9680,Macerata
2021-01-08 17:00:00,9847,Macerata
2021-01-09 17:00:00,9960,Macerata
2021-01-10 17:00:00,10136,Macerata
2021-01-11 17:00:00,10160,Macerata
2021-01-12 17:00:00,10229,Macerata
2021-01-13 17:00:00,10350,Macerata
2021-01-14 17:00:00,10406,Macerata
2021-01-15 17:00:00,10538,Macerata
2021-01-16 17:00:00,10625,Macerata
2021-01-17 17:00:00,10718,Macerata
2021-01-18 17:00:00,10743,Macerata
2021-01-19 17:00:00,10800,Macerata
2021-01-20 17:00:00,10886,Macerata
2021-01-21 17:00:00,10971,Macerata
2021-01-22 17:00:00,11084,Macerata
2021-01-23 17:00:00,11167,Macerata
2021-01-24 17:00:00,11239,Macerata
2021-01-25 17:00:00,11288,Macerata
2021-01-26 17:00:00,11306,Macerata
2021-01-27 17:00:00,11385,Macerata
2021-01-28 17:00:00,11493,Macerata
2021-01-29 17:00:00,11585,Macerata
2021-01-30 17:00:00,11700,Macerata
2021-01-31 17:00:00,11785,Macerata
2021-02-01 17:00:00,11798,Macerata
2021-02-02 17:00:00,11908,Macerata
2021-02-03 17:00:00,11960,Macerata
2021-02-04 17:00:00,12034,Macerata
2021-02-05 17:00:00,12116,Macerata
2021-02-06 17:00:00,12180,Macerata
2021-02-07 17:00:00,12256,Macerata
2021-02-08 17:00:00,12314,Macerata
2021-02-09 17:00:00,12346,Macerata
2021-02-10 17:00:00,12406,Macerata
2021-02-11 17:00:00,12495,Macerata
2021-02-12 17:00:00,12603,Macerata
2021-02-13 17:00:00,12672,Macerata
2021-02-14 17:00:00,12738,Macerata
2021-02-15 17:00:00,12761,Macerata
2021-02-16 17:00:00,12819,Macerata
2021-02-17 17:00:00,12875,Macerata
2021-02-18 17:00:00,12984,Macerata
2021-02-19 17:00:00,13054,Macerata
2021-02-20 17:00:00,13157,Macerata
2021-02-21 17:00:00,13229,Macerata
2021-02-22 17:00:00,13232,Macerata
2021-02-23 17:00:00,13354,Macerata
2021-02-24 17:00:00,13450,Macerata
2021-02-25 17:00:00,13589,Macerata
2021-02-26 17:00:00,13673,Macerata
2021-02-27 17:00:00,13856,Macerata
2021-02-28 17:00:00,13982,Macerata
2021-03-01 17:00:00,14059,Macerata
2021-03-02 17:00:00,14135,Macerata
2021-03-03 17:00:00,14266,Macerata
2021-03-04 17:00:00,14472,Macerata
2021-03-05 17:00:00,14729,Macerata
2021-03-06 17:00:00,14891,Macerata
2021-03-07 17:00:00,15000,Macerata
2021-03-08 17:00:00,15086,Macerata
2021-03-09 17:00:00,15201,Macerata
2021-03-10 17:00:00,15420,Macerata
2021-03-11 17:00:00,15577,Macerata
2021-03-12 17:00:00,15774,Macerata
2021-03-13 17:00:00,16000,Macerata
2021-03-14 17:00:00,16125,Macerata
2021-03-15 17:00:00,16228,Macerata
2021-03-16 17:00:00,16382,Macerata
2021-03-17 17:00:00,16580,Macerata
2021-03-18 17:00:00,16691,Macerata
2021-03-19 17:00:00,16844,Macerata
2021-03-20 17:00:00,16992,Macerata
2021-03-21 17:00:00,17164,Macerata
2021-03-22 17:00:00,17210,Macerata
2021-03-23 17:00:00,17298,Macerata
2021-03-24 17:00:00,17421,Macerata
2021-03-25 17:00:00,17554,Macerata
2021-03-26 17:00:00,17659,Macerata
2021-03-27 17:00:00,17782,Macerata
2021-03-28 17:00:00,17906,Macerata
2021-03-29 17:00:00,17943,Macerata
2021-03-30 17:00:00,18029,Macerata
2021-03-31 17:00:00,18160,Macerata
2021-04-01 17:00:00,18249,Macerata
2021-04-02 17:00:00,18390,Macerata
2021-04-03 17:00:00,18489,Macerata
2021-04-04 17:00:00,18552,Macerata
2021-04-05 17:00:00,18609,Macerata
2021-04-06 17:00:00,18634,Macerata
2021-04-07 17:00:00,18667,Macerata
2021-04-08 17:00:00,18758,Macerata
2021-04-09 17:00:00,18833,Macerata
2021-04-10 17:00:00,18909,Macerata
2021-04-11 17:00:00,19002,Macerata
2021-04-12 17:00:00,19014,Macerata
2021-04-13 17:00:00,19057,Macerata
2021-04-14 17:00:00,19154,Macerata
2021-04-15 17:00:00,19246,Macerata
2021-04-16 17:00:00,19316,Macerata
2021-04-17 17:00:00,19390,Macerata
2021-04-18 17:00:00,19432,Macerata
2021-04-19 17:00:00,19482,Macerata
2021-04-20 17:00:00,19525,Macerata
2021-04-21 17:00:00,19603,Macerata
2021-04-22 17:00:00,19669,Macerata
2021-04-23 17:00:00,19744,Macerata
2021-04-24 17:00:00,19799,Macerata
2021-04-25 17:00:00,19847,Macerata
2021-04-26 17:00:00,19880,Macerata
2021-04-27 17:00:00,19949,Macerata
2021-04-28 17:00:00,20000,Macerata
2021-04-29 17:00:00,20074,Macerata
2021-04-30 17:00:00,20131,Macerata
2021-05-01 17:00:00,20181,Macerata
2021-05-02 17:00:00,20199,Macerata
2021-05-03 17:00:00,20206,Macerata
2021-05-04 17:00:00,20244,Macerata
2021-05-05 17:00:00,20305,Macerata
2021-05-06 17:00:00,20373,Macerata
2021-05-07 17:00:00,20419,Macerata
2021-05-08 17:00:00,20485,Macerata
2021-05-09 17:00:00,20536,Macerata
2021-05-10 17:00:00,20548,Macerata
2021-05-11 17:00:00,20577,Macerata
2021-05-12 17:00:00,20629,Macerata
2021-05-13 17:00:00,20675,Macerata
2021-05-14 17:00:00,20728,Macerata
2021-05-15 17:00:00,20739,Macerata
2021-05-16 17:00:00,20779,Macerata
2021-05-17 17:00:00,20793,Macerata
2021-05-18 17:00:00,20804,Macerata
2021-05-19 17:00:00,20834,Macerata
2021-05-20 17:00:00,20870,Macerata
2021-05-21 17:00:00,20904,Macerata
2021-05-22 17:00:00,20940,Macerata
2021-05-23 17:00:00,20958,Macerata
2021-05-24 17:00:00,20978,Macerata
2021-05-25 17:00:00,20982,Macerata
2021-05-26 17:00:00,21015,Macerata
2021-05-27 17:00:00,21055,Macerata
2021-05-28 17:00:00,21069,Macerata
2021-05-29 17:00:00,21080,Macerata
2021-05-30 17:00:00,21104,Macerata
2021-05-31 17:00:00,21109,Macerata
2021-06-01 17:00:00,21113,Macerata
2021-06-02 17:00:00,21151,Macerata
2021-06-03 17:00:00,21153,Macerata
2021-06-04 17:00:00,21158,Macerata
2021-06-05 17:00:00,21199,Macerata
2021-06-06 17:00:00,21218,Macerata
2021-06-07 17:00:00,21224,Macerata
2021-06-08 17:00:00,21224,Macerata
2021-06-09 17:00:00,21249,Macerata
2021-06-10 17:00:00,21262,Macerata
2021-06-11 17:00:00,21273,Macerata
2021-06-12 17:00:00,21288,Macerata
2021-06-13 17:00:00,21305,Macerata
2021-06-14 17:00:00,21305,Macerata
2021-06-15 17:00:00,21308,Macerata
2021-06-16 17:00:00,21319,Macerata
2021-06-17 17:00:00,21324,Macerata
2021-06-18 17:00:00,21333,Macerata
2021-06-19 17:00:00,21337,Macerata
2021-06-20 17:00:00,21338,Macerata
2021-06-21 17:00:00,21338,Macerata
2021-06-22 17:00:00,21339,Macerata
2021-06-23 17:00:00,21346,Macerata
2021-06-24 17:00:00,21347,Macerata
2021-06-25 17:00:00,21350,Macerata
2021-06-26 17:00:00,21350,Macerata
2021-06-27 17:00:00,21353,Macerata
2021-06-28 17:00:00,21353,Macerata
2021-06-29 17:00:00,21353,Macerata
2021-06-30 17:00:00,21355,Macerata
2021-07-01 17:00:00,21362,Macerata
2021-07-02 17:00:00,21363,Macerata
2021-07-03 17:00:00,21365,Macerata
2021-07-04 17:00:00,21367,Macerata
2021-07-05 17:00:00,21367,Macerata
2021-07-06 17:00:00,21368,Macerata
2021-07-07 17:00:00,21374,Macerata
2021-07-08 17:00:00,21377,Macerata
2021-07-09 17:00:00,21378,Macerata
2021-07-10 17:00:00,21378,Macerata
2021-07-11 17:00:00,21383,Macerata
2021-07-12 17:00:00,21383,Macerata
2021-07-13 17:00:00,21389,Macerata
2021-07-14 17:00:00,21393,Macerata
2021-07-15 17:00:00,21400,Macerata
2021-07-16 17:00:00,21410,Macerata
2021-07-17 17:00:00,21414,Macerata
2021-07-18 17:00:00,21426,Macerata
2021-07-19 17:00:00,21429,Macerata
2021-07-20 17:00:00,21434,Macerata
2021-07-21 17:00:00,21458,Macerata
2021-07-22 17:00:00,21476,Macerata
2021-07-23 17:00:00,21511,Macerata
2021-07-24 17:00:00,21529,Macerata
2021-07-25 17:00:00,21569,Macerata
2021-07-26 17:00:00,21569,Macerata
2021-07-27 17:00:00,21580,Macerata
2021-07-28 17:00:00,21614,Macerata
2021-07-29 17:00:00,21633,Macerata
2021-07-30 17:00:00,21678,Macerata
2021-07-31 17:00:00,21702,Macerata
2021-08-01 17:00:00,21730,Macerata
2021-08-02 17:00:00,21739,Macerata
2021-08-03 17:00:00,21767,Macerata
2021-08-04 17:00:00,21835,Macerata
2021-08-05 17:00:00,21905,Macerata
2021-08-06 17:00:00,21947,Macerata
2021-08-07 17:00:00,22029,Macerata
2021-08-08 17:00:00,22078,Macerata
2021-08-09 17:00:00,22082,Macerata
2021-08-10 17:00:00,22120,Macerata
2021-08-11 17:00:00,22204,Macerata
2021-08-12 17:00:00,22284,Macerata
2021-08-13 17:00:00,22332,Macerata
2021-08-14 17:00:00,22391,Macerata
2021-08-15 17:00:00,22446,Macerata
2021-08-16 17:00:00,22453,Macerata
2021-08-17 17:00:00,22465,Macerata
2021-08-18 17:00:00,22521,Macerata
2021-08-19 17:00:00,22595,Macerata
2021-08-20 17:00:00,22624,Macerata
2021-08-21 17:00:00,22695,Macerata
2021-08-22 17:00:00,22732,Macerata
2021-08-23 17:00:00,22732,Macerata
2021-08-24 17:00:00,22760,Macerata
2021-08-25 17:00:00,22820,Macerata
2021-08-26 17:00:00,22907,Macerata
2021-08-27 17:00:00,22974,Macerata
2021-08-28 17:00:00,23070,Macerata
2021-08-29 17:00:00,23116,Macerata
2021-08-30 17:00:00,23118,Macerata
2021-08-31 17:00:00,23140,Macerata
2021-09-01 17:00:00,23190,Macerata
2021-09-02 17:00:00,23248,Macerata
2021-09-03 17:00:00,23316,Macerata
2021-09-04 17:00:00,23369,Macerata
2021-09-05 17:00:00,23399,Macerata
2021-09-06 17:00:00,23401,Macerata
2021-09-07 17:00:00,23416,Macerata
2021-09-08 17:00:00,23495,Macerata
2021-09-09 17:00:00,23556,Macerata
2021-09-10 17:00:00,23577,Macerata
2021-09-11 17:00:00,23602,Macerata
2021-09-12 17:00:00,23624,Macerata
2021-09-13 17:00:00,23627,Macerata
2021-09-14 17:00:00,23652,Macerata
2021-09-15 17:00:00,23711,Macerata
2021-09-16 17:00:00,23739,Macerata
2021-09-17 17:00:00,23755,Macerata
2021-09-18 17:00:00,23797,Macerata
2021-09-19 17:00:00,23834,Macerata
2021-09-20 17:00:00,23838,Macerata
2021-09-21 17:00:00,23850,Macerata
2021-09-22 17:00:00,23883,Macerata
2021-09-23 17:00:00,23899,Macerata
2021-09-24 17:00:00,23902,Macerata
2021-09-25 17:00:00,23922,Macerata
2021-09-26 17:00:00,23958,Macerata
2021-09-27 17:00:00,23958,Macerata
2021-09-28 17:00:00,23973,Macerata
2021-09-29 17:00:00,23983,Macerata
2021-09-30 17:00:00,24025,Macerata
2021-10-01 17:00:00,24046,Macerata
2021-10-02 17:00:00,24059,Macerata
2021-10-03 17:00:00,24078,Macerata
2021-10-04 17:00:00,24079,Macerata
2021-10-05 17:00:00,24094,Macerata
2021-10-06 17:00:00,24121,Macerata
2021-10-07 17:00:00,24135,Macerata
2021-10-08 17:00:00,24146,Macerata
2021-10-09 17:00:00,24166,Macerata
2021-10-10 17:00:00,24179,Macerata
2021-10-11 17:00:00,24181,Macerata
2021-10-12 17:00:00,24185,Macerata
2021-10-13 17:00:00,24200,Macerata
2021-10-14 17:00:00,24210,Macerata
2021-10-15 17:00:00,24229,Macerata
2021-10-16 17:00:00,24234,Macerata
2021-10-17 17:00:00,24254,Macerata
2021-10-18 17:00:00,24255,Macerata
2021-10-19 17:00:00,24257,Macerata
2021-10-20 17:00:00,24288,Macerata
2021-10-21 17:00:00,24307,Macerata
2021-10-22 17:00:00,24320,Macerata
2021-10-23 17:00:00,24338,Macerata
2021-10-24 17:00:00,24367,Macerata
2021-10-25 17:00:00,24376,Macerata
2021-10-26 17:00:00,24386,Macerata
2021-10-27 17:00:00,24400,Macerata
2021-10-28 17:00:00,24428,Macerata
2021-10-29 17:00:00,24439,Macerata
2021-10-30 17:00:00,24455,Macerata
2021-10-31 17:00:00,24471,Macerata
2021-11-01 17:00:00,24473,Macerata
2021-11-02 17:00:00,24476,Macerata
2021-11-03 17:00:00,24490,Macerata
2021-11-04 17:00:00,24522,Macerata
2021-11-05 17:00:00,24552,Macerata
2021-11-06 17:00:00,24573,Macerata
2021-11-07 17:00:00,24598,Macerata
2021-11-08 17:00:00,24612,Macerata
2021-11-09 17:00:00,24626,Macerata
2021-11-10 17:00:00,24669,Macerata
2021-11-11 17:00:00,24714,Macerata
2021-11-12 17:00:00,24757,Macerata
2021-11-13 17:00:00,24814,Macerata
2021-11-14 17:00:00,24855,Macerata
2021-11-15 17:00:00,24872,Macerata
2021-11-16 17:00:00,24899,Macerata
2021-11-17 17:00:00,24961,Macerata
2021-11-18 17:00:00,25004,Macerata
2021-11-19 17:00:00,25056,Macerata
2021-11-20 17:00:00,25114,Macerata
2021-11-21 17:00:00,25164,Macerata
2021-11-22 17:00:00,25171,Macerata
2021-11-23 17:00:00,25191,Macerata
2021-11-24 17:00:00,25250,Macerata
2021-11-25 17:00:00,25316,Macerata
2021-11-26 17:00:00,25402,Macerata
2021-11-27 17:00:00,25489,Macerata
2021-11-28 17:00:00,25572,Macerata
2021-11-29 17:00:00,25594,Macerata
2021-11-30 17:00:00,25646,Macerata
2021-12-01 17:00:00,25729,Macerata
2021-12-02 17:00:00,25809,Macerata
2021-12-03 17:00:00,25863,Macerata
2021-12-04 17:00:00,25937,Macerata
2021-12-05 17:00:00,26012,Macerata
2021-12-06 17:00:00,26055,Macerata
2021-12-07 17:00:00,26087,Macerata
2021-12-08 17:00:00,26140,Macerata
2021-12-09 17:00:00,26209,Macerata
2021-12-10 17:00:00,26277,Macerata
2021-12-11 17:00:00,26387,Macerata
2021-12-12 17:00:00,26506,Macerata
2021-12-13 17:00:00,26544,Macerata
2021-12-14 17:00:00,26600,Macerata
2021-12-15 17:00:00,26699,Macerata
2021-12-16 17:00:00,26803,Macerata
2021-12-17 17:00:00,26920,Macerata
