data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7707,Massa Carrara
2021-01-02 17:00:00,7739,Massa Carrara
2021-01-03 17:00:00,7750,Massa Carrara
2021-01-04 17:00:00,7763,Massa Carrara
2021-01-05 17:00:00,7771,Massa Carrara
2021-01-06 17:00:00,7786,Massa Carrara
2021-01-07 17:00:00,7803,Massa Carrara
2021-01-08 17:00:00,7810,Massa Carrara
2021-01-09 17:00:00,7845,Massa Carrara
2021-01-10 17:00:00,7861,Massa Carrara
2021-01-11 17:00:00,7893,Massa Carrara
2021-01-12 17:00:00,7902,Massa Carrara
2021-01-13 17:00:00,7922,Massa Carrara
2021-01-14 17:00:00,7938,Massa Carrara
2021-01-15 17:00:00,7964,Massa Carrara
2021-01-16 17:00:00,7991,Massa Carrara
2021-01-17 17:00:00,8012,Massa Carrara
2021-01-18 17:00:00,8049,Massa Carrara
2021-01-19 17:00:00,8058,Massa Carrara
2021-01-20 17:00:00,8107,Massa Carrara
2021-01-21 17:00:00,8155,Massa Carrara
2021-01-22 17:00:00,8175,Massa Carrara
2021-01-23 17:00:00,8211,Massa Carrara
2021-01-24 17:00:00,8242,Massa Carrara
2021-01-25 17:00:00,8272,Massa Carrara
2021-01-26 17:00:00,8295,Massa Carrara
2021-01-27 17:00:00,8345,Massa Carrara
2021-01-28 17:00:00,8398,Massa Carrara
2021-01-29 17:00:00,8439,Massa Carrara
2021-01-30 17:00:00,8485,Massa Carrara
2021-01-31 17:00:00,8501,Massa Carrara
2021-02-01 17:00:00,8533,Massa Carrara
2021-02-02 17:00:00,8554,Massa Carrara
2021-02-03 17:00:00,8583,Massa Carrara
2021-02-04 17:00:00,8629,Massa Carrara
2021-02-05 17:00:00,8684,Massa Carrara
2021-02-06 17:00:00,8720,Massa Carrara
2021-02-07 17:00:00,8763,Massa Carrara
2021-02-08 17:00:00,8809,Massa Carrara
2021-02-09 17:00:00,8859,Massa Carrara
2021-02-10 17:00:00,8916,Massa Carrara
2021-02-11 17:00:00,8974,Massa Carrara
2021-02-12 17:00:00,9029,Massa Carrara
2021-02-13 17:00:00,9097,Massa Carrara
2021-02-14 17:00:00,9129,Massa Carrara
2021-02-15 17:00:00,9172,Massa Carrara
2021-02-16 17:00:00,9182,Massa Carrara
2021-02-17 17:00:00,9207,Massa Carrara
2021-02-18 17:00:00,9256,Massa Carrara
2021-02-19 17:00:00,9285,Massa Carrara
2021-02-20 17:00:00,9347,Massa Carrara
2021-02-21 17:00:00,9400,Massa Carrara
2021-02-22 17:00:00,9431,Massa Carrara
2021-02-23 17:00:00,9457,Massa Carrara
2021-02-24 17:00:00,9498,Massa Carrara
2021-02-25 17:00:00,9566,Massa Carrara
2021-02-26 17:00:00,9646,Massa Carrara
2021-02-27 17:00:00,9702,Massa Carrara
2021-02-28 17:00:00,9764,Massa Carrara
2021-03-01 17:00:00,9810,Massa Carrara
2021-03-02 17:00:00,9855,Massa Carrara
2021-03-03 17:00:00,9912,Massa Carrara
2021-03-04 17:00:00,10001,Massa Carrara
2021-03-05 17:00:00,10054,Massa Carrara
2021-03-06 17:00:00,10119,Massa Carrara
2021-03-07 17:00:00,10168,Massa Carrara
2021-03-08 17:00:00,10233,Massa Carrara
2021-03-09 17:00:00,10262,Massa Carrara
